Coursename,Coursecode,Hours,Classification
Topics in French Civilization,"F C 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
The French Heritage,F C 320,3,Upper Division
Topics in French Civilization,"F C 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
"Vamps, Stars, and The Diva",F C 336,3,Upper Division
The Development of the French Film,F C 339,3,Upper Division
France in the Dark Years,F C 340D,3,Upper Division
Continuity and Change in Modern France,F C 340M,3,Upper Division
Topics in French Studies,F C 341,3,Upper Division
Arab Francophonie,F C 341F,3,Upper Division
Americans in Paris,F C 341P,3,Upper Division
French Through Coding,F C 342,3,Upper Division
Black Slavery in the Atlantic,F C 344,3,Upper Division
,,Total Hours: 36
DegreeView
