Coursename,Coursecode,Hours,Classification
Topics in Finance,"FIN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of Finance,FIN 320F,3,Upper Division
Intermediate Microeconomics for Business,FIN 321K,3,Upper Division
Foundations of Personal Finance,FIN 322F,3,Upper Division
Topics in Finance,FIN 372T,3,Upper Division
Topics in Foundations of Finance,FIN 332F,3,Upper Division
Current Issues in Global Sustainability,"FIN 134M, 234M, 334M","1, 2, 3",Upper Division
Special Topics in Finance,FIN 337T,3,Upper Division
Business Finance,FIN 357,3,Upper Division
Business Finance: Honors,FIN 357H,3,Upper Division
Global Sustainability Practicum,"FIN 164P, 264P, 364P","1, 2, 3",Upper Division
Energy Finance Practicum,"FIN 165P, 365P","1, 3",Upper Division
Finance Practicum,FIN 366P,3,Upper Division
Investment Management,FIN 367,3,Upper Division
Integrative Finance,FIN 370,3,Upper Division
Integrative Finance: Honors,FIN 370H,3,Upper Division
Money and Capital Markets,FIN 371M,3,Upper Division
Research Topics in Finance,FIN 373,3,Upper Division
Valuation,FIN 374C,3,Upper Division
Entrepreneurial Finance,FIN 374S,3,Upper Division
International Finance,FIN 376,3,Upper Division
Advanced Topics in Investment Analysis,FIN 377,3,Upper Division
Independent Research in Finance,"FIN 179C, 379C","1, 3",Upper Division
Financial Technology for Executives,FIN 281F,2,Graduate
Advanced Corporate Finance and Investment Theory,"FIN 184F, 284F, 384F, 484F, 584F, 684F","1, 2, 3, 4, 5, 6",Graduate
Analytic Finance and Machine Learning,"FIN 185F, 285F, 385F, 485F, 585F, 685F","1, 2, 3, 4, 5, 6",Graduate
Valuation,"FIN 286, 386","2, 3",Graduate
Valuation for Executives,FIN 286C,2,Graduate
Topics in Seminar: Money and Capital Markets,"FIN 290, 390","2, 3",Graduate
Topics in Seminar: Financial Management and Theory,"FIN 294, 394","2, 3",Graduate
Private Equity for Executives,"FIN 194P, 294P, 394P","1, 2, 3",Graduate
Topics in Finance Doctoral Seminar,FIN 395,3,Graduate
Topics in Seminar: Investment Theory and Management,"FIN 297, 397","2, 3",Graduate
Investments Practicum,"FIN 297P, 397P","2, 3",Graduate
Thesis,FIN 698,6,Graduate
Master's Report,FIN 398R,3,Graduate
Dissertation,"FIN 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 112
DegreeView
