Coursename,Coursecode,Hours,Classification
French for Graduate Students in Other Departments,FR 301,3,Lower Division
Beginning French,FR 601C,6,Lower Division
Accelerated First-Year French,FR 604,6,Lower Division
Introductory French I,"FR 406, 506 (TCCN: FREN 1411)","4, 5",Lower Division
Introductory French II,"FR 407, 507 (TCCN: FREN 1412)","4, 5",Lower Division
Alternate First-Year French II,FR 508K,5,Lower Division
Intermediate French,FR 611C,6,Lower Division
Accelerated Second-Year French: Four Skills,FR 612,6,Lower Division
Intermediate French I,"FR 312K, 412K (TCCN: FREN 2311)","3, 4",Lower Division
Second-Year French II: Four Skills,FR 312L (TCCN: FREN 2312),3,Lower Division
Enhancing French Skills,FR 317C,3,Lower Division
Practice in Spoken French,FR 118L,1,Lower Division
Topics in French,"FR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced French I,FR 320E,3,Upper Division
Advanced Practice in Spoken French I,FR 120M,1,Upper Division
Advanced Practice in Spoken French II,FR 120N,1,Upper Division
Advanced French II,FR 322E,3,Upper Division
Practical Phonetics,FR 324L,3,Upper Division
Crisis and Conflict,FR 325C,3,Upper Division
Self and Society,FR 325D,3,Upper Division
Representing Difference,FR 325E,3,Upper Division
French through Cuisine,FR 327C,3,Upper Division
French through Film,FR 328C,3,Upper Division
French through Music,FR 329C,3,Upper Division
Topics in French,"FR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
French across Disciplines,FR 130D,1,Upper Division
The Joy of French,FR 330J,3,Upper Division
Topics in French Language and Cultures,FR 330K,3,Upper Division
The Arts in France,FR 340C,3,Upper Division
The Making and Identity of France,FR 340P,3,Upper Division
France and the Francophone World Today,FR 340T,3,Upper Division
French for Business,FR 342C,3,Upper Division
French Drama Workshop,FR 348,3,Upper Division
French Internship,FR 349P,3,Upper Division
Francophone Literature and Culture,FR 350F,3,Upper Division
Topics in French Studies,FR 351C,3,Upper Division
Narrating the Multilingual Self,FR 351N,3,Upper Division
French New Wave in Context,FR 357C,3,Upper Division
French Cinema and Memory,FR 358C,3,Upper Division
Supervised Research,FR 358Q,3,Upper Division
French Through the Media,FR 363L,3,Upper Division
Introduction to French Linguistics,FR 364L,3,Upper Division
Conference Course,"FR 165K, 265K, 365K","1, 2, 3",Upper Division
Advanced Written and Oral Composition,FR 371L,3,Upper Division
Comparative Stylistics,FR 372,3,Upper Division
Honors Tutorial Course,FR 379H,3,Upper Division
French for Graduate Students in Other Departments,FR 380C,3,Graduate
History of the French Language,FR 380L,3,Graduate
Introduction to Studies in Literature and Culture,FR 180P,1,Graduate
Reference Works and Research Methodologies,FR 380R,3,Graduate
Doctoral Writing Workshop,FR 380W,3,Graduate
Old French Language,FR 381,3,Graduate
Topics in French Studies,FR 381J,3,Graduate
Critical Approaches to Literature,FR 381M,3,Graduate
Topics in Language and Style,FR 381N,3,Graduate
Old Provencal,FR 381P,3,Graduate
Topics in the Civilization of the French Speaking World,FR 382L,3,Graduate
Structure of French: Phonology and Morphology,FR 383K,3,Graduate
Structure of French: Syntax and Semantics,FR 383M,3,Graduate
Introduction to French Linguistics,FR 383N,3,Graduate
Conference Course in French Language and Literature,FR 385L,3,Graduate
Graduate Teaching Practicum,FR 385T,3,Graduate
Topics in French Literature Through the Renaissance,FR 390K,3,Graduate
Topics in French Literature of the Seventeenth and Eighteenth Centuries,FR 390L,3,Graduate
Topics in French Literature from the Nineteenth Century to the Present,FR 390M,3,Graduate
Topics in Francophone Literature,FR 390N,3,Graduate
Topics in Criticism and Literary Genres,FR 391K,3,Graduate
Topics in French Linguistics,FR 392K,3,Graduate
Comprehensive Examination Preparation,FR 395L,3,Graduate
Topics in Comparative Romance Linguistics,FR 396K,3,Graduate
Practicum in Teaching College French,FR 197T,1,Graduate
Thesis,FR 698,6,Graduate
Master's Report,FR 398R,3,Graduate
Supervised Teaching in French,FR 398T,3,Graduate
Dissertation,"FR 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 230
DegreeView
