Coursename,Coursecode,Hours,Classification
Supplemental Instruction for Electrical and Computer Engineering 302,"G E 102E, 202E","1, 2",Lower Division
Supplemental Instruction for Mathematics 427J,"G E 104J, 204J","1, 2",Lower Division
Supplemental Instruction for Mathematics 305G,G E 105G,1,Lower Division
Supplemental Instruction for Chemistry 301,"G E 106D, 206D","1, 2",Lower Division
Supplemental Instruction for Chemistry 302,"G E 106E, 206E","1, 2",Lower Division
Supplemental Instruction for Mathematics 408C,"G E 107C, 207C","1, 2",Lower Division
Supplemental Instruction for Mathematics 408D,"G E 107D, 207D","1, 2",Lower Division
Supplemental Instruction for Mathematics 340L,G E 207E,2,Lower Division
Supplemental Instruction for Mathematics 427K,G E 207K,2,Lower Division
Supplemental Instruction for Mathematics 427L,G E 207L,2,Lower Division
Supplemental Instruction for Mathematics 408K,G E 207R,2,Lower Division
Supplemental Instruction for Mathematics 408L,G E 207S,2,Lower Division
Supplemental Instruction for Mathematics 408M,G E 207T,2,Lower Division
Supplemental Instruction for Physics 303K,"G E 108K, 208K","1, 2",Lower Division
Supplemental Instruction for Physics 303L,"G E 108L, 208L","1, 2",Lower Division
Topics in Supplemental Instruction for Engineering Courses,G E 209,2,Lower Division
Supplemental Instruction for Engineering Mechanics 306,"G E 109C, 209C","1, 2",Lower Division
Supplemental Instruction for Engineering Mechanics 319,"G E 109D, 209D","1, 2",Lower Division
Supplemental Instruction for Electrical Engineering 312,G E 212,2,Lower Division
Topics in Engineering,"G E 119, 219, 319","1, 2, 3",Lower Division
Topics in General Engineering,"G E 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Professional Development,G E 222,2,Upper Division
Topics in General Engineering,"G E 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
,,Total Hours: 58
DegreeView
