Coursename,Coursecode,Hours,Classification
Physical Geology,GEO 401 (TCCN: GEOL 1403),4,Lower Division
"Climate: Past, Present, and Future",GEO 302C,3,Lower Division
Age of Dinosaurs,GEO 302D,3,Lower Division
"Earth, Wind, and Fire",GEO 302E,3,Lower Division
Earth Science and Sustainability,GEO 302G,3,Lower Division
Crisis of Our Planet,GEO 302J,3,Lower Division
Selected Topics in Geological Sciences,"GEO 302K (TCCN: GEOL 1301, GEOL 1302)",3,Lower Division
The Age of Mammals,GEO 302M,3,Lower Division
Geology of National Parks,GEO 302N,3,Lower Division
Sustaining a Planet,"GEO 302P (TCCN: ENVR 1301, GEOL 1305)",3,Lower Division
Gems and Gem Minerals,GEO 302Q,3,Lower Division
Climate and the Energy Transition,GEO 302T,3,Lower Division
Introduction to Geology,GEO 303,3,Lower Division
Introduction to the Solar System,GEO 303C,3,Lower Division
Earth in 2100,GEO 303E,3,Lower Division
Life through Time,GEO 405 (TCCN: GEOL 1404),4,Lower Division
Energy and the Environment,GEO 305E,3,Lower Division
Geology and Sustainability,GEO 306P,3,Lower Division
Topics in Conference Course,"GEO 110C, 210C, 310C","1, 2, 3",Lower Division
Undergraduate Topics in Geological Sciences,"GEO 110T, 210T, 310T","1, 2, 3",Lower Division
Emerging Scholars in Geological Sciences,GEO 211,2,Lower Division
Geodata,GEO 311D,3,Lower Division
JSG Geosciences Mentors Program - First-year,GEO 012N,0,Lower Division
Geophysics Colloquium,GEO 114G,1,Lower Division
Earth From Lab to Planet,GEO 315L,3,Lower Division
Solid Earth Processes,GEO 416E,4,Lower Division
Earth Materials,GEO 416K,4,Lower Division
Sedimentary Rocks,GEO 416M,4,Lower Division
Sedimentary Rocks,GEO 316P,3,Lower Division
Earth and Planetary Processes Through Time,GEO 416S,4,Lower Division
"Climate, Water, and the Environment",GEO 416W,4,Lower Division
Topics in Geological Sciences,"GEO 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Classic Geology in Scotland,GEO 420F,4,Upper Division
Honors Introductory Geology,GEO 420H,4,Upper Division
Introduction to Field and Stratigraphic Methods,GEO 420K,4,Upper Division
Introductory Field Geology,GEO 320L,3,Upper Division
Introduction to Atmospheric Sciences,GEO 320S,3,Upper Division
Scientific Research Design,GEO 322E,3,Upper Division
Transitions in the History of Life,GEO 322J,3,Upper Division
Paleobiology,GEO 422K,4,Upper Division
Development and Evolution of the Vertebrate Skeleton,GEO 322S,3,Upper Division
JSG Geosciences Mentors Program - Transfer,GEO 022T,0,Upper Division
Morphology of the Vertebrate Skeleton,GEO 322V,3,Upper Division
Continuum Mechanics,GEO 325C,3,Upper Division
Computational Applications in the Geosciences,GEO 325G,3,Upper Division
Programming in FORTRAN and MATLAB,GEO 325J,3,Upper Division
Computational Methods,GEO 325K,3,Upper Division
Numerical Modeling in the Geosciences,GEO 325M,3,Upper Division
Modeling Flow and Transport in Porous Media,GEO 425P,4,Upper Division
Earth in Deep Time,GEO 326D,3,Upper Division
Igneous and Metamorphic Petrology,GEO 426P,4,Upper Division
Geographic Information System and Global Positioning System Applications in Earth Sciences,GEO 327G,3,Upper Division
Structural Geology,GEO 428,4,Upper Division
Vadose Zone Hydrology,GEO 328W,3,Upper Division
Topics in Geological Sciences,"GEO 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Hydrogeology Cooperative (Geological Sciences),GEO 329W,3,Upper Division
Energy Exploration,GEO 330K,3,Upper Division
Petrology and Plate Tectonics,GEO 331K,3,Upper Division
Geology and Mineral Resources of Texas,GEO 335,3,Upper Division
Jackson Scholars Seminar,GEO 135J,1,Upper Division
Marine Geology,GEO 338J,3,Upper Division
Marine Tectonics,GEO 338T,3,Upper Division
Paleoclimate,GEO 338W,3,Upper Division
Continental Tectonics,GEO 339T,3,Upper Division
Geoclimatology,GEO 340T,3,Upper Division
"Mineral Resources, Society, and the Environment",GEO 341,3,Upper Division
Microstructures and Rock Rheology,GEO 341F,3,Upper Division
Geomicrobiology,GEO 341G,3,Upper Division
Fundamentals and Applications of Inductively Coupled Plasma Mass Spectrometry,GEO 343Q,3,Upper Division
Marine Mining and Minerals,GEO 344K,3,Upper Division
Quantitative Seismic Interpretation,GEO 344U,3,Upper Division
Professional Ethics in Geosciences,GEO 145E,1,Upper Division
Introduction to Physical and Chemical Hydrogeology,GEO 346C,3,Upper Division
Global Warming,GEO 347D,3,Upper Division
Climate System Modeling,GEO 347G,3,Upper Division
Gems and Gem Minerals,GEO 347K,3,Upper Division
Climate System Physics,GEO 347P,3,Upper Division
Marine Geology and Geophysics Field Course,GEO 348K,3,Upper Division
Field Methods in Planetary Geology,GEO 348P,3,Upper Division
Introduction to the Cryosphere,GEO 349C,3,Upper Division
Ice Dynamics,GEO 350D,3,Upper Division
Topics in Lithosphere and Deep Earth,GEO 350L,3,Upper Division
"Topics in Subsurface, Surface, and Life",GEO 350S,3,Upper Division
"Topics in Water, Climate, and Environment",GEO 350W,3,Upper Division
Python for Geoscience Research,GEO 352P,3,Upper Division
Physics of Earth,GEO 354,3,Upper Division
Geodynamics of the Lithosphere and Mantle,GEO 355G,3,Upper Division
Introduction to Remote Sensing for Geoscientists,GEO 455S,4,Upper Division
Ins and Outs of Subduction Zones,GEO 356S,3,Upper Division
Volcanology,GEO 358K,3,Upper Division
Field Geology,GEO 660,6,Upper Division
Construction and Interpretations of 3-D Stratigraphy,GEO 360G,3,Upper Division
Geophysics Field Camp,GEO 661,6,Upper Division
Sedimentary Basin Analysis,GEO 363S,3,Upper Division
Physical Oceanography,GEO 364P,3,Upper Division
Seismic Exploration,GEO 465K,4,Upper Division
Seismic Data Processing,GEO 365N,3,Upper Division
Potential Field Applications in Geophysics,GEO 365P,3,Upper Division
Geomorphology Process and Form,GEO 365Q,3,Upper Division
Mathematical Methods in Geophysics,GEO 366M,3,Upper Division
Planetary Geology and Geophysics,GEO 366P,3,Upper Division
Morphodynamics and Quantitative Stratigraphy,GEO 367M,3,Upper Division
Geophysics for Geological Sciences Majors,GEO 468K,4,Upper Division
Evolution of Reef Ecosystems,GEO 369E,3,Upper Division
Ecohydrology and Biometeorology,GEO 370E,3,Upper Division
Sedimentology,GEO 370K,3,Upper Division
Morphodynamics and Quantitative Stratigraphy,GEO 397M,3,Graduate
Topics in Conference Course,"GEO 171C, 271C, 371C","1, 2, 3",Upper Division
Honors Research Methods I,GEO 171H,1,Upper Division
Geological Sciences Research Methods,GEO 371S,3,Upper Division
Topics in Geological Sciences: Undergraduate Seminar,"GEO 171T, 271T, 371T, 471T, 571T, 671T","1, 2, 3, 4, 5, 6",Upper Division
Honors Research Methods II,GEO 172H,1,Upper Division
Geochemical Problem Solving with Atoms and Ions,GEO 372S,3,Upper Division
Honors Research Methods III,GEO 173H,1,Upper Division
Isotope Geology,GEO 376C,3,Upper Division
Environmental Isotope Geochemistry,GEO 376E,3,Upper Division
Groundwater Hydrology,GEO 476K,4,Upper Division
Field Methods in Groundwater Hydrology,GEO 376L,3,Upper Division
Aqueous Geochemistry,GEO 476M,4,Upper Division
Physical Hydrology,GEO 376S,3,Upper Division
High-Temperature Geochemistry,GEO 376T,3,Upper Division
Hydrogeophysics,GEO 476W,4,Upper Division
Applied Karst Hydrogeology,GEO 377K,3,Upper Division
Physical Climatology,GEO 377P,3,Upper Division
Introduction to Machine Learning and Geosciences,GEO 378D,3,Upper Division
"Special Studies in Geophysics Research, Fieldwork, or Internship",GEO 679G,6,Upper Division
Honors Thesis in Geological Sciences,GEO 379H,3,Upper Division
Internship in Hydrogeology,GEO 679J,6,Upper Division
Special Topics in Advanced Geological Sciences,"GEO 279K, 379K","2, 3",Upper Division
Mammalogy,GEO 479M,4,Upper Division
Geosciences Internship,"GEO 379N, 679N","3, 6",Upper Division
Geological Sciences Senior Thesis,GEO 379S,3,Upper Division
Advanced Structural Geology,GEO 380C,3,Graduate
Seismology II,GEO 380F,3,Graduate
Construction and Interpretation of 3-D Stratigraphy,GEO 380G,3,Graduate
Mathematical Methods in Geophysics,GEO 380J,3,Graduate
Sequence Stratigraphy,GEO 380N,3,Graduate
Advanced Reservoir Characterization: Carbonates,GEO 380P,3,Graduate
Dynamics of Sedimentary Systems I,GEO 380R,3,Graduate
Dynamics of Sedimentary Systems II,GEO 380S,3,Graduate
Geoclimatology,GEO 380T,3,Graduate
Structural Petrology,GEO 381C,3,Graduate
Brittle Structure,GEO 381E,3,Graduate
Microstructures and Rock Rheology,GEO 381F,3,Graduate
Geomicrobiology,GEO 381G,3,Graduate
Marine Geology,GEO 381J,3,Graduate
Plate Margins,GEO 381P,3,Graduate
Regional Studies in Mineral Resources Geology,GEO 381R,3,Graduate
Tectonic Problems,GEO 381S,3,Graduate
Marine Tectonics,GEO 381T,3,Graduate
Groundwater Field Methods,GEO 382C,3,Graduate
Crustal Geofluids,GEO 382D,3,Graduate
Scientific Research Design,GEO 382E,3,Graduate
Fractured Rock Hydrology and Mechanics,GEO 382F,3,Graduate
Fluid Physics for Geologists,GEO 382G,3,Graduate
Programming in FORTRAN and MATLAB,GEO 382M,3,Graduate
Physical Oceanography,GEO 382P,3,Graduate
Physical Hydrology,GEO 382S,3,Graduate
