Coursename,Coursecode,Hours,Classification
Accelerated First-Year German,GER 604,6,Lower Division
First-Year German I,GER 506,5,Lower Division
First-Year German II,GER 507,5,Lower Division
Accelerated Second-Year German: Readings in Modern German,GER 612,6,Lower Division
Second-Year German I: Readings in Humanities and Social Sciences,GER 312K (TCCN: GERM 2311),3,Lower Division
Second-Year German II: Readings in Humanities and Social Sciences,GER 312L (TCCN: GERM 2312),3,Lower Division
Second-Year German I: Business German,GER 312V,3,Lower Division
Second-Year German II: Business German,GER 312W,3,Lower Division
Topics in German,"GER 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Conversation and Composition: Individuals and Society,GER 322D,3,Upper Division
Conversation and Composition: Contemporary Controversies,GER 322E,3,Upper Division
Advanced German Grammar,GER 328,3,Upper Division
Topics in German,"GER 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Advanced Conversation and Composition: Culture,GER 330C,3,Upper Division
German across Disciplines,GER 130D,1,Upper Division
Advanced Conversation and Composition: Literature,GER 331L,3,Upper Division
Middle Ages-Early Modern Era Cultural History,GER 342K,3,Upper Division
Contemporary German Civilization,GER 343C,3,Upper Division
Enlightenment to 1900 Cultural History,GER 343K,3,Upper Division
Twentieth Century Cultural History,GER 344K,3,Upper Division
Language and Society in the German-speaking Countries,GER 347L,3,Upper Division
German Play: Student Production,GER 348D,3,Upper Division
Introduction to Teaching German,"GER 149T, 249T, 349T","1, 2, 3",Upper Division
Topics in German Culture,GER 363K,3,Upper Division
Topics in Germanic Languages,GER 369,3,Upper Division
Topics in Germanic Literature,GER 373,3,Upper Division
Conference Course in Germanic Language or Literature,"GER 179, 279, 379","1, 2, 3",Upper Division
Honors Tutorial Course,GER 679H,6,Upper Division
German for Graduate Students in Other Departments,GER 380C,3,Graduate
Topics in Germanic Linguistics and Philology,GER 381,3,Graduate
Topics in Cultural History,GER 382M,3,Graduate
Topics in Intellectual History,GER 382N,3,Graduate
Conference Course in Germanic Languages or Literature,"GER 185, 285, 385","1, 2, 3",Graduate
Topics in Periods in Germanic Literature,GER 386,3,Graduate
Topics in Methods in the Study of Literature and Linguistics,GER 389K,3,Graduate
Topics in Seminar in Germanic Literature and Culture,GER 392,3,Graduate
Topics in Seminar in Germanic Linguistics and Philology,GER 393K,3,Graduate
"Topics in Comparative, Cultural, or Theoretical Studies",GER 394C,3,Graduate
Topics in Applied Linguistics and Pedagogy,GER 397P,3,Graduate
Thesis,GER 698,6,Graduate
Master's Report,GER 398R,3,Graduate
Supervised Teaching in German,GER 398T,3,Graduate
Dissertation,"GER 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 143
DegreeView
