Coursename,Coursecode,Hours,Classification
Beginning Greek,GK 601C,6,Lower Division
First-Year Modern Greek I,GK 502,5,Lower Division
Beginning Modern Greek,GK 602C,6,Lower Division
First-Year Modern Greek II,GK 503,5,Lower Division
Intensive Beginning Greek,GK 804,8,Lower Division
First-Year Greek I,GK 506,5,Lower Division
First-Year Greek II,GK 507,5,Lower Division
Second-Year Modern Greek I,GK 310,3,Lower Division
Intermediate Modern Greek,GK 610C,6,Lower Division
Second-Year Modern Greek II,GK 310K,3,Lower Division
Intermediate Greek I,GK 311,3,Lower Division
Intensive Greek,GK 412,4,Lower Division
Intermediate Greek II,GK 312K,3,Lower Division
Intermediate Greek II: Biblical Greek,GK 312L,3,Lower Division
Topics in Greek,"GK 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Advanced Greek,GK 324,3,Upper Division
Advanced Greek Grammar and Composition,GK 326,3,Upper Division
Pauline Epistles,GK 328C,3,Upper Division
The Gospel of John,GK 328D,3,Upper Division
Biblical Greek: Acts,GK 328E,3,Upper Division
Topics in Greek,"GK 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Seminar in Greek,GK 365,3,Upper Division
Advanced Conference Course,GK 370,3,Upper Division
Honors Tutorial Course,GK 679H,6,Upper Division
Proseminar in Classical Literature,GK 380J,3,Graduate
Topics in Proseminar,GK 180K,1,Graduate
Topics in Classical Greek Literature,GK 383,3,Graduate
Current Concepts and Research in Greek,GK 383K,3,Graduate
Topics in Graduate Reading Course,GK 385,3,Graduate
Topics in Graduate Reading Course: Biblical Greek,GK 385W,3,Graduate
Conference Course in Greek Literature,"GK 186K, 386K","1, 3",Graduate
Conference Course in Greek Language,GK 386L,3,Graduate
Topics in Seminar in Classical Studies,GK 390,3,Graduate
Master's Report,GK 398R,3,Graduate
Dissertation,"GK 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 129
DegreeView
