Coursename,Coursecode,Hours,Classification
Introduction to the Middle East: Adjustment and Change in Modern Times,GOV 303D,3,Lower Division
United States Politics and Government,"GOV 105C, 305C (TCCN: GOVT 2305)","1, 3",Lower Division
Politics and Government in Contemporary Texas,"GOV 106C, 306C (TCCN: GOVT 2306)","1, 3",Lower Division
Introduction to Holocaust and Genocide Studies,GOV 307,3,Lower Division
American and Texas Government,GOV 310L,3,Lower Division
Issues and Policies in American Government,GOV 312L,3,Lower Division
Constitutional Principles: Core Texts,GOV 312P,3,Lower Division
Introductory Topics in Political Science,GOV 314,3,Lower Division
Competing Visions of the Good Life,GOV 314C,3,Lower Division
Human Rights Theories and Practices,GOV 314D,3,Lower Division
Classics of Social and Political Thought,GOV 314E,3,Lower Division
Fighting for Latino Power,GOV 318P,3,Lower Division
Black and Latinx Intersections,GOV 319C,3,Lower Division
The New Latinas/os/xs,GOV 319D,3,Lower Division
Topics in Government,"GOV 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S (TCCN: GOVT 1112, GOVT 1113, GOVT 1114, GOVT 1115, GOVT 1116, GOVT 1117, GOVT 1118, GOVT 1119)","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
United States Constitutional Development: Structures,GOV 320K,3,Upper Division
Arab-Israeli Politics,GOV 320L,3,Upper Division
United States Constitutional Development: Rights,GOV 320N,3,Upper Division
Politics in Japan,GOV 321M,3,Upper Division
"War and Peace: China, Japan, and Taiwan",GOV 322C,3,Upper Division
Politics in China,GOV 322M,3,Upper Division
Political Ideologies and Manifestos,GOV 324C,3,Upper Division
Populism in Central and Eastern Europe,GOV 324D,3,Upper Division
Intelligence and Espionage in the Eastern Bloc,GOV 324E,3,Upper Division
Economic Development in Post-Communist States,GOV 324F,3,Upper Division
Central Asian Politics and Economies,GOV 324G,3,Upper Division
Nature and Politics in Post-Communist States,GOV 324I,3,Upper Division
Governments and Politics of Eastern Europe,GOV 324J,3,Upper Division
Governments and Politics of Western Europe,GOV 324L,3,Upper Division
Constitutionalism in Divided Societies,GOV 324O,3,Upper Division
Research in Democratic and Constitutional Development,GOV 324P,3,Upper Division
Political Parties,GOV 325,3,Upper Division
Data Science for the Social World,GOV 326D,3,Upper Division
Public Opinion and American Politics,GOV 327L,3,Upper Division
Introduction to Latin American Government and Politics,GOV 328L,3,Upper Division
Topics in Government,"GOV 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
The American President,GOV 330K,3,Upper Division
Law and Society,GOV 331L,3,Upper Division
"Thomas Paine, Liberalism, and the Enlightenment",GOV 334C,3,Upper Division
Roots of Democracy,GOV 334D,3,Upper Division
Citizenship and Patriotism,GOV 334E,3,Upper Division
Religion in American Political Thought,GOV 335C,3,Upper Division
Natural Law Theory,GOV 335D,3,Upper Division
Hegel and the Formation of Modern European Identity,GOV 335E,3,Upper Division
Women in the History of Political Thought,GOV 335F,3,Upper Division
African American Social and Political Thought,GOV 335G,3,Upper Division
Political Bioethics,GOV 335I,3,Upper Division
Topics in Political Thought,GOV 335M,3,Upper Division
Topics in American State Government and Politics,GOV 335N,3,Upper Division
Politics and Literature,GOV 335O,3,Upper Division
Classics of Social Scientific Thought,GOV 335P,3,Upper Division
Global Justice,GOV 335Q,3,Upper Division
Intellectual World of the American Founders,GOV 335R,3,Upper Division
Governments and Politics of Russia,GOV 336M,3,Upper Division
The Politics of Mexico,GOV 337C,3,Upper Division
Law and Democracy in Latin America,GOV 337D,3,Upper Division
International Politics of Latin America,GOV 337E,3,Upper Division
"Politics, Economy, and Society of Contemporary Brazil",GOV 337F,3,Upper Division
The Politics of Development in Latin America,GOV 337G,3,Upper Division
Race Politics and Caribbeans,GOV 337J,3,Upper Division
