Coursename,Coursecode,Hours,Classification
The Natural Environment,"GRG 301C, 401C (TCCN: GEOG 1301)","3, 4",Lower Division
Weather and Climate,GRG 301K (TCCN: GEOL 1347),3,Lower Division
Landscapes and Cosmovision in Mesoamerica,GRG 302L,3,Lower Division
Special Topics in Geography,GRG 302S,3,Lower Division
Environmental Science: A Changing World,"GRG 304E, 404E","3, 4",Lower Division
This Human World: An Introduction to Geography,GRG 305 (TCCN: GEOG 1302),3,Lower Division
Conservation,GRG 306C,3,Lower Division
Introduction to Urban Studies,GRG 307C,3,Lower Division
Creating the Sustainable Society,GRG 309C,3,Lower Division
Spatial Data and Analysis,"GRG 310C, 410C","3, 4",Lower Division
Digital Earth,"GRG 312E, 412E","3, 4",Lower Division
Geography of Latin America,GRG 319,3,Lower Division
Topics in Geography,"GRG 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Environmental Justice,GRG 320J,3,Upper Division
Land and Life: The American Southwest,GRG 320K,3,Upper Division
Geography of Media,GRG 320M,3,Upper Division
Exhibitions and Public Spectacle,GRG 320N,3,Upper Division
Political Geography,GRG 320P,3,Upper Division
Urban Imaginaries,GRG 320U,3,Upper Division
Development and Social Movement in East and Southeast Asia,GRG 321D,3,Upper Division
Food in the Racialized City,GRG 321F,3,Upper Division
Archaeology of Climate Change,GRG 321L,3,Upper Division
"Race, Social Justice, and the City",GRG 321U,3,Upper Division
Human Health and the Environment,GRG 322D,3,Upper Division
Politics of Protecting the Great Barrier Reef,GRG 322G,3,Upper Division
Geographies of Latin American to United States Migration,GRG 322L,3,Upper Division
Maya Art and Architecture,GRG 322M,3,Upper Division
"South America: Nature, Society and Sustainability",GRG 323K,3,Upper Division
"Literature, Culture, and Ecology in Northern and Central Europe",GRG 323M,3,Upper Division
Applications and Ethics of Digital Spatial Technologies,GRG 324E,3,Upper Division
"Race, Capitalism, and the Environment",GRG 324F,3,Upper Division
Sustainable Maya Geographies - Past to Future,GRG 324M,3,Upper Division
Geography of Texas,GRG 325,3,Upper Division
"The Healthy, Livable City",GRG 325E,3,Upper Division
Regions and Cultures of Europe,GRG 326,3,Upper Division
Sensing: Elemental Media,GRG 326C,3,Upper Division
International Political Economy of Lower-Income Countries,GRG 326G,3,Upper Division
Geography of the Former Soviet Union,GRG 327,3,Upper Division
Introduction to Geospatial Artificial Intelligence,GRG 327G,3,Upper Division
Geography in Eastern Europe and Eurasia,GRG 328E,3,Upper Division
Black Geographies,GRG 328F,3,Upper Division
Asian Diaspora on Indigenous Lands,GRG 328L,3,Upper Division
Topics in Geography,GRG 396T,3,Graduate
Geographies of International Development in Africa,GRG 330F,3,Upper Division
Lidar Analysis,GRG 330L,3,Upper Division
Water and Watersheds,"GRG 330W, 430W","3, 4",Upper Division
East European Transnational Worlds to 1914,GRG 331E,3,Upper Division
"Nature, Society, and Adaptation",GRG 331K,3,Upper Division
Community and Citizen Science,GRG 332L,3,Upper Division
Severe and Unusual Weather,GRG 333C,3,Upper Division
Climate Change,GRG 333K,3,Upper Division
"Conservation, Resources, and Technology",GRG 334,3,Upper Division
Children's Environmental Health,GRG 334E,3,Upper Division
Soils,GRG 334K,3,Upper Division
Vulnerability to Natural Hazards,GRG 334L,3,Upper Division
Quaternary Landscapes,GRG 335C,3,Upper Division
Anthropocene,GRG 335D,3,Upper Division
Mountain Geoecology,GRG 335K,3,Upper Division
Landscape Ecology,GRG 335N,3,Upper Division
Contemporary Cultural Geography,GRG 336,3,Upper Division
National Parks and Protected Areas,GRG 336C,3,Upper Division
The Modern American City,GRG 337,3,Upper Division
Rivers and Landscapes: Fluvial Geomorphology,GRG 338C,3,Upper Division
Process Geomorphology,"GRG 339, 439","3, 4",Upper Division
"Environment, Development, and Food Production",GRG 339K,3,Upper Division
Political Ecology of Globalization and Environmental Degradation,GRG 340D,3,Upper Division
Landuse/Landcover Change Practicum,GRG 440L,4,Upper Division
Internship and Service Learning,GRG 340U,3,Upper Division
Landscapes of Mexico and Caribbean America,GRG 341K,3,Upper Division
Sustainable Development,GRG 342C,3,Upper Division
Sustainable Landscapes and Seascapes,GRG 342N,3,Upper Division
"Sustainability, Equity, and Health",GRG 342S,3,Upper Division
Mapping Latin America,GRG 343E,3,Upper Division
Environmental Law,GRG 344G,3,Upper Division
"Global Food, Farming, and Hunger",GRG 344K,3,Upper Division
The Human Use of the Earth,GRG 346,3,Upper Division
Tourism and Place in the Global South,GRG 348E,3,Upper Division
Global Sustainability and Soil,GRG 349S,3,Upper Division
Geoprocessing,GRG 350E,3,Upper Division
