Coursename,Coursecode,Hours,Classification
Introduction to the Study of Northern Europe,GSD 301,3,Lower Division
Introductory Topics on Northern Europe,GSD 310,3,Lower Division
Movies Go To War,GSD 311C,3,Lower Division
Race and Gender Stereotypes in Germany,GSD 311D,3,Lower Division
Grimms' Fairy Tales,GSD 311E,3,Lower Division
Germany and Globalization,GSD 311F,3,Lower Division
Luther's World,GSD 311G,3,Lower Division
Sweden: Innovating for the World,GSD 311I,3,Lower Division
Children's Literature of Northern Europe,GSD 311J,3,Lower Division
The Conversion of Pagan Europe,GSD 312C,3,Lower Division
The Faust Legend: From the Magus to Today,GSD 312E,3,Lower Division
Topics in the Study of Northern Europe,"GSD 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
German Cultural History,GSD 321W,3,Upper Division
Topics in the Study of Northern Europe,"GSD 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Films of Ingmar Bergman,GSD 331C,3,Upper Division
Feminism and Film: Women Filmmakers in Northern and Central Europe,GSD 331D,3,Upper Division
Scandinavian Cinema Since 1980,GSD 331E,3,Upper Division
Central Europe Goes to Hollywood,GSD 331F,3,Upper Division
Silent Film in Germany and Scandinavia,GSD 331G,3,Upper Division
German Cinema 1918-1945,GSD 331J,3,Upper Division
Social Dramas of Henrik Ibsen,GSD 341D,3,Upper Division
Hans Christian Andersen,GSD 341E,3,Upper Division
Women and the Holocaust,GSD 341F,3,Upper Division
Isak Dinesen/Karen Blixen,GSD 341G,3,Upper Division
Contemporary Scandinavian Stories,GSD 341J,3,Upper Division
The Scandinavian Contribution to World Literature,GSD 341K,3,Upper Division
Vikings and Their Literature,GSD 341L,3,Upper Division
Arendt and de Beauvoir,GSD 341M,3,Upper Division
Nobel Prizes: Literature and Politics,GSD 341N,3,Upper Division
Northern European Comics,GSD 341Q,3,Upper Division
German Media: Print to Television,GSD 341S,3,Upper Division
"Germanic Novels: History, Culture, and Interpretation",GSD 341T,3,Upper Division
"Language, Culture, and the Texas German Experience",GSD 351C,3,Upper Division
"Identity, Codes, and Culture",GSD 351D,3,Upper Division
Topics in Culture and Society,GSD 360,3,Upper Division
Introduction to Germanic Religion and Myth,GSD 361C,3,Upper Division
Medieval Women Mystics,GSD 361D,3,Upper Division
Tolerance in Dutch Culture,GSD 361E,3,Upper Division
Squaring the Vienna Circle,GSD 361F,3,Upper Division
"Northern Gods, Northern Faiths: The Conversion of Scandinavians, Finns, Northern Slavs and Shamans",GSD 361G,3,Upper Division
"Protest, Revolt, and Revolution in West Germany",GSD 361J,3,Upper Division
German Nationalisms,GSD 361K,3,Upper Division
Anti-Semitism in History and Literature,GSD 361L,3,Upper Division
Berlin,GSD 361M,3,Upper Division
Exhibitions and Public Spectacle,GSD 361N,3,Upper Division
Sports and Politics in Germany,GSD 361P,3,Upper Division
German Scholars: US Exile,GSD 361Q,3,Upper Division
Viking Language: Runes and Sagas,GSD 361R,3,Upper Division
European Immigration to Texas in the Nineteenth Century,GSD 361S,3,Upper Division
Switzerland and Globalization,GSD 361T,3,Upper Division
Politics of Memory: Germany and the United States,GSD 361U,3,Upper Division
Nazi Culture and Politics,GSD 361V,3,Upper Division
Jewish Folklore,GSD 361W,3,Upper Division
Globalization and the Coronavirus Pandemic,GSD 362C,3,Upper Division
Memories of War,GSD 362D,3,Upper Division
German-American Immigration and Ethnicity,GSD 362E,3,Upper Division
Arabs and Vikings: Art and Culture,GSD 362F,3,Upper Division
Radical Chic: Revolutions from Europe,GSD 362G,3,Upper Division
People of the Midnight Sun - Sami Culture and Civilization,GSD 362I,3,Upper Division
Nordic Noir,GSD 362J,3,Upper Division
"Germanic and Scandinavian Modernisms, 1870-1925",GSD 362K,3,Upper Division
Relations Between East Germany and the United States,GSD 362L,3,Upper Division
"Literature, Culture, and Ecology in Northern and Central Europe",GSD 362M,3,Upper Division
Memory and Place After the Holocaust,GSD 362N,3,Upper Division
Transatlantic Memory Cultures,GSD 362P,3,Upper Division
Forensic Files: Philosophy Crimes,GSD 362Q,3,Upper Division
"Northern Renaissance: Religion, Magic, and Humanism",GSD 362R,3,Upper Division
Legacies of World War II in Eastern Europe,GSD 362T,3,Upper Division
"Capstone Research in German, Scandinavian, and Dutch Studies",GSD 377,3,Upper Division
"Conference Course in German, Scandinavian, and Dutch Studies",GSD 379,3,Upper Division
Honors Tutorial Course,GSD 679H,6,Upper Division
,,Total Hours: 216
DegreeView
