Coursename,Coursecode,Hours,Classification
Introduction to Health and Society,H S 301,3,Lower Division
Current Approaches to Health and Society,H S 302,3,Lower Division
Physical Activity and Society,H S 310P,3,Lower Division
Topics in Health and Society,"H S 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Health and Society,H S 340,3,Upper Division
Health Care Policy in the United States,H S 330,3,Upper Division
Climate Change and Health,H S 330C,3,Upper Division
COVID-19 Social Impacts and Public Dilemmas,H S 331C,3,Upper Division
Health and Justice,H S 341,3,Upper Division
Comparative United States Health Systems,H S 341C,3,Upper Division
"Sustainability, Equity, and Health",H S 347E,3,Upper Division
Foundations of Epidemiology,H S 350E,3,Upper Division
Seminar in Health and Society,H S 378,3,Upper Division
Honors Tutorial Course,H S 679H,6,Upper Division
,,Total Hours: 45
DegreeView
