Coursename,Coursecode,Hours,Classification
Family Relationships,HDF 304 (TCCN: TECA 1303),3,Lower Division
Family Relationships: Honors,HDF 304H,3,Lower Division
Health and Development Across the Lifespan,HDF 305,3,Lower Division
Introduction to Gender and Sexuality,HDF 306,3,Lower Division
Family Resource Management,HDF 312,3,Lower Division
Child Development,HDF 313 (TCCN: TECA 1354),3,Lower Division
Child Development: Honors,HDF 313H,3,Lower Division
Child Development Laboratory,HDF 113L,1,Lower Division
Child Development Laboratory: Honors,HDF 114H,1,Lower Division
Research Methods in Human Development and Family Sciences,HDF 315L,3,Lower Division
Topics in Human Development and Family Sciences,"HDF 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Personal and Family Finance,HDF 322,3,Upper Division
Topics in Human Development and Family Sciences,"HDF 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Adult Development,HDF 335,3,Upper Division
Personal Relationships,HDF 337,3,Upper Division
Developmentally Appropriate Practices with Young Children,HDF 338,3,Upper Division
"Ethical, Philosophical, and Professional Development Issues",HDF 340,3,Upper Division
Development of Psychopathology from Infancy through Adolescence,HDF 342,3,Upper Division
Human Development in Minority and Immigrant Families,HDF 343,3,Upper Division
Peer Relationships,HDF 345,3,Upper Division
Socioeconomic Problems of Families,HDF 347,3,Upper Division
Infant Development and Attachment Relationships,HDF 351,3,Upper Division
Field Experience: Community,HDF 352,3,Upper Division
Field Practicum: Community,HDF 652F,6,Upper Division
Field Experience: Early Childhood,HDF 352L,3,Upper Division
Field Practicum: Early Childhood,HDF 652P,6,Upper Division
Longevity in the 21st Century,HDF 353,3,Upper Division
Problems Course: Honors,"HDF 155H, 255H, 355H, 655H","1, 2, 3, 6",Upper Division
Problems Course: Research Practicum,"HDF 155R, 255R, 355R, 655R","1, 2, 3, 6",Upper Division
The Evolution of Relationships,HDF 356,3,Upper Division
Applied Child Development,"HDF 157, 257, 357, 657","1, 2, 3, 6",Upper Division
Parent-Child Relationships,HDF 358,3,Upper Division
Advanced Applied Research Experience,"HDF 159, 259, 359, 659","1, 2, 3, 6",Upper Division
Methods of Family Life Education,HDF 360,3,Upper Division
Children and Public Policy,HDF 362,3,Upper Division
Guidance in Adult-Child Relationships,HDF 266C,2,Upper Division
Guidance in Adult Child Relationships Lab,HDF 266L,2,Upper Division
Adolescent Development in Context,HDF 371,3,Upper Division
Families in Transition,HDF 372K,3,Upper Division
Topics in Advanced Child and Family Development,HDF 378K,3,Upper Division
Theories of Child and Family Development,HDF 378L,3,Upper Division
Honors Tutorial Course,HDF 379H,3,Upper Division
Topics in Research Methods,HDF 380K,3,Graduate
Topics in Research Problems,"HDF 192, 292, 392, 692","1, 2, 3, 6",Graduate
Topics in Graduate Seminar,HDF 394,3,Graduate
Topics in Recent Advances in Human Development and Family Sciences,HDF 395,3,Graduate
Practicum in Human Development and Family Sciences,HDF 397P,3,Graduate
Thesis,HDF 698,6,Graduate
Supervised Teaching in Human Development and Family Sciences,HDF 398T,3,Graduate
Dissertation,"HDF 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 153
DegreeView
