Coursename,Coursecode,Hours,Classification
Introduction to the Human Dimensions of Organizations,HDO 301,3,Lower Division
Researching People-Centered Problems,HDO 310,3,Lower Division
Topics in Human Dimensions of Organizations,"HDO 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Multidisciplinary Methods for Exploring Organizations,HDO 320,3,Upper Division
Law and Organizations,HDO 322L,3,Upper Division
Strategic Human Resources Management,HDO 325,3,Upper Division
Organizational Ethics,HDO 325N,3,Upper Division
Topics in Human Dimensions of Organizations,HDO 330,3,Upper Division
Creativity and Innovation in Organizations,HDO 330C,3,Upper Division
Organizational Learning,HDO 330L,3,Upper Division
Identities in Organizations,HDO 350,3,Upper Division
Honors Research I,HDO 359H,3,Upper Division
Conference Course,HDO 360,3,Upper Division
Bias,HDO 365,3,Upper Division
Applying the Human Dimensions of Organizations,HDO 379,3,Upper Division
Honors Research II,HDO 379H,3,Upper Division
Cultural Perspectives on the Human Dimensions of Organizations,HDO 380,3,Graduate
Individual Perspectives on the Human Dimensions of Organizations,HDO 381,3,Graduate
Approaches to Leadership,HDO 382,3,Graduate
"Society, Culture and Organizational Diversity",HDO 383,3,Graduate
"Organizational Inertia, Decision Making and Change",HDO 384,3,Graduate
Organizational Ethics,HDO 285,2,Graduate
Persuasion and Argumentation,HDO 386,3,Graduate
The Structure of Organizations,HDO 287,2,Graduate
Conference Course in Human Dimensions of Organizations,HDO 388,3,Graduate
Writing and Researching Organizations,HDO 289,2,Graduate
Qualitative Research Methods,HDO 390,3,Graduate
Quantitative Research Methods,HDO 391,3,Graduate
Computational Methods,HDO 292,2,Graduate
Capstone Project,HDO 695,6,Graduate
Practicum in Human Dimensions of Organizations,HDO 197,1,Graduate
,,Total Hours: 90
DegreeView
