Coursename,Coursecode,Hours,Classification
Intensive Hebrew I,HEB 601C,6,Lower Division
Intensive Biblical Hebrew I,HEB 602C,6,Lower Division
First-Year Hebrew I,HEB 506,5,Lower Division
First-Year Hebrew II,HEB 507,5,Lower Division
Intensive Hebrew II,HEB 611C,6,Lower Division
Intensive Biblical Hebrew II,HEB 612C,6,Lower Division
Second-Year Hebrew I,HEB 412K,4,Lower Division
Second-Year Hebrew II,HEB 412L,4,Lower Division
Topics in Hebrew,"HEB 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Hebrew via Popular Culture,HEB 320K,3,Upper Division
Hebrew through the Media,HEB 320L,3,Upper Division
Topics in Hebrew,"HEB 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Hebrew across Disciplines,HEB 130D,1,Upper Division
"Topics in Hebrew Language, Literature, and Culture",HEB 346,3,Upper Division
Innovation and Technology in Israel,HEB 346C,3,Upper Division
Israeli Society and Culture,HEB 346D,3,Upper Division
Conference Course in Hebrew Language and Literature,HEB 369,3,Upper Division
Topics in Hebrew Language,HEB 380C,3,Graduate
Intensive Graduate Language Instruction I,HEB 381H,3,Graduate
Intensive Graduate Language Instruction II,HEB 381J,3,Graduate
Intensive Biblical Language Instruction I,HEB 381K,3,Graduate
Intensive Biblical Language Instruction II,HEB 381L,3,Graduate
Hebrew Via Popular Culture,HEB 381M,3,Graduate
Hebrew Through the Media,HEB 381N,3,Graduate
Topics in Hebrew Literature,HEB 384C,3,Graduate
Topics in Hebrew Literature in Translation and Israeli Media,HEB 385,3,Graduate
Conference Course in Hebrew Studies,HEB 389,3,Graduate
Thesis,HEB 698,6,Graduate
Dissertation,"HEB 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 106
DegreeView
