Coursename,Coursecode,Hours,Classification
Freshman seminar,HED 110,1,Lower Division
Introduction to Health Promotion and Behavioral Science,HED 311,3,Lower Division
Foundations of Stress Management,HED 112,1,Lower Division
Topics in Health Education,"HED 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Internship/Fieldwork in Health Promotion,"HED 127L, 227L, 327L, 627L","1, 2, 3, 6",Upper Division
Internship in Health Promotion,HED 628,6,Upper Division
Child and Adolescent Health,HED 329K,3,Upper Division
Topics in Health Education,"HED 129S, 229S, 329S, 629S","1, 2, 3, 6",Upper Division
Theories of Substance Use and Abuse,HED 335,3,Upper Division
Foundations of Epidemiology,HED 343,3,Upper Division
Theories of Health Promotion & Behavioral Science,HED 350,3,Upper Division
Needs Assessment and Program Planning,HED 351,3,Upper Division
Topics in Health Studies,HED 352K,3,Upper Division
Adolescent Health Risk Behavior,HED 360,3,Upper Division
Psychosocial Issues in Women's Health,HED 361,3,Upper Division
Strategic Health Communication,HED 364,3,Upper Division
Social Determinants of Health and Health Disparities,HED 365,3,Upper Division
Human Sexuality,HED 366,3,Upper Division
Topics in Health Promotion: Seminar,HED 370K,3,Upper Division
Foundations of Health Promotion II,HED 371K,3,Upper Division
Evaluation and Research Design,HED 373,3,Upper Division
Topics in Fieldwork in Health,"HED 178C, 278C, 378C, 678C","1, 2, 3, 6",Upper Division
Topics in Peer Health Leadership I,HED 378D,3,Upper Division
Topics in Peer Health Leadership II,HED 178E,1,Upper Division
Topics in Peer Health Leadership III,HED 178F,1,Upper Division
Applied Peer Education,HED 178G,1,Upper Division
Foundations of Peer Health Leadership,HED 378I,3,Upper Division
Fieldwork in Peer Education,HED 178J,1,Upper Division
Topics in Research Methodologies,HED 386,3,Graduate
Topics in Advanced Studies,HED 395,3,Graduate
Doctoral Seminar,"HED 196, 296, 396","1, 2, 3",Graduate
Directed Research in Health Education,"HED 296T, 396T","2, 3",Graduate
Research Problems,"HED 197, 397","1, 3",Graduate
Graduate Internship,"HED 397P, 697P","3, 6",Graduate
Thesis,HED 698,6,Graduate
Teaching in Higher Education,HED 398T,3,Graduate
Dissertation,"HED 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 105
DegreeView
