Coursename,Coursecode,Hours,Classification
The Premodern World,HIS 301F (TCCN: HIST 2321),3,Lower Division
Globalization: A Modern History,HIS 301J (TCCN: HIST 2322),3,Lower Division
"Introduction to Russian, East European, and Eurasian Studies",HIS 301R,3,Lower Division
Introduction to China,HIS 302C,3,Lower Division
Female Voices in China,HIS 302F,3,Lower Division
Popular Culture in Modern Japan,HIS 302P,3,Lower Division
The Conversion of Pagan Europe,HIS 304C,3,Lower Division
English Civilization before 1603,HIS 304K,3,Lower Division
English Civilization since 1603,HIS 304L,3,Lower Division
Luther's World,HIS 304Q,3,Lower Division
"Judaism, Christianity, and Islam: An Introduction",HIS 304R,3,Lower Division
"Jews, Pagans, and Christians",HIS 304S,3,Lower Division
Korean Literature and Film,HIS 305C,3,Lower Division
History of East Asia to 1800,HIS 305K,3,Lower Division
History of East Asia since 1800,HIS 305L,3,Lower Division
Cuisine and Culture of Central and Eastern Europe,HIS 306C,3,Lower Division
Introduction to the Middle East: Adjustment and Change in Modern Times,HIS 306J,3,Lower Division
"Introduction to the Middle East: Religious, Cultural, and Historical Foundations",HIS 306K,3,Lower Division
Topics in History,HIS 306N,3,Lower Division
The Ancient Middle East,HIS 306Q,3,Lower Division
Introduction to the History of India,HIS 307C,3,Lower Division
A History of Violence from 1500 to Present,HIS 307P,3,Lower Division
Introduction to Holocaust and Genocide Studies,HIS 307Q,3,Lower Division
Medieval Material Culture,HIS 309C,3,Lower Division
The Roots of Religious Toleration,HIS 309J,3,Lower Division
Western Civilization in Medieval Times,HIS 309K (TCCN: HIST 2311),3,Lower Division
Western Civilization in Modern Times,HIS 309L (TCCN: HIST 2312),3,Lower Division
The Medieval Millennium in Europe,HIS 309M,3,Lower Division
Introduction to Modern Africa,HIS 310,3,Lower Division
Early Mesoamerican Religions,HIS 310E,3,Lower Division
Latin American Civilization: The Colonial Experience,HIS 310K,3,Lower Division
Latin American Civilization: The National Experience,HIS 310L,3,Lower Division
Film and History in Latin America: Colonial Period,HIS 310M,3,Lower Division
Film and History in Latin America: Modern Period,HIS 310N,3,Lower Division
Revolution and Decolonization in North Africa,HIS 310P,3,Lower Division
Latin America and the United States,HIS 310R,3,Lower Division
The History of Israel,HIS 311J,3,Lower Division
Introduction to Traditional Africa,HIS 311K,3,Lower Division
History of Mexican Americans in the United States,HIS 314K (TCCN: HIST 2328),3,Lower Division
Introduction to American Studies,HIS 315G,3,Lower Division
"The United States, 1492-1865",HIS 315K (TCCN: HIST 1301),3,Lower Division
The United States since 1865,HIS 315L (TCCN: HIST 1302),3,Lower Division
Topics in United States History,"HIS 317L (TCCN: HIST 2327, HIST 2381, HIST 2382)",3,Lower Division
Discovery History,HIS 318N,3,Lower Division
Supervised Research,HIS 318Q,3,Lower Division
The Ancient Mediterranean World,HIS 319D,3,Lower Division
Topics in History,HIS 366N,3,Upper Division
Texas before 1900,HIS 320E,3,Upper Division
"Texas, 1900 to the Present",HIS 320F,3,Upper Division
Topics in Texas History,HIS 320T,3,Upper Division
Thinking Like a Historian,HIS 320W,3,Upper Division
The History of Rome: The Empire,HIS 321,3,Upper Division
Ancient Slavery,HIS 321C,3,Upper Division
Africa and Rome,HIS 321J,3,Upper Division
The History of Rome: The Republic,HIS 321M,3,Upper Division
Cultural History of World Science to 1650,HIS 322C,3,Upper Division
The Scientific Revolution of the Seventeenth Century,HIS 322D,3,Upper Division
History of the Modern Life Sciences,HIS 322G,3,Upper Division
History of Modern Science,HIS 322M,3,Upper Division
"Biology, Behavior, and Injustice",HIS 322R,3,Upper Division
The History of Genetics and Eugenics,HIS 322S,3,Upper Division
Europe since 1919,HIS 323L,3,Upper Division
"Global Catholicism, 1400-1800",HIS 325C,3,Upper Division
Religions in the Ottoman Empire,HIS 325F,3,Upper Division
Russian Orthodox Religion and Culture,HIS 325Q,3,Upper Division
History of Jewish Thought,HIS 325S,3,Upper Division
History of Sephardi Jews,HIS 325T,3,Upper Division
Russia Through American Eyes,HIS 326D,3,Upper Division
Socialism's Past and Futures,HIS 326E,3,Upper Division
Modern Brazil,HIS 328M,3,Upper Division
History of the Atomic Bomb,HIS 329P,3,Upper Division
Perspectives on Science and Mathematics,HIS 329U,3,Upper Division
History of Modern Media and Culture,HIS 330S,3,Upper Division
History of the Ottoman Empire,HIS 331C,3,Upper Division
Arab Citizens of Israel,HIS 331D,3,Upper Division
The Arab-Israeli Conflict,HIS 331E,3,Upper Division
History of Iran to 1800,HIS 331G,3,Upper Division
The Shock of Modernity in the Middle East,HIS 331I,3,Upper Division
History of the Arab World,HIS 331J,3,Upper Division
Modern Iran,HIS 331L,3,Upper Division
"Re-forming the Arab East, 1914-Present",HIS 331R,3,Upper Division
European Intellectual History from the Enlightenment to Nietzsche,HIS 332G,3,Upper Division
Twentieth-Century European Intellectual History,HIS 332J,3,Upper Division
Forensic Files: Philosophy Crimes,HIS 332Q,3,Upper Division
Marx and Marxist Theory,HIS 332R,3,Upper Division
"United States Foreign Relations, 1776-1914",HIS 333L,3,Upper Division
"United States Foreign Relations, 1914 to the Present",HIS 333M,3,Upper Division
"Music Cultures of the Middle East, Past and Present",HIS 334C,3,Upper Division
Myths and Legends of the Ancient Near East,HIS 334D,3,Upper Division
Modern Egypt: A History,HIS 334E,3,Upper Division
Modern Egypt in Film and Fiction,HIS 334F,3,Upper Division
Cultures of Revolution in the Middle East,HIS 334G,3,Upper Division
Culture in Turkey: Myths and Realities,HIS 334I,3,Upper Division
History of Britain from the Restoration to 1783,HIS 334J,3,Upper Division
"The American Revolution and the Founding of the United States, 1763-1800",HIS 334L,3,Upper Division
The Levant: From Colonialism to Coexistence,HIS 334O,3,Upper Division
Middle East Outlaws and Lawmen,HIS 334P,3,Upper Division
Multiculturalism in Jordan,HIS 334Q,3,Upper Division
Relations Between East Germany and the United States,HIS 337C,3,Upper Division
German Cinema 1918-1945,HIS 337D,3,Upper Division
Transatlantic Memory Cultures,HIS 337E,3,Upper Division
Nordic Noir,HIS 337J,3,Upper Division
Germany in the Twentieth Century,HIS 337N,3,Upper Division
Medieval Middle East History in One Hundred Objects,HIS 339Q,3,Upper Division
Sufism: Islamic Thought and Spirituality,HIS 339S,3,Upper Division
Post-Mao China: Change and Transformation,HIS 340L,3,Upper Division
Modern China,HIS 340M,3,Upper Division
European Expansion in Asia,HIS 340P,3,Upper Division
European Empires in Asia,HIS 340R,3,Upper Division
The Chinese in the United States,HIS 340S,3,Upper Division
"Taiwan: Colonization, Migration, and Identity",HIS 340T,3,Upper Division
The Cultural Outsider: Memoirs of East Asia,HIS 340U,3,Upper Division
Big Asian Histories,HIS 340V,3,Upper Division
The Two Koreas and the United States,HIS 341F,3,Upper Division
History and Memory in Japan and Korea,HIS 341J,3,Upper Division
Origins of Modern Japan,HIS 341K,3,Upper Division
Imperial Japan,HIS 341M,3,Upper Division
Postwar Japan,HIS 342C,3,Upper Division
