Coursename,Coursecode,Hours,Classification
Community Service,HMN 101,1,Lower Division
Design A Path,HMN 102T,1,Lower Division
Introduction to Humanities Honors Research,HMN 104,1,Lower Division
Internship,"HMN 110, 210, 310","1, 2, 3",Lower Division
Topics in the Humanities,"HMN 116, 216, 316","1, 2, 3",Lower Division
Supervised Research,HMN 318Q,3,Lower Division
Humanism and Western Civilization: The Ancient World,HMN 321,3,Upper Division
Humanism and Western Civilization: The Renaissance,HMN 322,3,Upper Division
Humanism and Western Civilization: The Enlightenment,HMN 323,3,Upper Division
Junior Fellows Seminar,HMN 125J,1,Upper Division
"The Arts, Sciences, and Social Sciences",HMN 125K,1,Upper Division
Topics in the Humanities,HMN 350,3,Upper Division
The Johnson Years,HMN 351C,3,Upper Division
Money In American Politics,HMN 351D,3,Upper Division
Archival Advocacy: Experiential Learning,HMN 351N,3,Upper Division
Supervised Research,HMN 358Q,3,Upper Division
Honors Tutorial Course I,HMN 368H,3,Upper Division
Honors Tutorial Course II,HMN 369H,3,Upper Division
Senior Tutorial Course,HMN 370,3,Upper Division
Conference Course,HMN 379,3,Upper Division
,,Total Hours: 50
DegreeView
