Coursename,Coursecode,Hours,Classification
Topics in International Business,"I B 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of International Business,I B 320F,3,Upper Division
Topics in International Business,I B 372T,3,Upper Division
Topics in Foundations of International Business,I B 332F,3,Upper Division
Introduction to Management in a Global Environment,I B 137C,1,Upper Division
Global Management Capstone,"I B 237D, 337D","2, 3",Upper Division
International Trade,I B 350,3,Upper Division
International Commerce Analysis,I B 350S,3,Upper Division
Independent International Analysis,I B 151S,1,Upper Division
International Security,I B 360D,3,Upper Division
Global Regulatory Strategy,I B 362,3,Upper Division
Finance and Global Business,I B 365,3,Upper Division
International Accounting and Transfer Pricing,I B 366,3,Upper Division
International Business Practicum,I B 366P,3,Upper Division
Intercultural Management,I B 367C,3,Upper Division
Global Entrepreneurship,I B 367D,3,Upper Division
Global Value Chains,I B 368,3,Upper Division
Business in Emerging Markets,I B 373,3,Upper Division
Supply Chain and Operations Management Strategy,I B 375C,3,Upper Division
International Finance,I B 376,3,Upper Division
International Business Operations,I B 378,3,Upper Division
Independent Research in International Business,"I B 179C, 379C","1, 3",Upper Division
Directed Studies in Global Management and Business Practices,"I B 185E, 285E, 385E","1, 2, 3",Graduate
Topics in Seminar: International Trade,I B 395,3,Graduate
,,Total Hours: 68
DegreeView
