Coursename,Coursecode,Hours,Classification
Introduction to Theory and Research of Literature and Culture,ILA 380,3,Graduate
Introduction to Theory and Research of Linguistics,ILA 381,3,Graduate
Creative Writing in Spanish,ILA 383,3,Graduate
Conference Course,ILA 383L,3,Graduate
Colloquium,ILA 384,3,Graduate
Teaching Practicum,ILA 385T,3,Graduate
Topics in Iberian and Latin American Linguistics,ILA 386,3,Graduate
Topics in Iberian and Latin American Literatures and Cultures: Spanish,ILA 387,3,Graduate
Topics in Iberian and Latin American Literatures and Cultures: Portuguese,ILA 388,3,Graduate
Brazilian Cultural Theory,ILA 388C,3,Graduate
Cultural Tropicalities,ILA 388D,3,Graduate
Topics in Iberian and Latin American Literatures and Cultures: Spanish and Portuguese,ILA 389,3,Graduate
Supervised Preparation of the Qualifying Paper,ILA 394,3,Graduate
Supervised Preparation of the Dissertation Fields,ILA 395,3,Graduate
Supervised Preparation of the Dissertation Proposal,ILA 396,3,Graduate
Master's Report,ILA 398R,3,Graduate
Supervised Teaching in Spanish and Portuguese,ILA 398T,3,Graduate
Dissertation,"ILA 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 54
DegreeView
