Coursename,Coursecode,Hours,Classification
Field Biology,INB 208L,2,Lower Division
Topics in Integrative Biology,"INB 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Principles of Computational Biology,INB 321G,3,Upper Division
Aquatic Entomology,INB 321L,3,Upper Division
"Structure, Physiology, and Reproduction of Seed Plants",INB 322,3,Upper Division
"Structure, Physiology, and Reproduction of Seed Plants Laboratory",INB 122L,1,Upper Division
Mathematical Modeling for Biology,INB 323,3,Upper Division
Survey of the Plant Kingdom,INB 324,3,Upper Division
Survey of the Plant Kingdom Laboratory,INB 124L,1,Upper Division
Topics in Integrative Biology,"INB 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Biology,"INB 137, 237, 337, 437","1, 2, 3, 4",Upper Division
Animal Communication,INB 438L,4,Upper Division
Biology of Birds,INB 440L,4,Upper Division
Endocrinology,INB 345E,3,Upper Division
Human Biology,INB 346,3,Upper Division
Human Microscopic and Gross Anatomy,INB 446L,4,Upper Division
Invertebrate Biology,INB 448L,4,Upper Division
Pandemic Science,INB 349P,3,Upper Division
Economic Botany,INB 351,3,Upper Division
Reproductive Biology of Flowering Plants,INB 352,3,Upper Division
Field Entomology,INB 353F,3,Upper Division
Entomology,INB 453L,4,Upper Division
Sleep Science,INB 353S,3,Upper Division
Ichthyology,INB 354L,3,Upper Division
Vertebrate Natural History,INB 455L,4,Upper Division
Limnology and Oceanography,INB 456L,4,Upper Division
Behavioral Ecology,INB 359J,3,Upper Division
Principles of Animal Behavior,INB 359K,3,Upper Division
Animal Behavior Laboratory,INB 359L,3,Upper Division
Comparative Animal Physiology,INB 361T,3,Upper Division
Plant Systematics,INB 463L,4,Upper Division
Microbial Ecology,INB 364,3,Upper Division
Human Systems Physiology,INB 365S,3,Upper Division
Human Systems Physiology Laboratory,INB 165U,1,Upper Division
Field Herpetology,INB 369F,3,Upper Division
Herpetology,INB 369L,3,Upper Division
Evolution,INB 370,3,Upper Division
Evolution Laboratory,INB 470L,4,Upper Division
Introduction to Systematics,INB 471,4,Upper Division
Natural History Museum Science,INB 471G,4,Upper Division
Experimental Physiology,INB 371L,3,Upper Division
Ecology,INB 373,3,Upper Division
Ecology Laboratory,INB 373L,3,Upper Division
Plant Anatomy with Histological Techniques,INB 374,3,Upper Division
Laboratory in Plant Anatomy and Histological Techniques,INB 174L,1,Upper Division
Conservation Biology,INB 375,3,Upper Division
Biodiversity in the Anthropocene,INB 376G,3,Upper Division
Undergraduate Research,"INB 177, 277, 377","1, 2, 3",Upper Division
Comparative Vertebrate Anatomy,INB 478L,4,Upper Division
Honors Tutorial Course,"INB 379H, 679H","3, 6",Upper Division
Thesis,INB 698,6,Graduate
Master's Report,INB 398R,3,Graduate
Dissertation,"INB 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 165
DegreeView
