Coursename,Coursecode,Hours,Classification
Information in Social and Cultural Context,INF 380C,3,Graduate
Designing Dynamic Web Pages,INF 380D,3,Graduate
Perspectives on Information,INF 380E,3,Graduate
Internet Applications,INF 380K,3,Graduate
Introduction to Programming,INF 380P,3,Graduate
Individual Studies,"INF 181, 281, 381","1, 2, 3",Graduate
Electronic Portfolio,INF 181E,1,Graduate
Advanced Problems in Information Studies,INF 381W,3,Graduate
Understanding and Serving Users,INF 382C,3,Graduate
Introduction to Information Resources and Services,INF 382D,3,Graduate
Topics in Information Resources and Services for Children and Young Adults,INF 382G,3,Graduate
Legal Information Resources,INF 382H,3,Graduate
Information Resources in the Health Sciences,INF 382K,3,Graduate
Topics in Information Resources and Services,INF 382L,3,Graduate
Information Resources in Business,INF 382N,3,Graduate
Competitive Intelligence Resources and Strategies,INF 382P,3,Graduate
Introduction to Scientific Data Informatics,INF 382R,3,Graduate
Library Instruction and Information Literacy,INF 382S,3,Graduate
"Information Services: Theory, Techniques, and Subject Areas",INF 382T,3,Graduate
Digital Resources for Children and Youth Seminar,INF 382U,3,Graduate
Visual Resources for Youth Seminar,INF 382V,3,Graduate
Mathematical Foundations of Information Studies,INF 383D,3,Graduate
Interpreting Implicit Information on the Web,INF 383E,3,Graduate
Introduction to Digital Humanities,INF 383H,3,Graduate
"Library Information Science, Espionage, and Intelligence Gathering",INF 383S,3,Graduate
Organizing Information,INF 384C,3,Graduate
Collection Management,INF 384D,3,Graduate
Seminar in Information Organization,INF 384F,3,Graduate
Concepts of Information Retrieval,INF 384H,3,Graduate
Topics in Description and Metadata,INF 384M,3,Graduate
Digital Repositories,INF 384R,3,Graduate
Descriptive Cataloging and Metadata,INF 384W,3,Graduate
Human-Computer Interaction,INF 385C,3,Graduate
Information Architecture and Design,INF 385E,3,Graduate
Advanced Usability,INF 385G,3,Graduate
Digital Media Design,INF 385H,3,Graduate
Projects in Human-Computer Interaction,INF 385K,3,Graduate
Information Networks,INF 385L,3,Graduate
Database Management,INF 385M,3,Graduate
Topics in Informatics,INF 385N,3,Graduate
Usability,INF 385P,3,Graduate
Knowledge Management Systems,INF 385Q,3,Graduate
Survey of Digitization,INF 385R,3,Graduate
Digital Libraries,INF 385S,3,Graduate
Special Topics in Information Science,INF 385T,3,Graduate
Digital Media Collections,INF 385U,3,Graduate
Health Informatics,INF 385V,3,Graduate
Security Informatics,INF 385W,3,Graduate
Topics in the History of Information and Society,INF 386,3,Graduate
"Archives, Records, and Preservation in the Modern World",INF 386C,3,Graduate
Topics in Information and Culture,INF 386E,3,Graduate
"Gender, Technology, and Information",INF 386G,3,Graduate
Theory and Methods of Oral History,INF 386H,3,Graduate
Topics in Administration,INF 387,3,Graduate
Managing Information Organizations,INF 387C,3,Graduate
Evaluating Information Programs,INF 387E,3,Graduate
Information Marketing,INF 387M,3,Graduate
Information Technology and Work,INF 387T,3,Graduate
Planning and Management of Programs for Children and Young Adults,INF 388D,3,Graduate
Historical Museums: Context and Practice,INF 388E,3,Graduate
Topics in Organizational Environments,INF 388K,3,Graduate
Professional Experience and Project,INF 388L,3,Graduate
Practicum in School Libraries,INF 388R,3,Graduate
Internship in Libraries and Other Information Agencies,"INF 188T, 288T, 388T","1, 2, 3",Graduate
Archival and Records Enterprise,INF 389C,3,Graduate
Introduction to Records Management,INF 389E,3,Graduate
Introduction to Electronic and Digital Records,INF 389G,3,Graduate
Appraisal and Selection of Records,INF 389J,3,Graduate
Life Cycle Metadata for Digital Objects,INF 389K,3,Graduate
Introduction to Issues in Records Information,INF 389M,3,Graduate
Topics in Archival Enterprise: Seminar,INF 389N,3,Graduate
Introduction to Archival Enterprise I,INF 389R,3,Graduate
Introduction to Archival Enterprise II,INF 389S,3,Graduate
Copyright: Legal and Cultural Perspectives,INF 390C,3,Graduate
Topics in Information Policy,INF 390N,3,Graduate
Topics in Privacy,INF 390P,3,Graduate
Topics in Doctoral Inquiry in Information Studies,INF 391D,3,Graduate
Advanced Topics in Information Studies,INF 391E,3,Graduate
"Advanced Topics in Research Methods, Methodologies, and Design",INF 391F,3,Graduate
Doctoral Writing Seminar,INF 391G,3,Graduate
Directed Readings,"INF 191R, 291R, 391R, 491R, 591R, 691R, 791R, 891R, 991R","1, 2, 3, 4, 5, 6, 7, 8, 9",Graduate
Directed Research,"INF 191S, 291S, 391S, 491S, 591S, 691S, 791S, 891S, 991S","1, 2, 3, 4, 5, 6, 7, 8, 9",Graduate
Preservation Administration and Services,INF 392C,3,Graduate
Preservation Basics,INF 392D,3,Graduate
"Materials in Libraries, Archives, and Museums",INF 392E,3,Graduate
Risk Assessment and Collections Management,INF 392F,3,Graduate
Management of Preservation Programs,INF 392G,3,Graduate
Creating Sustainable Digital Collections,INF 392H,3,Graduate
Digital Archiving and Preservation,INF 392K,3,Graduate
Introduction to Audio Preservation and Reformatting,INF 392L,3,Graduate
Advanced Audio Preservation and Reformatting,INF 392M,3,Graduate
The Politics of Preservation,INF 392P,3,Graduate
Topics in Conservation Laboratory Techniques,INF 393C,3,Graduate
Topics in Information Studies Research,INF 397,3,Graduate
Understanding Research,INF 397C,3,Graduate
Bibliography and Methods in Historical Research,INF 397D,3,Graduate
Thesis,INF 698,6,Graduate
Master's Report,INF 398R,3,Graduate
Supervised Teaching in Information Studies,INF 398T,3,Graduate
Dissertation,"INF 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 301
DegreeView
