Coursename,Coursecode,Hours,Classification
Introduction to Information Security and Privacy,ISP 380,3,Graduate
Information and Privacy in Society,ISP 381,3,Graduate
Data Governance for Information Security and Privacy,ISP 382D,3,Graduate
Public Policy and Law Governing Information Security and Privacy,ISP 382P,3,Graduate
Business Governance and Controls for Information Security and Privacy,ISP 383,3,Graduate
Strategic Communication for Information Security and Privacy,ISP 384,3,Graduate
Information Risk and Benefit Analysis,ISP 385,3,Graduate
Topics in Information Security and Privacy,ISP 385T,3,Graduate
Information Security,ISP 386,3,Graduate
Information Management and Repositories,ISP 387,3,Graduate
Professional Experience and Project,ISP 388L,3,Graduate
Individual Studies,"ISP 189, 289, 389","1, 2, 3",Graduate
Master's Report,ISP 398R,3,Graduate
,,Total Hours: 39
DegreeView
