Coursename,Coursecode,Hours,Classification
Topics in Italian Civilization,"ITC 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Italian Civilization,"ITC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Italian Studies,ITC 330,3,Upper Division
Rome Sets the Stage,ITC 335,3,Upper Division
Italian Resistance Mediated,ITC 335R,3,Upper Division
"Vamps, Stars, and The Diva",ITC 336,3,Upper Division
Elena Ferrante: Politics and Passion,ITC 336E,3,Upper Division
Italian Masterpieces,ITC 337,3,Upper Division
Italian Television Advertising,ITC 338,3,Upper Division
Italian Cinema,ITC 339,3,Upper Division
Sicily: Cultures and Conquest,ITC 340,3,Upper Division
American Dante,ITC 347,3,Upper Division
Race and Migration: The Mediterranean,ITC 347R,3,Upper Division
Dante,ITC 348,3,Upper Division
,,Total Hours: 42
DegreeView
