Coursename,Coursecode,Hours,Classification
Introduction to Integrated Design,ITD 101,1,Lower Division
Introduction to Design Thinking,ITD 301D,3,Lower Division
Sketching for Thinking and Communication,ITD 102,1,Lower Division
Design in Business,ITD 104,1,Lower Division
Presentation and Improvisational Skills in Design Thinking,ITD 106,1,Lower Division
Topics in Integrated Design,"ITD 110, 210, 310","1, 2, 3",Lower Division
Topics in Innovative Design,"ITD 110T, 310T","1, 3",Lower Division
Intro to Design for Artificial Intelligence,ITD 111,1,Lower Division
Introduction to Design for Health,ITD 312,3,Lower Division
Storytelling in Design,"ITD 119G, 319G","1, 3",Lower Division
Topics in Integrated Design,"ITD 185, 285, 385","1, 2, 3",Graduate
Advanced Design for Artificial Intelligence,ITD 320,3,Upper Division
Topics in Artificial Intelligence Design,"ITD 125, 225, 325","1, 2, 3",Upper Division
Topics in Innovative Design,"ITD 130T, 330T","1, 3",Upper Division
Advanced Topics in Integrated Design,"ITD 150, 250, 350","1, 2, 3",Upper Division
Business of Design,ITD 350D,3,Upper Division
Topics in Advanced Innovative Design,"ITD 150T, 350T","1, 3",Upper Division
Perspectives in Design,ITD 360,3,Upper Division
Applied Ethnographic Research in Design,ITD 365,3,Upper Division
Topics in Off-Site Field Studios,"ITD 170, 270, 370","1, 2, 3",Upper Division
Capstone in Integrated Design,ITD 375,3,Upper Division
Design Thinking,ITD 380,3,Graduate
Topics in Integrated Design Studio,"ITD 186, 286, 386, 486, 586, 686","1, 2, 3, 4, 5, 6",Graduate
Design for Health,ITD 390,3,Graduate
Health Design Seminar,ITD 291,2,Graduate
Health Design Lab,ITD 692,6,Graduate
Topics in Health Design,"ITD 195, 295, 395","1, 2, 3",Graduate
Topics in Health Design Studio,"ITD 196, 296, 396, 496, 596, 696","1, 2, 3, 4, 5, 6",Graduate
,,Total Hours: 76
DegreeView
