Coursename,Coursecode,Hours,Classification
Beginning Italian,ITL 601C,6,Lower Division
Accelerated First-Year Italian,ITL 604,6,Lower Division
Introduction to Italian Language and Culture,ITL 305,3,Lower Division
Intermediate Italian,ITL 611C,6,Lower Division
Accelerated Second-Year Italian,ITL 612,6,Lower Division
Enhancing Italian Skills,ITL 317C,3,Lower Division
Practice in Spoken Italian I,ITL 118K,1,Lower Division
Practice in Spoken Italian II,ITL 118L,1,Lower Division
Topics in Italian,"ITL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Italian,ITL 320,3,Upper Division
Introduction to Italian Literature,ITL 321,3,Upper Division
Tradition and Change in Contemporary Italy,ITL 322L,3,Upper Division
Italian Through Cinema,ITL 325C,3,Upper Division
Italian through Creative Writing,ITL 326C,3,Upper Division
Italian through Cuisine,ITL 327C,3,Upper Division
Composition and Conversation,ITL 328,3,Upper Division
Advanced Composition and Conversation,ITL 329,3,Upper Division
Topics in Italian,"ITL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Italian Studies,ITL 330,3,Upper Division
The Language of Italian Crime Fiction,ITL 330C,3,Upper Division
Italian across Disciplines,ITL 130D,1,Upper Division
Introduction to Italian Linguistics,ITL 330L,3,Upper Division
Italian Translation Workshop,ITL 332,3,Upper Division
Italian Politics,ITL 346,3,Upper Division
Italian Popular Cinema,ITL 347,3,Upper Division
Italian Drama Workshop,ITL 348,3,Upper Division
Italian Internship,ITL 349P,3,Upper Division
Supervised Research,ITL 358Q,3,Upper Division
Conference Course in Italian Language and Literature,ITL 365,3,Upper Division
The Antihero in the Twentieth-Century Italian Novel,ITL 375C,3,Upper Division
Writing Fascism: Writing the Resistance,ITL 375F,3,Upper Division
Neorealism and its Legacy,ITL 375N,3,Upper Division
Sicily in Literature and Film,ITL 375S,3,Upper Division
Honors Tutorial Course,ITL 379H,3,Upper Division
Italian for Graduate Students in Other Departments,ITL 380C,3,Graduate
History of the Italian Language,ITL 380L,3,Graduate
Introduction to Studies in Literature and Culture,ITL 180P,1,Graduate
Doctoral Writing Workshop,ITL 380W,3,Graduate
Topics in Readings in Italian Literature,ITL 381,3,Graduate
Topics in Italian Studies,ITL 382,3,Graduate
Studies in Italian Language,ITL 383K,3,Graduate
Conference Course in Italian Language and Literature,ITL 385L,3,Graduate
Graduate Teaching Practicum,ITL 385T,3,Graduate
Topics in Italian Literature through the Renaissance,ITL 390K,3,Graduate
Topics in Italian Literature since the Renaissance,ITL 390L,3,Graduate
Comprehensive Examination Preparation,ITL 395L,3,Graduate
Topics in Comparative Romance Linguistics,ITL 396K,3,Graduate
Thesis,ITL 698,6,Graduate
Master's Report,ITL 398R,3,Graduate
Supervised Teaching in Italian,ITL 398T,3,Graduate
Dissertation,"ITL 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 160
DegreeView
