Coursename,Coursecode,Hours,Classification
Fundamental Issues in Journalism,J 301F (TCCN: COMM 2302),3,Lower Division
Digital Storytelling Basics,J 302F,3,Lower Division
The Journalist Voice,J 304F,3,Lower Division
Sustainability and the News,J 305,3,Lower Division
"Sports, Media, and Society",J 308C,3,Lower Division
"Data, Privacy, and You",J 308D,3,Lower Division
Analyzing Media Bias,J 308F,3,Lower Division
Becoming Citizen Journalists,J 308J,3,Lower Division
Media and News Literacy,J 308L,3,Lower Division
"Society, Media, and Identity",J 308M,3,Lower Division
Computer Concepts and Internet Technologies,J 308N,3,Lower Division
Introduction to Media Studies,J 308S (TCCN: COMM 1307),3,Lower Division
Topics in Journalism,J 308T,3,Lower Division
Reporting: Words,J 310F,3,Lower Division
Visual Literacy,J 310K,3,Lower Division
Reporting: Images,J 311F,3,Lower Division
Multimedia News Reporting,J 313P,3,Lower Division
Topics in Texas Sports and Media,J 313S,3,Lower Division
Contemporary Representation in Media,J 315R,3,Lower Division
Journalism Practices,J 317,3,Lower Division
Podcasting,J 318P,3,Lower Division
Topics in International Learning Seminars,J 119I,1,Lower Division
Topics in Journalism,J 395,3,Graduate
Covering Law Enforcement and Courts,J 320F,3,Upper Division
Internship Practices,J 320G,3,Upper Division
Reporting on City and County Government,J 321F,3,Upper Division
Reporting on Elections,J 322E,3,Upper Division
Navigating State Government,J 322F,3,Upper Division
Reporting Social Justice,J 322J,3,Upper Division
Reporting Public Issues,J 322P,3,Upper Division
Reporting California and Texas,J 323C,3,Upper Division
Education Reporting,J 323F,3,Upper Division
Reporting New York and Texas,J 323N,3,Upper Division
Regional Reporting,J 323R,3,Upper Division
Reporting Consumer News,J 324C,3,Upper Division
Business and Financial Reporting,J 324F,3,Upper Division
Reporting Health Care,J 325C,3,Upper Division
Covering Politics,J 325F,3,Upper Division
Community Journalism,J 325J,3,Upper Division
Solutions Journalism,J 325S,3,Upper Division
Introduction to Coding for Journalists,J 326C,3,Upper Division
Reporting Sports,J 326F,3,Upper Division
Advanced Topics in Texas Sports and Media,J 326S,3,Upper Division
Reporting With Data,J 327D,3,Upper Division
Advanced Reporting with Data,J 328D,3,Upper Division
Reporting Latino/a Communities,J 328L,3,Upper Division
Reporting en Espanol,J 328S,3,Upper Division
Interdisciplinary Business Reporting,J 329F,3,Upper Division
Topics in Public Affairs Reporting,J 329T,3,Upper Division
Television Reporting,J 330C,3,Upper Division
Creative Nonfiction for Magazines and Books,J 330G,3,Upper Division
Advanced Photo Editing and Design,J 330J,3,Upper Division
Community Life: Documented,J 330L,3,Upper Division
True Crime Podcasts,J 330M,3,Upper Division
Editing Techniques,J 330P,3,Upper Division
International Solutions Journalism,J 330S,3,Upper Division
Web Publishing,J 331,3,Upper Division
Intermediate Photographic Communication,J 331D,3,Upper Division
Audio Storytelling,J 331G,3,Upper Division
