Coursename,Coursecode,Hours,Classification
Introduction to Jewish Studies,J S 301,3,Lower Division
Jewish Civilization: Beginnings to 1492,J S 304M,3,Lower Division
Jewish Civilization: 1492 to the Present,J S 304N,3,Lower Division
Introduction to Jewish Latin America,J S 305D,3,Lower Division
The Rise of Christianity,J S 306E,3,Lower Division
Introduction to Holocaust and Genocide Studies,J S 307,3,Lower Division
Introduction to Middle East Religions,J S 310R,3,Lower Division
Topics in Jewish Studies,J S 311,3,Lower Division
The Roots of Religious Toleration,J S 311C,3,Lower Division
Comparative Religious Ethics,J S 311E,3,Lower Division
Jewish American Literature and Culture,J S 314C,3,Lower Division
American Jewish History,J S 317,3,Lower Division
Topics in Jewish Studies,J S 383,3,Graduate
Independent Research in Jewish Studies,J S 362,3,Upper Division
Topics in the Humanities and Arts,J S 363,3,Upper Division
Abraham and Abrahamic Religions,J S 363D,3,Upper Division
Jewish Voices from Latin America,J S 363E,3,Upper Division
Topics in History,J S 364,3,Upper Division
Topics in the Social Sciences,J S 365,3,Upper Division
Multicultural Israel,J S 365C,3,Upper Division
Cultural Geographies of Israel,J S 365D,3,Upper Division
Senior Seminar,J S 375,3,Upper Division
Honors Tutorial Course,J S 679H,6,Upper Division
,,Total Hours: 72
DegreeView
