Coursename,Coursecode,Hours,Classification
Japanese I,JPN 601D,6,Lower Division
First-Year Japanese I,JPN 506,5,Lower Division
First-Year Japanese II,JPN 507,5,Lower Division
Japanese II,JPN 610D,6,Lower Division
Intermediate Japanese,JPN 611D,6,Lower Division
Second-Year Japanese I,JPN 412K,4,Lower Division
Second-Year Japanese II,JPN 412L,4,Lower Division
"Japanese Grammar, Composition, and Conversation",JPN 317C,3,Lower Division
Topics in Japanese,"JPN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Readings in Modern Japanese I,JPN 320K,3,Upper Division
Readings in Modern Japanese II,JPN 320L,3,Upper Division
Classical Japanese,JPN 322,3,Upper Division
Advanced Conversation I,JPN 325K,3,Upper Division
Advanced Conversation II,JPN 325L,3,Upper Division
Business Japanese,JPN 326,3,Upper Division
Advanced Reading and Writing of Kanji Characters,JPN 327,3,Upper Division
Topics in Japanese,"JPN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Advanced Japanese,JPN 330,3,Upper Division
Japanese across Disciplines,JPN 130D,1,Upper Division
Conference Course in Japanese Language and Literature,JPN 360,3,Upper Division
Conference Course in Japanese Language and Culture,JPN 381,3,Graduate
Topics in Japanese Language and Culture,JPN 384,3,Graduate
,,Total Hours: 79
DegreeView
