Coursename,Coursecode,Hours,Classification
Physiological Basis of Conditioning,KIN 310,3,Lower Division
Water Safety Instruction and Lifeguard Training,KIN 311,3,Lower Division
Sport Psychology,KIN 311K,3,Lower Division
Topics in Kinesiology: Issues,KIN 312,3,Lower Division
Golf Instruction,KIN 312G,3,Lower Division
Management of Physical Activity and Sport Programs,KIN 312M,3,Lower Division
Topics in Safety Information and Procedures,KIN 213,2,Lower Division
Children's Movement,"KIN 314 (TCCN: KINE 1331, PHED 1331)",3,Lower Division
Motor Learning,KIN 315,3,Lower Division
Structure and Organization of Sport Programs,KIN 316,3,Lower Division
Advanced Scuba Diving Leadership,KIN 217,2,Lower Division
Topics in Movement Competence,KIN 119,1,Lower Division
Aiding for Social Dance,KIN 119C,1,Lower Division
Movement Analysis: Dual Activities,KIN 219D,2,Lower Division
Advanced Golf,KIN 219G,2,Lower Division
Topics in Athletics,KIN 219K,2,Lower Division
Teaching Social Dance,KIN 219L,2,Lower Division
Advanced Running,KIN 219M,2,Lower Division
Advanced Volleyball,KIN 219N,2,Lower Division
Advanced Swimming,KIN 219P,2,Lower Division
Topics in Kinesiology,"KIN 119R, 219R, 319R, 419R, 519R, 619R, 719R, 819R, 919R","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Movement Analysis: Individual Activities,KIN 219S,2,Lower Division
Movement Analysis: Team Activities,KIN 219T,2,Lower Division
Applied Biomechanics of Human Movement,KIN 320,3,Upper Division
Theory of Human Performance,KIN 321,3,Upper Division
Motor Development and Performance,KIN 321M,3,Upper Division
Diagnosis and Evaluation of Fitness,KIN 322,3,Upper Division
Applied Human Anatomy,KIN 424K,4,Upper Division
Physiology of Exercise,KIN 425K,4,Upper Division
Advanced Weight Training,KIN 226,2,Upper Division
Biomechanical Analysis of Movement,KIN 326K,3,Upper Division
Fieldwork: Aiding,"KIN 127D, 227D, 327D, 627D","1, 2, 3, 6",Upper Division
Fieldwork: Applied Learning and Development Majors,"KIN 127E, 227E, 327E, 627E","1, 2, 3, 6",Upper Division
Topics in Internship,KIN 627F,6,Upper Division
Internship/Fieldwork: Off Campus,"KIN 127J, 227J, 327J, 627J","1, 2, 3, 6",Upper Division
Fieldwork: On Campus,"KIN 127K, 227K, 327K, 627K","1, 2, 3, 6",Upper Division
Exploring Teaching and Physical Activity Leadership,KIN 127M,1,Upper Division
Fieldwork: Lab Research,"KIN 127R, 227R, 327R, 627R","1, 2, 3, 6",Upper Division
Topics in Internship,KIN 327T,3,Upper Division
Internship/Fieldwork in Sport Management,KIN 628,6,Upper Division
Internship in Sport Management,KIN 328C,3,Upper Division
Topics in Kinesiology,"KIN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Sport Nutrition,KIN 330E,3,Upper Division
Physical Aging in America,KIN 331,3,Upper Division
Techniques of Fitness Leadership,KIN 332,3,Upper Division
Children's Exercise and Physical Activity,KIN 334,3,Upper Division
Motor Learning,KIN 335C,3,Upper Division
Neuromuscular Control,KIN 336,3,Upper Division
Motor Development and Assessment,KIN 338,3,Upper Division
Modern Olympic Movement in World Affairs,KIN 340,3,Upper Division
Practicum in Athletic Training: Level 1A,KIN 140C,1,Upper Division
Practicum in Athletic Training: Level 1B,KIN 140D,1,Upper Division
Practicum in Athletic Training: Level 2A,KIN 140E,1,Upper Division
Practicum in Athletic Training: Level 2B,KIN 140F,1,Upper Division
Practicum in Athletic Training: Level 3A,KIN 140G,1,Upper Division
Practicum in Athletic Training: Level 3B,KIN 140J,1,Upper Division
Advanced Manual Therapy,KIN 140M,1,Upper Division
Senior Seminar in Athletic Training,KIN 140S,1,Upper Division
Therapeutic Modalities in Athletic Training,KIN 341,3,Upper Division
Clinical Evaluation of Athletic Injuries in the Lower Body,KIN 342,3,Upper Division
Clinical Evaluation of Athletic Injuries in the Upper Body,KIN 343,3,Upper Division
Therapeutic Exercise and Rehabilitation Techniques: Lower Body,KIN 344,3,Upper Division
Therapeutic Exercise and Rehabilitation: Upper Body,KIN 344U,3,Upper Division
General Medical Conditions in Athletic Training,KIN 345,3,Upper Division
Athletic Training Program Administration,KIN 346,3,Upper Division
Historical and Ethical Issues in Physical Culture and Sports,KIN 347,3,Upper Division
Psychological Aspects of Exercise,KIN 348,3,Upper Division
History of Sport and Physical Activity,KIN 349,3,Upper Division
Sociological Aspects of Sport and Physical Activity,KIN 350,3,Upper Division
