Coursename,Coursecode,Hours,Classification
Accelerated First-Year Korean,KOR 604,6,Lower Division
First-Year Korean I,"KOR 506, 606","5, 6",Lower Division
First-Year Korean II,"KOR 507, 607","5, 6",Lower Division
Accelerated Second-Year Korean,KOR 612,6,Lower Division
Second-Year Korean I,"KOR 312K, 412K (TCCN: KORE 2311)","3, 4",Lower Division
Second-Year Korean II,"KOR 312L, 412L (TCCN: KORE 2312)","3, 4",Lower Division
Topics in Korean,"KOR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Third-Year Korean I,KOR 320K,3,Upper Division
Third-Year Korean II,KOR 320L,3,Upper Division
Topics in Korean,"KOR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Advanced Korean,KOR 330,3,Upper Division
Introduction to Modern Korean Literature,KOR 330C,3,Upper Division
Korean Conversation through Media,KOR 330F,3,Upper Division
Conference Course in Korean Language and Literature,KOR 360,3,Upper Division
Conference Course in Korean Language and Culture,KOR 381,3,Graduate
Topics in Korean Language and Culture,KOR 384,3,Graduate
,,Total Hours: 54
DegreeView
