Coursename,Coursecode,Hours,Classification
Discovering the Liberal Arts and Humanities,L A 101E,1,Lower Division
Topics in Introduction to the Liberal Arts,"L A 101L, 301L, 601L","1, 3, 6",Lower Division
Liberal Arts to Career,L A 101M,1,Lower Division
Liberal Arts Career,L A 001N,0,Lower Division
Creating Your Academic Pathway,L A 101P,1,Lower Division
First-Year Seminar,L A 001Q,0,Lower Division
Critical Thinking Seminar,L A 302,3,Lower Division
Foundation Scholars Program Seminar,L A 002F,0,Lower Division
Path to Admission through Co-Enrollment (PACE) Workshop,L A 002P,0,Lower Division
Topics in Community Service,L A 104R,1,Lower Division
Internship,L A 110,1,Lower Division
Internship Experience,L A 011,0,Lower Division
Topics in Community Engagement,"L A 112C, 212C","1, 2",Lower Division
Topics in Peer Mentoring,"L A 113P, 213P","1, 2",Lower Division
Strategies in Critical Thinking for Success,L A 117,1,Lower Division
Topics in International Learning Seminars,"L A 119, 219, 319","1, 2, 3",Lower Division
Topics in Liberal Arts,"L A 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Internship,"L A 320, 620","3, 6",Upper Division
Digital Humanities Internship,L A 320D,3,Upper Division
Jewish Studies Internship,L A 320J,3,Upper Division
Military Leadership Internship,"L A 220L, 320L, 420L, 520L, 620L","2, 3, 4, 5, 6",Upper Division
International Internship,"L A 321, 621","3, 6",Upper Division
French Studies Internship,L A 321F,3,Upper Division
Italian Studies Internship,L A 321J,3,Upper Division
Health and Society Internship,L A 321M,3,Upper Division
Security Studies Internship,L A 321S,3,Upper Division
Topics in the Liberal Arts,"L A 125, 225, 325","1, 2, 3",Upper Division
Topics in International Learning Seminars,"L A 129, 229, 329","1, 2, 3",Upper Division
Topics in Liberal Arts,"L A 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Global Disinformation Research,L A 130G,1,Upper Division
Research Internship,"L A 131R, 231R, 331R","1, 2, 3",Upper Division
Leadership and Urban Engagement,L A 340,3,Upper Division
Research Conference Course,L A 350,3,Upper Division
Topics in Liberal Arts: Methods for the 21st Century,L A 380L,3,Graduate
Topics in Liberal Arts: Advanced Methods,L A 381,3,Graduate
Graduate Internship,"L A 187, 387, 687","1, 3, 6",Graduate
Supervised Teaching in Liberal Arts,L A 398T,3,Graduate
,,Total Hours: 82
DegreeView
