Coursename,Coursecode,Hours,Classification
The Idea of Reacting to the Past,LAH 101,1,Lower Division
The Idea of the Liberal Arts,"LAH 102H, 202H, 302H","1, 2, 3",Lower Division
The Ideas of Civic Engagement,LAH 103H,1,Lower Division
Professionalization and Career Development,LAH 104H,1,Lower Division
Topics in Liberal Arts Freshman Honors Seminar,LAH 305,3,Lower Division
The Nature of Inquiry,LAH 112H,1,Lower Division
Supervised Research,LAH 318Q,3,Lower Division
Topics in Liberal Arts Honors,"LAH 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Law and Organizations,LAH 322L,3,Upper Division
Topics in Liberal Arts Honors,"LAH 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Legal Internships,LAH 340L,3,Upper Division
Business Consulting Internship,LAH 340M,3,Upper Division
Nonprofit Management Internship,LAH 340N,3,Upper Division
Public Health Internship,LAH 340P,3,Upper Division
Technical Writing and Social Media Internship,LAH 340Q,3,Upper Division
Public Policy Internships and Advocacy,LAH 340R,3,Upper Division
Foundations of Intercultural Competency,LAH 340S,3,Upper Division
Creative Writing and Crisis,LAH 341T,3,Upper Division
Poetics and Performance,LAH 342U,3,Upper Division
American Literature and Culture of the Late 1960s,LAH 343V,3,Upper Division
Tell Your Stories: A Workshop,LAH 345C,3,Upper Division
Scholars Honors Capstone,LAH 149,1,Upper Division
Topics in the Liberal Arts,LAH 350,3,Upper Division
African American Family in Historical and Contemporary Contexts,LAH 351C,3,Upper Division
Ethical Issues in Medicine and Society,LAH 351D,3,Upper Division
Gender Equality in World Development,LAH 351E,3,Upper Division
Philanthropy and Nonprofit Organizations,LAH 351F,3,Upper Division
Reacting to Revolutionary Ideas,LAH 351G,3,Upper Division
Rejection Immunity,LAH 351I,3,Upper Division
Regime Perspectives on American Politics,LAH 351J,3,Upper Division
Citizenship in Democratic Politics,LAH 351K,3,Upper Division
Homer and Plato,LAH 351L,3,Upper Division
Jerusalem and Athens,LAH 351M,3,Upper Division
Archival Advocacy: Experiential Learning,LAH 351N,3,Upper Division
Data Analytics In Contemporary Society,LAH 351O,3,Upper Division
Machiavelli: Politics and Culture,LAH 351P,3,Upper Division
Holocaust Aftereffects,LAH 351Q,3,Upper Division
Social Inequality and Health in the United States,LAH 351R,3,Upper Division
Interpreting Black Rage,LAH 351S,3,Upper Division
Jewish Identities in the Americas,LAH 351T,3,Upper Division
Neglected Middle Class,LAH 351U,3,Upper Division
"Health, Health Care, and Humanities",LAH 351V,3,Upper Division
"Hitler, Nazism, and World War II",LAH 351W,3,Upper Division
Germany in the Twentieth Century,LAH 352C,3,Upper Division
Dedman Scholars Seminar,LAH 352D,3,Upper Division
"Language Truths, Myths, and Mysteries",LAH 352E,3,Upper Division
Image of the Cannibal in the Renaissance,LAH 352I,3,Upper Division
Global Sustainability and Soil,LAH 352J,3,Upper Division
Supervised Research,LAH 358Q,3,Upper Division
The Enlightenment,LAH 364H,3,Upper Division
Honors Seminar in Political Theory,LAH 365P,3,Upper Division
Literature of the Hispanic World,LAH 368H,3,Upper Division
Honors Tutorial Course I,LAH 368T,3,Upper Division
Comparative Legal Systems,LAH 369H,3,Upper Division
Honors Tutorial Course II,LAH 369T,3,Upper Division
"The Birth of the Modern World, 1400-1700",LAH 370H,3,Upper Division
Classics of Greek Philosophy,LAH 371H,3,Upper Division
Literature of the Western World: Continuities,LAH 373H,3,Upper Division
The Rise of Modern America,LAH 376H,3,Upper Division
Ideas of the Twentieth Century,LAH 377H,3,Upper Division
The Natural Sciences in the Liberal Arts Context,LAH 378H,3,Upper Division
Classical Asian Civilizations,LAH 379H,3,Upper Division
,,Total Hours: 176
DegreeView
