Coursename,Coursecode,Hours,Classification
Topics in Intensive Indigenous Language of Latin America I,LAL 601C,6,Lower Division
First-Year Ancient Mayan I,LAL 406,4,Lower Division
First-Year K'iche' Maya I,LAL 406K,4,Lower Division
First-Year Ancient Mayan II,LAL 407,4,Lower Division
First-Year K'iche' Maya II,LAL 407K,4,Lower Division
Topics in Intensive Indigenous Language of Latin America II,LAL 611C,6,Lower Division
Second-Year Ancient Mayan I,LAL 312K,3,Lower Division
Second-Year Ancient Mayan II,LAL 312L,3,Lower Division
Second-Year K'iche' Maya I,LAL 312M,3,Lower Division
Second-Year K'iche' Maya II,LAL 312N,3,Lower Division
Topics in Indigenous Languages of Latin America,"LAL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Third-Year Indigenous Language of Latin America I,LAL 321,3,Upper Division
Topics in Third-Year Indigenous Language II,LAL 322,3,Upper Division
Topics in Indigenous Languages of Latin America,"LAL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
"Topics in Language, Culture, and Linguistics",LAL 330,3,Upper Division
Topics in Intensive Graduate Language Instruction I,LAL 385K,3,Graduate
Topics in Intensive Graduate Language Instruction II,LAL 385L,3,Graduate
Topics in Intensive Graduate Language Instruction III,LAL 385M,3,Graduate
,,Total Hours: 64
DegreeView
