Coursename,Coursecode,Hours,Classification
Topics in Introductory Landscape Studies,LAR 312R,3,Lower Division
Topics in Landscape Architecture,"LAR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Landscape Architecture,"LAR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Visual Communication,LAR 341R,3,Upper Division
History and Theories of Landscape Architecture I,LAR 342K,3,Upper Division
History and Theories of Landscape Architecture II,LAR 342L,3,Upper Division
Topics in Landscape Architectural History,LAR 342R,3,Upper Division
Topics in Landscape Technology and Site Engineering,LAR 345R,3,Upper Division
Topics in Landscape Architectural Theory,LAR 346R,3,Upper Division
Living Systems Design I,LAR 347K,3,Upper Division
Living Systems Design II,LAR 347L,3,Upper Division
Living Systems Design III,LAR 347M,3,Upper Division
Topics in Natural Systems,LAR 347R,3,Upper Division
Foundation Design Studio,LAR 380C,3,Graduate
Topics in Digital Technology and Fabrication,"LAR 180V, 380V","1, 3",Graduate
Topics in Disaster Recovery,"LAR 180W, 380W","1, 3",Graduate
Visual Communication I,LAR 381,3,Graduate
Architectural Drawing,LAR 381D,3,Graduate
Topics in Visual Communication,LAR 381R,3,Graduate
Advanced Topics in Visual Communication,LAR 381S,3,Graduate
Design and Visual Studies in Landscape Architecture I,LAR 682,6,Graduate
Landscape Architecture Design Studio II,LAR 682T,6,Graduate
Landscape Architecture Design Studio I,LAR 383,3,Graduate
Topics in Horticulture and Plants in Design,LAR 384,3,Graduate
Topics in Natural Systems,LAR 385,3,Graduate
Technology Workshop I,LAR 385K,3,Graduate
Technology Workshop II,LAR 385L,3,Graduate
Design Methods,LAR 385M,3,Graduate
Professional Practice,LAR 386,3,Graduate
Landscape Ecology,LAR 387,3,Graduate
Living Systems Design I,LAR 387K,3,Graduate
Living Systems Design II,LAR 387L,3,Graduate
Living Systems Design III,LAR 387M,3,Graduate
Topics in Landscape Architecture History and Theory,LAR 388,3,Graduate
History and Theories of Landscape Architecture I,LAR 388K,3,Graduate
History and Theories of Landscape Architecture II,LAR 388L,3,Graduate
Research in Landscape Architecture,"LAR 389, 689","3, 6",Graduate
Landscape Architecture Design Studio III,LAR 694T,6,Graduate
Landscape Architecture Design Studio IV,LAR 695,6,Graduate
"Frank Lloyd Wright: Design, Method, Theory",LAR 395D,3,Graduate
"The American Home: Identity, Process, and Marketing",LAR 395G,3,Graduate
Originality & Tradition in Baroque Rome: Borromini,LAR 395J,3,Graduate
Topics in Advanced Design,LAR 696,6,Graduate
Master's Design Study in Landscape Architecture-Preparation,LAR 397,3,Graduate
Master's Design Study in Landscape Architecture,LAR 697K,6,Graduate
Landscape Architecture Practicum,"LAR 197L, 397L","1, 3",Graduate
,,Total Hours: 156
DegreeView
