Coursename,Coursecode,Hours,Classification
Key Ideas and Issues in Latin America,LAS 301,3,Lower Division
General Topics in Latin American Studies,LAS 310,3,Lower Division
Afro-Brazilian Diaspora,LAS 310C,3,Lower Division
Early Mesoamerican Religions,LAS 310D,3,Lower Division
"Race, Deportation, and Diaspora",LAS 310F,3,Lower Division
Latinx Digital Worlds,LAS 310I,3,Lower Division
Latin America and the United States,LAS 310R,3,Lower Division
Introductory Topics in Latin American Social Sciences,LAS 315,3,Lower Division
Introduction to Religions of Latin America,LAS 316L,3,Lower Division
Geography of Latin America,LAS 319,3,Lower Division
Topics in Latin American Studies,"LAS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Latin American Studies,LAS 381,3,Graduate
"Race, Empire, And Modernity",LAS 322C,3,Upper Division
Religions of the Caribbean,LAS 322D,3,Upper Division
Latino Migrations and Asylum,LAS 322E,3,Upper Division
Latino Migration and Human Trafficking,LAS 322F,3,Upper Division
Black Freedom Movement,LAS 322G,3,Upper Division
Racism and Inequality in Latin America,LAS 322J,3,Upper Division
Empires: Aztec and Spanish,LAS 322L,3,Upper Division
Colonial Encounters in Mesoamerica,LAS 322M,3,Upper Division
African Religion in the New World,LAS 322N,3,Upper Division
Afro-Latinidades in the United States and Latin America,LAS 322Q,3,Upper Division
Sexuality in Global Perspective,LAS 324G,3,Upper Division
Topics in Latin American Anthropology,LAS 324L,3,Upper Division
Daily Life in Mesoamerica,LAS 324Q,3,Upper Division
Jewish Cuba,LAS 324S,3,Upper Division
Topics in Latin American Sociology,LAS 325,3,Upper Division
Geographies of Latin American to United States Migration,LAS 325E,3,Upper Division
Topics in Latin American Music,LAS 326,3,Upper Division
Topics in Latin American Art History,LAS 327,3,Upper Division
"Topics in Latin American Arts, Literature, Film, and Dance",LAS 328,3,Upper Division
Transnational Latinx Popular Culture,LAS 328C,3,Upper Division
Topics in Latin American Geography,LAS 330,3,Upper Division
Water Resources in Latin America and the Caribbean,LAS 331,3,Upper Division
Issues in Third World Development,LAS 337L,3,Upper Division
Topics in Latin American Politics,LAS 337M,3,Upper Division
Afro-Caribbean Politics and Culture in Central America,LAS 337N,3,Upper Division
Law and Democracy in Latin America,LAS 337O,3,Upper Division
International Politics of Latin America,LAS 337P,3,Upper Division
"Politics, Economy, and Society of Contemporary Brazil",LAS 337Q,3,Upper Division
The Politics of Development in Latin America,LAS 337R,3,Upper Division
Latino Politics,LAS 337S,3,Upper Division
The Politics of Mexico,LAS 337T,3,Upper Division
Topics in Latin American Economics,LAS 355,3,Upper Division
Honors Seminar,LAS 359H,3,Upper Division
Topics in Latin American History,LAS 366,3,Upper Division
Nationalisms in the Caribbean,LAS 366C,3,Upper Division
"Race, Rebellion and Revolution in the Caribbean",LAS 366D,3,Upper Division
"Topics in Luso-Brazilian Literature, Culture, Civilization, and Linguistics",LAS 370P,3,Upper Division
"Topics in Hispanic Literature, Culture, Civilization, and Linguistics",LAS 370S,3,Upper Division
Capstone Course in Latin American Studies,LAS 378,3,Upper Division
Conference Course in Latin American Studies,LAS 379,3,Upper Division
Honors Tutorial Course,LAS 679H,6,Upper Division
Methods for Social Science in Latin America,LAS 381F,3,Graduate
Conference Course in Latin American Studies,LAS 382,3,Graduate
Invisible Global Market,LAS 383,3,Graduate
Proseminar: Current Issues in Latin America,LAS 384,3,Graduate
Topics in Latin American Politics,LAS 384L,3,Graduate
Topics in Latin American History,LAS 386,3,Graduate
Topics in Latin American Geography,LAS 388,3,Graduate
Proposal Preparation,"LAS 190K, 290K, 390K, 690K, 990K","1, 2, 3, 6, 9",Graduate
Topics in Latin American Anthropology,LAS 391,3,Graduate
Topics in Latin American Economics,LAS 391K,3,Graduate
"Topics in Luso-Brazilian Literature, Culture, Civilization, and Linguistics",LAS 392P,3,Graduate
"Topics in Hispanic Literature, Culture, Civilization, and Linguistics",LAS 392S,3,Graduate
Qualifying Examination,"LAS 393L, 693L, 993L","3, 6, 9",Graduate
Secondary Report,LAS 397R,3,Graduate
Thesis,LAS 698,6,Graduate
Master's Report,LAS 398R,3,Graduate
Dissertation,"LAS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 216
DegreeView
