Coursename,Coursecode,Hours,Classification
Beginning Latin,LAT 601C,6,Lower Division
First-Year Latin I,LAT 506,5,Lower Division
First-Year Latin II,LAT 507,5,Lower Division
Reading Beginning Latin,LAT 509L,5,Lower Division
Intermediate Latin I,LAT 311 (TCCN: LATI 2311),3,Lower Division
Accelerated Intermediate Latin,LAT 511K,5,Lower Division
Intermediate Latin II,LAT 312K (TCCN: LATI 2312),3,Lower Division
Intermediate Latin II: Poetry,LAT 316,3,Lower Division
Topics in Latin,"LAT 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Latin I,LAT 322,3,Upper Division
Topics in Advanced Latin II,LAT 323,3,Upper Division
Advanced Latin Grammar and Composition,LAT 324,3,Upper Division
Topics in Latin,"LAT 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Seminar in Latin,LAT 365,3,Upper Division
Advanced Conference Course,LAT 370,3,Upper Division
Honors Tutorial Course,LAT 679H,6,Upper Division
Proseminar in Classical Literature,LAT 380J,3,Graduate
Topics in Proseminar,LAT 180K,1,Graduate
Topics in Graduate Reading,LAT 383,3,Graduate
Current Concepts and Research in Latin,LAT 383K,3,Graduate
Topics in Classical Latin Literature,LAT 385,3,Graduate
Conference Course in Latin Literature,"LAT 186, 386","1, 3",Graduate
Conference Course in Latin Language,LAT 386L,3,Graduate
Topics in Seminar in Classical Studies,LAT 390,3,Graduate
Master's Report,LAT 398R,3,Graduate
Supervised Teaching in Latin,LAT 398T,3,Graduate
Dissertation,"LAT 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 93
DegreeView
