Coursename,Coursecode,Hours,Classification
Foundations of Business Law and Ethics,LEB 320F,3,Upper Division
Business Law and Ethics,LEB 323,3,Upper Division
Business Law and Ethics: Honors,LEB 323H,3,Upper Division
Healthcare Law and Policy,LEB 334M,3,Upper Division
Topics in the Legal Environment of Business,"LEB 140S, 240S, 340S, 440S, 540S, 640S, 740S, 840S, 940S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Law of Business Organizations,LEB 361,3,Upper Division
Real Estate Law,LEB 363,3,Upper Division
Commercial Transactions,LEB 366,3,Upper Division
Topics in the Legal Environment of Business,"LEB 180, 380","1, 3",Graduate
Independent Research in the Legal Environment of Business,"LEB 179, 379","1, 3",Upper Division
Legal Environment of Business,LEB 280C,2,Graduate
Managing Social and Political Risk,"LEB 180D, 280D, 380D","1, 2, 3",Graduate
Managing Legal and Regulatory Risk for Executives,"LEB 181, 281, 381","1, 2, 3",Graduate
,,Total Hours: 38
DegreeView
