Coursename,Coursecode,Hours,Classification
Introduction to the Study of Language,LIN 306,3,Lower Division
Topics in Interdisciplinary Approaches to Language,LIN 312,3,Lower Division
Culture and Communication,LIN 312C,3,Lower Division
Languages around the World,LIN 312D,3,Lower Division
Language of Sign and Gesture,LIN 312E,3,Lower Division
Language and Computers,LIN 313,3,Lower Division
Speech Science,LIN 315,3,Lower Division
Topics in Linguistics,"LIN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
American English,LIN 321L,3,Upper Division
English as a World Language,LIN 323L,3,Upper Division
Topics in Linguistics,"LIN 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Phonetics: The Production and Perception of Speech Sounds,LIN 344K,3,Upper Division
Language Change and Language Variation,LIN 345,3,Upper Division
Exploring Accents,LIN 346,3,Upper Division
Special Topics in the Study of Language,LIN 350,3,Upper Division
Language and the Brain,LIN 350C,3,Upper Division
Why Chinese Has No Alphabet,LIN 350E,3,Upper Division
Word Meaning,LIN 350S,3,Upper Division
Language and Identity,LIN 351,3,Upper Division
A Linguistic History of India,LIN 351C,3,Upper Division
"Language, Culture, and the Texas German Experience",LIN 351D,3,Upper Division
Introduction to Computational Linguistics,LIN 353C,3,Upper Division
Computational Discourse and Natural Language Generation,LIN 353D,3,Upper Division
Natural Language Processing,LIN 353N,3,Upper Division
English Syntax for Writing,LIN 353S,3,Upper Division
Undergraduate Research,LIN 357,3,Upper Division
Supervised Research,LIN 358Q,3,Upper Division
Introduction to English Grammar,LIN 360K,3,Upper Division
Introduction to Psycholinguistics,LIN 364,3,Upper Division
History of the English Language,LIN 364M,3,Upper Division
Bias,LIN 365,3,Upper Division
Machine Learning for Text Analysis,LIN 371,3,Upper Division
Meaning and Message,LIN 372J,3,Upper Division
Sound Patterns: From Sound to Word,LIN 372K,3,Upper Division
Syntax and Semantics: The Structure and Meaning of Utterances,LIN 372L,3,Upper Division
Child Language,LIN 373C,3,Upper Division
African American Language,LIN 373D,3,Upper Division
Endangered Languages,LIN 373E,3,Upper Division
The German Language: Historical Perspectives,LIN 373G,3,Upper Division
American Indian Languages and Cultures,LIN 373L,3,Upper Division
Introduction to Cognitive Science,LIN 373P,3,Upper Division
Speech Play and Verbal Art,LIN 373S,3,Upper Division
Sociolinguistics,LIN 374M,3,Upper Division
Syntactic Theory,LIN 377,3,Upper Division
Conference Course in Linguistics,LIN 379,3,Upper Division
Honors Tutorial Course,LIN 679H,6,Upper Division
Phonology I,LIN 380K,3,Graduate
Syntax I,LIN 380L,3,Graduate
Semantics I,LIN 380M,3,Graduate
Sociolinguistics,LIN 380S,3,Graduate
Phonology II,LIN 381K,3,Graduate
Syntax II,LIN 381L,3,Graduate
Phonetics,LIN 381M,3,Graduate
Semantics II,LIN 381S,3,Graduate
Historical Linguistics,LIN 382,3,Graduate
Topics in Comparative and Diachronic Linguistics,LIN 383,3,Graduate
Topics in Language Structures,LIN 384,3,Graduate
Field Methods in Linguistic Investigation,LIN 385,3,Graduate
Topics in Mathematical and Computational Linguistics,LIN 386M,3,Graduate
Linguistics and Language Teaching,LIN 387,3,Graduate
Research in Computational Linguistics,LIN 389C,3,Graduate
Research in Documentary and Descriptive Linguistics,LIN 389D,3,Graduate
Research in Phonetics and Phonology,LIN 389P,3,Graduate
Research in Syntax and Semantics,LIN 389S,3,Graduate
Research in Signed Languages,LIN 389V,3,Graduate
Topics in Descriptive Linguistics,LIN 391,3,Graduate
Topics in Current Linguistic Research,LIN 392,3,Graduate
Seminar in Linguistic Topics,LIN 393,3,Graduate
Language Acquisition,LIN 393C,3,Graduate
Topics in Phonology and Phonetics,LIN 393P,3,Graduate
Topics in Syntax and Semantics,LIN 393S,3,Graduate
Philosophy of Language,LIN 394K,3,Graduate
Conference Course in Linguistics,LIN 395,3,Graduate
Topics in Sociolinguistics,LIN 396,3,Graduate
Forum for Doctoral Candidates,LIN 397,3,Graduate
Thesis,LIN 698,6,Graduate
Master's Report,LIN 398R,3,Graduate
Supervised Teaching in Linguistics,LIN 398T,3,Graduate
Dissertation,"LIN 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 243
DegreeView
