Coursename,Coursecode,Hours,Classification
College Algebra,M 301 (TCCN: MATH 1314),3,Lower Division
Introduction to Mathematics,M 302 (TCCN: MATH 1332),3,Lower Division
Applicable Mathematics,M 303D (TCCN: MATH 1324),3,Lower Division
Mathematics of Investment,M 303F,3,Lower Division
Calculus I for Business and Economics,M 403K,4,Lower Division
Calculus II for Business and Economics,M 403L,4,Lower Division
Analytic Geometry,M 305E,3,Lower Division
Preparation for Calculus,M 305G (TCCN: MATH 2312),3,Lower Division
Differential and Integral Calculus,M 408C,4,Lower Division
"Sequences, Series, and Multivariable Calculus",M 408D,4,Lower Division
Differential Calculus,M 408K (TCCN: MATH 2413),4,Lower Division
Integral Calculus,"M 308L, 408L (TCCN: MATH 2414)","3, 4",Lower Division
Multivariable Calculus,"M 308M, 408M (TCCN: MATH 2315, MATH 2415)","3, 4",Lower Division
Differential Calculus for Science,M 408N (TCCN: MATH 2413),4,Lower Division
Differential and Integral Calculus for Business,M 408Q,4,Lower Division
Differential and Integral Calculus for the Sciences,M 408R,4,Lower Division
Integral Calculus for Science,M 408S (TCCN: MATH 2414),4,Lower Division
Conference Course,"M 110C, 210C, 310C, 410C","1, 2, 3, 4",Lower Division
Emerging Scholars Seminar,M 210E,2,Lower Division
Modern Mathematics: Plan II,M 310P,3,Lower Division
Topics in Mathematics,"M 110T, 210T, 310T, 410T","1, 2, 3, 4",Lower Division
"Foundations, Functions, and Regression Models",M 315C,3,Lower Division
Foundations of Arithmetic,M 316K (TCCN: MATH 1350),3,Lower Division
"Foundations of Geometry, Statistics, and Probability",M 316L (TCCN: MATH 1351),3,Lower Division
Topics in Mathematics,"M 396C, 696C, 996C","3, 6, 9",Graduate
Discrete Mathematics,M 325K (TCCN: MATH 2305),3,Upper Division
Foundations of Number Systems,M 326K,3,Upper Division
Differential Equations with Linear Algebra,M 427J,4,Upper Division
Advanced Calculus for Applications I,M 427K (TCCN: MATH 2420),4,Upper Division
Advanced Calculus for Applications II,M 427L,4,Upper Division
Introduction to Number Theory,M 328K,3,Upper Division
Theory of Interest,M 329F,3,Upper Division
Cooperative Mathematics,M 329W,3,Upper Division
Structure of Modern Geometry,M 333L,3,Upper Division
Actuarial Case Studies,M 339C,3,Upper Division
Introduction to Financial Mathematics for Actuaries,M 339D,3,Upper Division
Predictive Analytics,M 339G,3,Upper Division
Probability Models with Actuarial Applications,M 339J,3,Upper Division
Seminar on Actuarial Practice,M 139S,1,Upper Division
Actuarial Contingent Payments I,M 339U,3,Upper Division
Actuarial Contingent Payments II,M 339V,3,Upper Division
Matrices and Matrix Calculations,M 340L,3,Upper Division
Linear Algebra and Matrix Theory,M 341,3,Upper Division
Introduction to Algebraic Structures,M 343K,3,Upper Division
Applied Number Theory,M 343L,3,Upper Division
Error-Correcting Codes,M 343M,3,Upper Division
Intermediate Symbolic Logic,M 344K,3,Upper Division
Applied Linear Algebra,M 346,3,Upper Division
Scientific Computation in Numerical Analysis,M 348,3,Upper Division
Actuarial Statistical Estimates,M 349P,3,Upper Division
Applied Regression and Time Series,M 349R,3,Upper Division
Time Series and Survival-Model Estimation,M 349T,3,Upper Division
Applied Statistics,M 358K,3,Upper Division
Mathematics as Problem Solving,M 360M,3,Upper Division
Theory of Functions of a Complex Variable,M 361,3,Upper Division
Introduction to Real Analysis,M 361K,3,Upper Division
Probability I,M 362K,3,Upper Division
Introduction to Stochastic Processes,M 362M,3,Upper Division
Vector and Tensor Analysis I,M 364K,3,Upper Division
Vector and Tensor Analysis II,M 364L,3,Upper Division
Real Analysis I,M 365C,3,Upper Division
Real Analysis II,M 365D,3,Upper Division
Curves and Surfaces,M 365G,3,Upper Division
Topology I,M 367K,3,Upper Division
Topology II,M 367L,3,Upper Division
Numerical Methods for Applications,M 368K,3,Upper Division
Learning Assistant Experience in Mathematics,M 371E,3,Upper Division
Fourier Series and Boundary Value Problems,M 372,3,Upper Division
Partial Differential Equations and Applications,M 372K,3,Upper Division
Algebraic Structures I,M 373K,3,Upper Division
Algebraic Structures II,M 373L,3,Upper Division
Fourier and Laplace Transforms,M 374,3,Upper Division
Linear Regression Analysis,M 374G,3,Upper Division
Fourier and Laplace Transforms,M 374K,3,Upper Division
Mathematical Modeling in Science and Engineering,M 374M,3,Upper Division
Conference Course,"M 396D, 696D, 996D","3, 6, 9",Graduate
Topics in Conference Course: Computer-Assisted,M 375C,3,Upper Division
Discovery: An Introduction to Advanced Study in Mathematics,M 375D,3,Upper Division
Seminar in Instruction of Mathematics,M 175S,1,Upper Division
Topics in Methods of Applied Mathematics,M 376C,3,Upper Division
Introduction to Mathematical Statistics,M 378K,3,Upper Division
Generalized Linear Models,M 378N,3,Upper Division
Decision Analytics,M 378P,3,Upper Division
Honors Tutorial Course,M 379H,3,Upper Division
Algebra,M 380C,3,Graduate
Algebra,M 380D,3,Graduate
Real Analysis,M 381C,3,Graduate
Complex Analysis,M 381D,3,Graduate
Functional Analysis,M 381E,3,Graduate
Algebraic Topology,M 382C,3,Graduate
Differential Topology,M 382D,3,Graduate
Advanced Algebraic Topology,M 382E,3,Graduate
Algebraic Topology,M 382F,3,Graduate
Differential Geometry,M 382G,3,Graduate
Methods of Applied Mathematics,M 383C,3,Graduate
Methods of Applied Mathematics,M 383D,3,Graduate
Numerical Analysis: Linear Algebra,M 383E,3,Graduate
"Numerical Analysis: Interpolation, Approximation, Quadrature, and Differential Equations",M 383F,3,Graduate
Mathematical Statistics I,M 384C,3,Graduate
Mathematical Statistics II,M 384D,3,Graduate
Design and Analysis of Experiments,M 384E,3,Graduate
Design of Experiments,M 384F,3,Graduate
Regression Analysis,M 384G,3,Graduate
Multivariate Statistical Analysis,M 384H,3,Graduate
Theory of Probability,M 385C,3,Graduate
Theory of Probability,M 385D,3,Graduate
Numerical Analysis: Algebra and Approximation,M 387C,3,Graduate
Numerical Analysis: Differential Equations,M 387D,3,Graduate
Actuarial Case Studies,M 389C,3,Graduate
Introduction to Financial Mathematics for Actuaries,M 389D,3,Graduate
Theory of Interest,M 389F,3,Graduate
Predictive Analytics,M 389G,3,Graduate
Probability Models with Actuarial Applications,M 389J,3,Graduate
Actuarial Statistical Estimates,M 389P,3,Graduate
Seminar on Actuarial Practice,M 189S,1,Graduate
Time Series and Survival-Model Estimation,M 389T,3,Graduate
Actuarial Contingent Payments I,M 389U,3,Graduate
Actuarial Contingent Payments II,M 389V,3,Graduate
Financial Mathematics for Actuarial Applications,M 389W,3,Graduate
Topics in Algebra,M 390C,3,Graduate
Topics in Analysis,M 391C,3,Graduate
Topics in Topology,M 392C,3,Graduate
Topics in Applied Mathematics,M 393C,3,Graduate
Numerical Solution of Elliptic Partial Differential Equations,M 393N,3,Graduate
Topics in Probability and Statistics,M 394C,3,Graduate
Topics in Logic and Foundations,M 395C,3,Graduate
Topics in Numerical Analysis,M 397C,3,Graduate
Topics in Mathematics: Seminar,"M 197S, 397S","1, 3",Graduate
Thesis,M 698,6,Graduate
Master's Report,M 398R,3,Graduate
Supervised Teaching in Mathematics,M 398T,3,Graduate
Dissertation,"M 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 404
DegreeView
