Coursename,Coursecode,Hours,Classification
Introduction to Engineering Design and Graphics,M E 302,3,Lower Division
Studies in Engineering Design Graphics,M E 103,1,Lower Division
Introduction to Computers and Programming,M E 205,2,Lower Division
Engineering Design Graphics,M E 210 (TCCN: ENGR 1204),2,Lower Division
Engineering Design Graphics: Honors,M E 210H,2,Lower Division
Applied Thermodynamics,M E 310T,3,Lower Division
Materials Engineering,M E 311,3,Lower Division
Materials Engineering Laboratory,M E 111L,1,Lower Division
Dynamics,M E 314D,3,Lower Division
Thermodynamics,M E 316T,3,Lower Division
Engineering Computational Methods,M E 218,2,Lower Division
Programming and Engineering Computational Methods,M E 318M,3,Lower Division
Topics in Mechanical Engineering,"M E 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Applied Thermodynamics,M E 385M,3,Graduate
Humanitarian Engineering Seminar,M E 120C,1,Upper Division
Dynamics,M E 324,3,Upper Division
Thermodynamics,M E 326,3,Upper Division
Thermodynamics: Honors,M E 326H,3,Upper Division
Topics in Mechanical Engineering,M E 394M,3,Graduate
Fluid Mechanics,M E 330,3,Upper Division
Experimental Fluid Mechanics,M E 130L,1,Upper Division
Engineering Communication: Honors,M E 333H,3,Upper Division
Engineering Communication,M E 333T,3,Upper Division
Materials Engineering,M E 334,3,Upper Division
Materials Engineering Laboratory,M E 134L,1,Upper Division
Engineering Statistics,M E 335,3,Upper Division
Materials Processing,M E 336,3,Upper Division
Materials Processing Laboratory,M E 136L,1,Upper Division
Concepts in Nuclear and Radiation Engineering,"M E 136N, 236N","1, 2",Upper Division
Concepts in Nuclear and Radiation Engineering,M E 336P,3,Upper Division
Introduction to Nuclear Power Systems,M E 337C,3,Upper Division
Nuclear Environmental Protection,M E 337F,3,Upper Division
Nuclear Safety and Security,M E 337G,3,Upper Division
Machine Elements,M E 338,3,Upper Division
Heat Transfer,M E 339,3,Upper Division
Experimental Heat Transfer,M E 139L,1,Upper Division
Mechatronics,M E 340,3,Upper Division
Mechatronics Laboratory,M E 140L,1,Upper Division
Thermal-Fluid Systems,M E 343,3,Upper Division
Dynamic Systems and Controls,M E 344,3,Upper Division
Dynamic Systems and Controls Laboratory,"M E 144L, 244L","1, 2",Upper Division
Topics in Processing of Materials,M E 347,3,Upper Division
Advanced Mechatronics I,M E 348E,3,Upper Division
Advanced Mechatronics II,M E 348F,3,Upper Division
Corrosion Engineering,M E 349,3,Upper Division
Machine Tool Operations for Engineers,M E 350,3,Upper Division
Design and Control of Robots for Rehabilitation,M E 350D,3,Upper Division
Robot Mechanism Design,M E 350R,3,Upper Division
Engineering Computer Graphics,M E 352K,3,Upper Division
Engineering Finance,M E 353,3,Upper Division
Introduction to Biomechanical Engineering,M E 354,3,Upper Division
Biomechanics of Human Movement,M E 354M,3,Upper Division
Engineering Vibrations,M E 355K,3,Upper Division
Materials Selection,"M E 259, 359","2, 3",Upper Division
Vehicle System Dynamics and Controls,M E 360,3,Upper Division
Cyber Vehicle Systems,M E 360C,3,Upper Division
Propulsion Systems and Controls,M E 360D,3,Upper Division
Advanced Vehicle Powertrain Systems and Control,M E 360E,3,Upper Division
Metallurgy of Engineering Alloys,"M E 260K, 360K","2, 3",Upper Division
Turbomachinery and Compressible Flow,M E 360L,3,Upper Division
Intermediate Heat Transfer,M E 360N,3,Upper Division
Advanced Packaging and Thermal Management,M E 360S,3,Upper Division
Nuclear Reactor Operations and Engineering,M E 361E,3,Upper Division
Radiation and Radiation Protection Laboratory,M E 361F,3,Upper Division
Materials Thermodynamics,"M E 261M, 361M","2, 3",Upper Division
Readings in Engineering,M E 362K,3,Upper Division
Development of a Solar-Powered Vehicle,M E 362S,3,Upper Division
Energy Systems Laboratory,M E 363L,3,Upper Division
Energy Technology and Policy,M E 363M,3,Upper Division
Intermediate Dynamics,M E 364D,3,Upper Division
Automatic Control System Design,M E 364L,3,Upper Division
Data Science for Engineers,M E 365D,3,Upper Division
Engineering Entrepreneurship,M E 365E,3,Upper Division
Finite Element Method,M E 365K,3,Upper Division
Industrial Design for Production,M E 365L,3,Upper Division
Mechanical Engineering Design Methodology,M E 366J,3,Upper Division
Mechanical Engineering Design Project,M E 266K,2,Upper Division
Operations Research Models,M E 366L,3,Upper Division
Design Project Laboratory,M E 266P,2,Upper Division
Deterministic Methods for Operations Research,M E 366Q,3,Upper Division
Stochastic Methods for Operations Research,M E 366R,3,Upper Division
Biomems and Bionems,M E 366T,3,Upper Division
Simulation Modeling,M E 367S,3,Upper Division
Additive Manufacturing,M E 368C,3,Upper Division
Computer-Aided Design,M E 368J,3,Upper Division
Introduction to Computational Fluid Dynamics,M E 369L,3,Upper Division
Computational Methods in Thermal/Fluid Systems,M E 369M,3,Upper Division
Application Programming for Engineers,M E 369P,3,Upper Division
Medical Device Design and Manufacturing,M E 371D,3,Upper Division
Legal Aspects of Engineering Practice,M E 371K,3,Upper Division
Theory and Design for Mechanical Sensing and Measurements,M E 372C,3,Upper Division
Robotics and Automation,M E 372J,3,Upper Division
Mechanism Design,M E 372M,3,Upper Division
Design of Smart Mechanisms,M E 372N,3,Upper Division
Combustion Engine Processes,M E 374C,3,Upper Division
Automotive Engineering Laboratory,M E 374D,3,Upper Division
Race Car Engineering and Project Management,M E 374E,3,Upper Division
Fire Science,M E 374F,3,Upper Division
Design of Thermal Systems,M E 374L,3,Upper Division
Design of Air Conditioning Systems,M E 374R,3,Upper Division
Solar Energy Systems Design,M E 374S,3,Upper Division
Renewable Energy Technology,M E 374T,3,Upper Division
High Throughput Nanopatterning,M E 376N,3,Upper Division
Projects in Mechanical Engineering,"M E 177K, 277K, 377K","1, 2, 3",Upper Division
Electroceramics,M E 378C,3,Upper Division
Failure Analysis,M E 378D,3,Upper Division
Nanotechnology for Sustainable Energy,M E 378E,3,Upper Division
Enhancing Sustainability Through Tribology,M E 378F,3,Upper Division
Mechanical Behavior of Materials,M E 378K,3,Upper Division
Properties and Applications of Polymers,M E 378P,3,Upper Division
Polymer Nanocomposites,M E 378Q,3,Upper Division
Structural Ceramics,M E 378S,3,Upper Division
Undergraduate Honors Thesis,M E 679H,6,Upper Division
Engineering Acoustics,M E 379N,3,Upper Division
Musical Acoustics,M E 379Q,3,Upper Division
Special Topics in Mechanical Engineering,"M E 180E, 280E, 380E","1, 2, 3",Graduate
Research,"M E 180M, 280M, 380M, 680M, 980M","1, 2, 3, 6, 9",Graduate
Topics in Mathematical Methods in Engineering,M E 380Q,3,Graduate
Robot Mechanism Design,M E 380R,3,Graduate
Statistical Methods for Process Control & Manufacturing,M E 381M,3,Graduate
Topics in Dynamics of Fluids,M E 381P,3,Graduate
Topics in Thermodynamics,M E 381Q,3,Graduate
Topics in Heat Transfer and Rate Processes,M E 381R,3,Graduate
Topics in Computational Fluid Dynamics,M E 382N,3,Graduate
Topics in Experimental Thermal/Fluid Systems,M E 382P,3,Graduate
Topics in Design of Thermal and Fluid Systems,M E 382Q,3,Graduate
Topics in Combustion,M E 382R,3,Graduate
Fire Science,M E 382T,3,Graduate
Theory and Design for Mechanical Sensing and Measurements,M E 383D,3,Graduate
Heat Transfer in Industrial Systems,M E 383M,3,Graduate
Topics in Analysis of Mechanical Systems,M E 383Q,3,Graduate
"Topics in Lubrication, Wear, and Bearing Technology",M E 383S,3,Graduate
Intermediate Dynamics,M E 384D,3,Graduate
Topics in Electromechanics,M E 384E,3,Graduate
Fluid Mechanics in Industrial Processes,M E 384M,3,Graduate
Topics in Acoustics,M E 384N,3,Graduate
Topics in Design of Control Systems,M E 384Q,3,Graduate
Topics in Robotics,M E 384R,3,Graduate
