Coursename,Coursecode,Hours,Classification
Leadership Laboratory,M S 000,0,Lower Division
American Military History: 1775 to Present,M S 304,3,Lower Division
Basic Military Science I-A,M S 209,2,Lower Division
Basic Military Science I-B,M S 209K,2,Lower Division
Basic Military Science II-A,M S 219,2,Lower Division
Basic Military Science II-B,M S 219K,2,Lower Division
Topics in Military Science,"M S 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Military Science III-A,M S 329,3,Upper Division
Advanced Military Science III-B,M S 329K,3,Upper Division
Topics in Military Science,"M S 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Advanced Military Science IV-A,M S 339,3,Upper Division
Advanced Military Science IV-B,M S 339K,3,Upper Division
Advanced Military Science V-A,M S 379,3,Upper Division
Advanced Military Science V-B,M S 379K,3,Upper Division
,,Total Hours: 35
DegreeView
