Coursename,Coursecode,Hours,Classification
First-Year Malayalam I,MAL 506,5,Lower Division
First-Year Malayalam II,MAL 507,5,Lower Division
Second-Year Malayalam I,MAL 312K,3,Lower Division
Second-Year Malayalam II,MAL 312L,3,Lower Division
Topics in Malayalam,"MAL 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Malayalam,"MAL 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Malayalam Language and Literature,MAL 330,3,Upper Division
Modern Malayalam Drama,MAL 330E,3,Upper Division
Short Novels of Basheer,MAL 330F,3,Upper Division
Contemporary Malayalam Short Stories,MAL 330G,3,Upper Division
Malayalam Cinema and Screenplays,MAL 330J,3,Upper Division
Stories from Aithihyamaala,MAL 330K,3,Upper Division
Reform Movements in Kerala,MAL 330L,3,Upper Division
Conference Course in Malayalam Language and Literature,MAL 360,3,Upper Division
Conference Course in Malayalam Language and Culture,MAL 381,3,Graduate
Topics in Malayalam Language and Culture,MAL 384,3,Graduate
,,Total Hours: 52
DegreeView
