Coursename,Coursecode,Hours,Classification
Leadership Challenges and Innovation: Honors,"MAN 101H, 201H, 301H","1, 2, 3",Lower Division
Leadership Challenges and Innovation,"MAN 101S, 201S, 301S","1, 2, 3",Lower Division
Leadership Challenges and Innovation,"MAN 101T, 201T, 301T","1, 2, 3",Lower Division
Topics in Management,"MAN 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of Management and Organizational Behavior,MAN 320F,3,Upper Division
Strategic Human Resources Management,MAN 325,3,Upper Division
Innovation and Entrepreneurship,MAN 327,3,Upper Division
New Venture Mechanics,MAN 327E,3,Upper Division
Innovation and Entrepreneurship: Honors,MAN 327H,3,Upper Division
Consulting and Change Management,MAN 328,3,Upper Division
Topics in Management,MAN 372T,3,Upper Division
Topics in Foundations of Management,MAN 332F,3,Upper Division
Healthcare System Management,MAN 334M,3,Upper Division
Organizational Behavior,MAN 336,3,Upper Division
Organizational Behavior: Honors,MAN 336H,3,Upper Division
Introduction to Management in a Global Environment,MAN 137C,1,Upper Division
Global Management Capstone,"MAN 237D, 337D","2, 3",Upper Division
Lean Startup Essentials,MAN 338,3,Upper Division
Leadership and Urban Engagement,MAN 340,3,Upper Division
Texas Startup Accelerator,"MAN 147C, 247C, 347C","1, 2, 3",Upper Division
Texas Startup Incubator,"MAN 147I, 247I, 347I","1, 2, 3",Upper Division
Entrepreneurship Practicum,MAN 347P,3,Upper Division
Management Practicum: Social Entrepreneurship I,MAN 366P,3,Upper Division
Social Entrepreneurship II,MAN 367P,3,Upper Division
Social Innovation Practicum,MAN 369P,3,Upper Division
General Management and Strategy,MAN 374,3,Upper Division
General Management and Strategy: Honors,MAN 374H,3,Upper Division
Independent Research in Management,"MAN 179C, 379C","1, 3",Upper Division
Current Topics in Organization Science,"MAN 183, 283, 383","1, 2, 3",Graduate
Current Topics in Strategic Management,"MAN 185, 285, 385","1, 2, 3",Graduate
Global Practicum for Executives,MAN 185D,1,Graduate
Directed Studies in Global Management and Business Practices,"MAN 185E, 285E, 385E","1, 2, 3",Graduate
Leading for Impact,"MAN 185F, 285F, 385F","1, 2, 3",Graduate
Strategic Innovation and Entrepreneurship,MAN 185G,1,Graduate
Innovation in the New Economy: Entrepreneurial Mindset,MAN 285H,2,Graduate
Leading for Impact for Executives,MAN 285L,2,Graduate
Leading For Impact Capstone,"MAN 185S, 285S, 385S","1, 2, 3",Graduate
Leading for Impact I,"MAN 185T, 285T, 385T","1, 2, 3",Graduate
Leading for Impact II,"MAN 185U, 285U, 385U","1, 2, 3",Graduate
Topics in Seminar: Organization Science,MAN 390,3,Graduate
Topics in Seminar: Strategic Management,MAN 393,3,Graduate
Thesis,MAN 698,6,Graduate
Master's Report,MAN 398R,3,Graduate
Dissertation,"MAN 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 127
DegreeView
