Coursename,Coursecode,Hours,Classification
Introduction to Mexican American and Latina/o Studies,MAS 301,3,Lower Division
Introduction to Mexican American Cultural Studies,MAS 307,3,Lower Division
Mexican American and Latina/o Folkore Across the United States,MAS 307C,3,Lower Division
Introduction to Mexican American Policy Studies,MAS 308,3,Lower Division
Ethnicity and Gender: La Chicana,MAS 311,3,Lower Division
Mexican American Literature and Culture,MAS 314,3,Lower Division
Latina Performance: From Celia to Selena,MAS 315,3,Lower Division
History of Mexican Americans in the United States,MAS 316,3,Lower Division
Immigration and Ethnicity,MAS 316C,3,Lower Division
Latinas and Latinos and Segregation in the United States,MAS 316D,3,Lower Division
The Places of Mexican American History,MAS 316E,3,Lower Division
Mexican American Culture,MAS 318,3,Lower Division
Latina and Latino Media and Popular Culture,MAS 318C,3,Lower Division
Introduction to Latinx Body Art,MAS 318D,3,Lower Division
Latinx Digital Worlds,MAS 318E,3,Lower Division
Black and Latinx Intersections,MAS 318F,3,Lower Division
The New Latinas/os/xs,MAS 318G,3,Lower Division
Fighting for Latino Power,MAS 318P,3,Lower Division
Special Topics,MAS 319,3,Lower Division
Topics in Mexican American Studies,"MAS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Power and Place: Making Texas History,MAS 320C,3,Upper Division
Texas before 1900,MAS 320E,3,Upper Division
"Texas, 1900 to the Present",MAS 320F,3,Upper Division
Native American Women's History,MAS 320G,3,Upper Division
Mexican American Studies at UT,MAS 320I,3,Upper Division
Mexican Americans in Texas History,MAS 320J,3,Upper Division
"Black Art, Brown Art",MAS 323C,3,Upper Division
Contemporary Latinx Visual and Performance Art,MAS 323D,3,Upper Division
Latinidades: Art and Performance,MAS 323E,3,Upper Division
Topics in Mexican American Studies,"MAS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Queer Migrations,MAS 335M,3,Upper Division
Chicana Feminisms,MAS 337C,3,Upper Division
Russian and Mexican Men in Popular Culture,MAS 337D,3,Upper Division
Latina Feminism and Health,MAS 337F,3,Upper Division
"Disability, Race, and Sexuality in Literature and Culture",MAS 337G,3,Upper Division
Tejana Cultural Studies,MAS 337I,3,Upper Division
Latinx Sexualities,MAS 337J,3,Upper Division
Latina and Latino Spirituality,MAS 340S,3,Upper Division
Julia Alvarez and Sandra Cisneros,MAS 345C,3,Upper Division
Life and Literature of the US-Mexico Borderlands,MAS 345D,3,Upper Division
Latinx Short Story,MAS 345E,3,Upper Division
Latinx Legend Tripping,MAS 345F,3,Upper Division
Contemporary United States Latina/o Literature and Culture,MAS 345G,3,Upper Division
Latinx Young Adult Literatures,MAS 345I,3,Upper Division
21st Century Latinx Literature,MAS 345J,3,Upper Division
Transnational Latinx Popular Culture,MAS 347C,3,Upper Division
Social Science Methods and Latina/o/x Communities,MAS 350C,3,Upper Division
Latino Urbanism in the United States City,MAS 350F,3,Upper Division
Mexican American Cultural Studies Seminar,MAS 361,3,Upper Division
Mexican American Policy Studies Seminar,MAS 362,3,Upper Division
Sociolinguistics in Mexican American and Latina/o Studies,MAS 363,3,Upper Division
"Bad Language: Race, Class, and Gender",MAS 363R,3,Upper Division
History of the United States-Mexico Borderland,MAS 364,3,Upper Division
The Civil Rights Movement from a Comparative Perspective,MAS 364C,3,Upper Division
Latino Migrations and Asylum,MAS 364D,3,Upper Division
Policing Latinidad,MAS 364E,3,Upper Division
Mexican Immigration Cultural History,MAS 364F,3,Upper Division
Latino Migration and Human Trafficking,MAS 364G,3,Upper Division
Mexican American Political Thought,MAS 364I,3,Upper Division
Migration Crisis,MAS 364J,3,Upper Division
Afro-Latinidades in the United States and Latin America,MAS 364K,3,Upper Division
"La Causa, The Farmworker Movement",MAS 364L,3,Upper Division
Latina/o/x Citizenship,MAS 364M,3,Upper Division
Politics of Latino Identity,MAS 364N,3,Upper Division
Central Americans in the United States,MAS 364O,3,Upper Division
Puerto Rico In Crisis,MAS 364P,3,Upper Division
Race and Ethnicity Politics,MAS 364Q,3,Upper Division
Race Politics and Caribbeans,MAS 364R,3,Upper Division
United States Immigration Policy and Stories of Migration,MAS 364U,3,Upper Division
"Latinx Media, Arts, and Activism",MAS 370D,3,Upper Division
Chicana/o Cinema,MAS 370E,3,Upper Division
Latina Filmmakers in the United States,MAS 370F,3,Upper Division
Independent Research,MAS 373,3,Upper Division
Special Topics,MAS 374,3,Upper Division
Internship,MAS 375,3,Upper Division
Mellon Mays Program Seminar,MAS 177,1,Upper Division
Capstone Seminar,MAS 378,3,Upper Division
Honors Tutorial Course,MAS 679H,6,Upper Division
Conference Course in Mexican American Studies,MAS 382,3,Graduate
Introduction to Mexican American and Latina/o Studies,MAS 390,3,Graduate
Topics in Mexican American and Latina/o Studies,MAS 392,3,Graduate
Theories in Mexican American and Latina/o Studies,MAS 395C,3,Graduate
Interpretive Methods,MAS 395M,3,Graduate
Qualifying Exam Prep,"MAS 396Q, 696Q, 996Q","3, 6, 9",Graduate
Thesis,MAS 698,6,Graduate
Master's Report,MAS 398R,3,Graduate
Supervised Teaching in Mexican American and Latina/o Studies,MAS 398T,3,Graduate
Dissertation,"MAS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 268
DegreeView
