Coursename,Coursecode,Hours,Classification
Topics in Molecular Biosciences,"MBS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Cell Biology,MBS 320,3,Upper Division
Cell Biology Laboratory,MBS 320L,3,Upper Division
Human Genetics,MBS 325T,3,Upper Division
General Microbiology Laboratory,MBS 226L,2,Upper Division
Introductory Medical Microbiology and Immunology,MBS 326M,3,Upper Division
General Microbiology,MBS 326R,3,Upper Division
Emerging Infectious Diseases,MBS 327D,3,Upper Division
Genomics,MBS 327G,3,Upper Division
Introductory Plant Physiology,MBS 328,3,Upper Division
Discovery Laboratory in Plant Biology,MBS 328D,3,Upper Division
Laboratory Experiments in Plant Physiology,MBS 128L,1,Upper Division
Topics in Molecular Biosciences,"MBS 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Molecular Biology of Animal Viruses,MBS 330,3,Upper Division
Virology Laboratory,MBS 230L,2,Upper Division
Laboratory Studies in Molecular Biology,MBS 331L,3,Upper Division
Tumor Biology,MBS 336,3,Upper Division
Topics in Biology,"MBS 137, 237, 337, 437","1, 2, 3, 4",Upper Division
Bacterial Behavior and Signaling Mechanisms,MBS 339M,3,Upper Division
Advanced Cell Biology,MBS 343,3,Upper Division
Molecular Biology,MBS 344,3,Upper Division
Experiments in Developmental Biology,MBS 349L,3,Upper Division
"Developmental, Stem Cell, and Regenerative Biology",MBS 350,3,Upper Division
Plant Molecular Biology,MBS 350M,3,Upper Division
Microbial Biochemistry,MBS 355,3,Upper Division
Epigenetics and Epitranscriptomics,MBS 356E,3,Upper Division
Immunology,MBS 360K,3,Upper Division
Immunology Laboratory,MBS 260L,2,Upper Division
Human Infectious Diseases,MBS 361,3,Upper Division
Clinical Bacteriology Laboratory,MBS 361L,3,Upper Division
Microbial Genetics,MBS 366,3,Upper Division
Molecular Genetics and Medicine,MBS 366R,3,Upper Division
Cellular and Molecular Bases of Neural Development,MBS 367C,3,Upper Division
Supervised Literature Review,MBS 368C,3,Upper Division
Supervised Capstone Research,MBS 368R,3,Upper Division
Capstone Seminar,MBS 175C,1,Upper Division
Undergraduate Research,"MBS 177, 277, 377","1, 2, 3",Upper Division
Honors Tutorial Course,"MBS 379H, 679H","3, 6",Upper Division
,,Total Hours: 107
DegreeView
