Coursename,Coursecode,Hours,Classification
Topics in Middle Eastern Cultures,MEL 380,3,Graduate
Topics in Middle Eastern Languages,MEL 380C,3,Graduate
Topics in Middle Eastern Literatures,MEL 381,3,Graduate
Topics in Middle Eastern Linguistics,MEL 382,3,Graduate
Topics in the Ancient Near East,MEL 383,3,Graduate
Current Issues in Hebrew Bible,MEL 383C,3,Graduate
Exegetical Seminar in Hebrew Bible,MEL 383D,3,Graduate
Conference Course in Middle Eastern Languages and Cultures,MEL 389,3,Graduate
Comprehensive Examination Preparation,MEL 393,3,Graduate
Professional Development in Middle Eastern Languages and Cultures,"MEL 194, 294, 394","1, 2, 3",Graduate
Thesis,MEL 698,6,Graduate
Master's Report,MEL 398R,3,Graduate
Supervised Teaching in Middle Eastern Languages and Cultures,MEL 398T,3,Graduate
Dissertation,"MEL 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 45
DegreeView
