Coursename,Coursecode,Hours,Classification
Gateway to the Middle East,MES 301C,3,Lower Division
The Ancient Middle East,MES 301J,3,Lower Division
"Introduction to the Middle East: Religious, Cultural, and Historical Foundations",MES 301K,3,Lower Division
Introduction to the Middle East: Adjustment and Change in Modern Times,MES 301L,3,Lower Division
Topics in Middle Eastern Studies,MES 310,3,Lower Division
Introduction to the Old Testament,MES 310C,3,Lower Division
Introduction to Islam,MES 310D,3,Lower Division
Introduction to Modern North Africa,MES 310N,3,Lower Division
Revolution and Decolonization in North Africa,MES 310P,3,Lower Division
Introduction to Middle East Religions,MES 310R,3,Lower Division
The History of Israel,MES 311,3,Lower Division
"Judaism, Christianity, and Islam: An Introduction",MES 311C,3,Lower Division
Topics in Middle Eastern Studies,"MES 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Engaging the Middle East,MES 323C,3,Upper Division
Middle Eastern Cultural Exchange,MES 127,1,Upper Division
History of the Ottoman Empire,MES 331C,3,Upper Division
"Music Cultures of the Middle East, Past and Present",MES 334C,3,Upper Division
Topics in the Middle East: Social Science,MES 341,3,Upper Division
Topics in the Middle East: Arts and Humanities,MES 342,3,Upper Division
Sufism: Islamic Thought and Spirituality,MES 342S,3,Upper Division
Topics in the Middle East: History,MES 343,3,Upper Division
Mediterranean Crossroads Seminar,MES 351,3,Upper Division
Mediterranean Crossroads Study Abroad Seminar,MES 352,3,Upper Division
Mediterranean Crossroads Conference Course,MES 353,3,Upper Division
Conference Course,MES 360,3,Upper Division
Practicum: Internships in Applied Middle Eastern Studies,MES 370,3,Upper Division
Honors Tutorial Course,MES 679H,6,Upper Division
International Business Fellows Seminar,MES 380,3,Graduate
Topics in Seminar in Middle Eastern Civilizations and Cultures,MES 381,3,Graduate
Internships in Applied Middle Eastern Studies,MES 383,3,Graduate
Topics in the Middle East: Social Science,MES 384,3,Graduate
Topics in the Middle East: History,MES 385,3,Graduate
Topics in the Middle East: Arts and Humanities,MES 386,3,Graduate
Conference Course,MES 389,3,Graduate
Applied Methods and Practice in Middle Eastern Studies,MES 390M,3,Graduate
Professional Development in Middle Eastern Studies,"MES 194, 294, 394","1, 2, 3",Graduate
Proseminar,MES 097,0,Graduate
Thesis,MES 698,6,Graduate
Master's Report,MES 398R,3,Graduate
Supervised Teaching in Middle Eastern Studies,MES 398T,3,Graduate
,,Total Hours: 121
DegreeView
