Coursename,Coursecode,Hours,Classification
Topics in Advanced Microbiology,MIC 383K,3,Graduate
Bacterial Behavior and Signaling Mechanisms,MIC 394M,3,Graduate
Structure and Function of Proteins and Membranes,MIC 395G,3,Graduate
Cell Biology,MIC 395H,3,Graduate
"Genes, Genomes, and Gene Expression",MIC 395J,3,Graduate
Advanced Microbiology,MIC 395M,3,Graduate
Thesis,MIC 698,6,Graduate
Master's Report,MIC 398R,3,Graduate
Dissertation,"MIC 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 30
DegreeView
