Coursename,Coursecode,Hours,Classification
Introduction to Information Technology Management,MIS 301,3,Lower Division
Introduction to Information Technology Management: Honors,MIS 301H,3,Lower Division
Foundations of Information Technology Management,MIS 302F,3,Lower Division
Introduction to Problem Solving and Programming,MIS 304,3,Lower Division
Introduction to Management Information Systems,MIS 310 (TCCN: BCIS 1305),3,Lower Division
Topics in Management Information Systems,"MIS 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Database Management,MIS 325,3,Upper Division
Topics in Management Information Systems,MIS 372T,3,Upper Division
Topics in Foundations of Management Information Systems,MIS 332F,3,Upper Division
Web Application Development,MIS 333K,3,Upper Division
Management Information Systems Practicum,MIS 366P,3,Upper Division
Business System Development,MIS 374,3,Upper Division
Strategic Information Technology Management,MIS 375,3,Upper Division
Independent Research in Management Information Systems,"MIS 179, 379","1, 3",Upper Division
Topics in Seminar in Organizational Communication,MIS 380,3,Graduate
Database Management,"MIS 180D, 280D, 380D","1, 2, 3",Graduate
Topics in Information Management,MIS 380N,3,Graduate
Problem Solving and Programming,"MIS 180P, 280P, 380P","1, 2, 3",Graduate
Topics in Information Systems,"MIS 181N, 281N, 381N","1, 2, 3",Graduate
Topics in Information Management,MIS 382N,3,Graduate
Supply Chain Management for Executives,"MIS 283M, 383M","2, 3",Graduate
Topics in Information-Intensive Business Processes,MIS 383N,3,Graduate
Topics in Business Analytics,"MIS 184N, 284N, 384N","1, 2, 3",Graduate
Management Information Systems,MIS 385,3,Graduate
Machine Learning and Artificial Intelligence for Executives,"MIS 185G, 285G, 385G","1, 2, 3",Graduate
Topics in Information Technology and Management,"MIS 185N, 285N, 385N","1, 2, 3",Graduate
Thesis,MIS 698,6,Graduate
Master's Report,MIS 398R,3,Graduate
Dissertation,"MIS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 90
DegreeView
