Coursename,Coursecode,Hours,Classification
Topics in Marketing,"MKT 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of Marketing,MKT 320F,3,Upper Division
Topics in Marketing,MKT 372T,3,Upper Division
Topics in Foundations of Marketing,MKT 332F,3,Upper Division
Principles of Marketing,MKT 337,3,Upper Division
Principles of Marketing: Honors,MKT 337H,3,Upper Division
Introduction to Marketing in New York,MKT 337N,3,Upper Division
Promotional Policies,MKT 338,3,Upper Division
Topics in Professional Sales and Business Development,MKT 354,3,Upper Division
Information and Analysis,"MKT 360, 460","3, 4",Upper Division
Professional Selling and Sales Management,MKT 363,3,Upper Division
Marketing Practicum,MKT 366P,3,Upper Division
Marketing Policies,MKT 370,3,Upper Division
Retail Merchandising,MKT 370K,3,Upper Division
Marketing Micro-topics,"MKT 178, 278, 378","1, 2, 3",Upper Division
Independent Research in Marketing,"MKT 179C, 379C","1, 3",Upper Division
Topics in Analysis of Markets,"MKT 182, 282, 382","1, 2, 3",Graduate
Product Management for Executives,MKT 282C,2,Graduate
Strategic Marketing for Executives,MKT 282E,2,Graduate
"Acquisition, Consumption, and Disposition Behavior",MKT 383,3,Graduate
Marketing Research Methodology,MKT 384,3,Graduate
Advanced Marketing Management,MKT 386,3,Graduate
Marketing Micro-topics,"MKT 188, 288, 388","1, 2, 3",Graduate
Independent Study,"MKT 191C, 291C, 391C, 691C","1, 2, 3, 6",Graduate
Seminar: Current Topics in Marketing,MKT 397,3,Graduate
Thesis,MKT 698,6,Graduate
Master's Report,MKT 398R,3,Graduate
Dissertation,"MKT 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 85
DegreeView
