Coursename,Coursecode,Hours,Classification
Seminar in Marine Science,MNS 101,1,Lower Division
Introduction to Oceanography,MNS 307 (TCCN: GEOL 1345),3,Lower Division
Humans and a Changing Ocean,MNS 308,3,Lower Division
Topics in Marine Science,MNS 309,3,Lower Division
Fundamentals of Marine Science,MNS 310,3,Lower Division
Topics in Marine Science,"MNS 193, 293, 393","1, 2, 3",Graduate
Marine Ecology,MNS 320,3,Upper Division
Laboratory Studies in Marine Ecology,MNS 120L,1,Upper Division
Limnology and Oceanography,MNS 440,4,Upper Division
Marine Mining and Minerals,MNS 344K,3,Upper Division
Topics in Training Cruise(s),"MNS 148, 348","1, 3",Upper Division
Topics in Principles of Marine Science,MNS 352,3,Upper Division
Estuarine Ecology,MNS 352C,3,Upper Division
Marine Botany,MNS 352D,3,Upper Division
Marine Conservation Biology,MNS 352E,3,Upper Division
Topics in Principles of Marine Science: Laboratory Studies,"MNS 152L, 252L","1, 2",Upper Division
Marine Community Ecology,MNS 352M,3,Upper Division
Marine Science Research and Reporting,"MNS 152R, 352R","1, 3",Upper Division
Topics in Principles of Marine Science: Undergraduate Seminar,"MNS 152S, 252S","1, 2",Upper Division
Principles of Marine Science: Special Topics,"MNS 152T, 252T","1, 2",Upper Division
Marine Invertebrates,MNS 354,3,Upper Division
Biology of Fishes,MNS 354C,3,Upper Division
Aquatic Microbiology,MNS 354E,3,Upper Division
Marine Geology,MNS 354F,3,Upper Division
Marine Chemistry,MNS 354J,3,Upper Division
Marine Environmental Science,MNS 354Q,3,Upper Division
Biological Oceanography,MNS 354T,3,Upper Division
"Biology of Sharks, Skates, and Rays",MNS 354U,3,Upper Division
Physiology of Fishes,MNS 355C,3,Upper Division
Marine Fisheries Ecology,MNS 355E,3,Upper Division
Ecosystem Oceanography,MNS 356,3,Upper Division
Marine Phytoplankton Diversity,MNS 357,3,Upper Division
Human Exploration and Exploitation of the Sea,MNS 367K,3,Upper Division
Special Studies in Marine Science,"MNS 170, 270, 370","1, 2, 3",Upper Division
Research in Marine Science,"MNS 180, 380, 680","1, 3, 6",Graduate
Marine Ecosystem Dynamics,MNS 481C,4,Graduate
Topics in Principles of Marine Science,MNS 382,3,Graduate
Marine Biogeochemistry,MNS 482C,4,Graduate
Adaptations to the Marine Environment,MNS 483C,4,Graduate
Benthic Ecology,MNS 384C,3,Graduate
Marine Microbial Ecology,MNS 384E,3,Graduate
Marine Geology,MNS 384F,3,Graduate
Marine Ecology,MNS 384J,3,Graduate
Ecology of Fishes,MNS 384K,3,Graduate
Marine Chemistry,MNS 384L,3,Graduate
Biological Oceanographic Processes,MNS 384T,3,Graduate
Reproductive Physiology of Fishes,MNS 384U,3,Graduate
Marine Macrophytes,MNS 385E,3,Graduate
Environmental Modeling,MNS 385F,3,Graduate
Phytoplankton Ecology,MNS 386,3,Graduate
Pelagic Ecosystems,MNS 387,3,Graduate
Marine Research Training Cruise,"MNS 188, 388","1, 3",Graduate
Topics in Marine Science: Seminar,MNS 191,1,Graduate
Thesis,MNS 698,6,Graduate
Supervised Teaching in Marine Science,MNS 398T,3,Graduate
Dissertation,"MNS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 169
DegreeView
