Coursename,Coursecode,Hours,Classification
Advanced Readings in Molecular Biology,MOL 380,3,Graduate
Dual MD/PhD Program with UT Medical Branch,MOL 080M,0,Graduate
Cellular and Molecular Bases of Neural Development,MOL 381K,3,Graduate
Epigenetics,MOL 382E,3,Graduate
"Developmental, Stem Cell, and Regenerative Biology",MOL 383K,3,Graduate
Topics in Advanced Molecular Biology,MOL 384K,3,Graduate
Plant Molecular Biology,MOL 388M,3,Graduate
Topics in Molecular Biology: Seminar,"MOL 190C, 290C, 390C","1, 2, 3",Graduate
Grant Writing and Presentation Skills,MOL 391,3,Graduate
Advanced Virology,MOL 391P,3,Graduate
Research Problems,"MOL 192, 292, 392, 492, 592, 692, 792, 892, 992","1, 2, 3, 4, 5, 6, 7, 8, 9",Graduate
Immunology,MOL 394L,3,Graduate
Genomics,MOL 394M,3,Graduate
Molecular Biology Conference Course,MOL 195,1,Graduate
Genetics,MOL 395F,3,Graduate
Structure and Function of Proteins and Membranes,MOL 395G,3,Graduate
Cell Biology,MOL 395H,3,Graduate
Advanced Biochemistry,MOL 395I,3,Graduate
"Genes, Genomes, and Gene Expression",MOL 395J,3,Graduate
Laboratory Studies in Molecular Biology,MOL 395L,3,Graduate
Thesis,MOL 698,6,Graduate
Supervised Teaching in Molecular Biology,MOL 398T,3,Graduate
Dissertation,"MOL 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 67
DegreeView
