Coursename,Coursecode,Hours,Classification
PIANO FOR TEACHERS,MUS 201F,2,Lower Division
Beginning Class Piano for Nonmusic Majors,MUS 201J,2,Lower Division
Second-Semester Class Piano for Nonmusic Majors,MUS 201K,2,Lower Division
Beginning Music Performance: Class Piano,MUS 201M,2,Lower Division
Beginning Music Performance: Second-Semester Class Piano,MUS 201N,2,Lower Division
Beginning Guitar Class,MUS 101Q,1,Lower Division
Beginning Music Performance: Class Harp,MUS 201S,2,Lower Division
Beginning Music Performance: Second-Semester Class Harp,MUS 201T,2,Lower Division
Beginning Violin Class,MUS 101V,1,Lower Division
An Introduction to Western Music,MUS 302L (TCCN: MUSI 1306),3,Lower Division
Introductory Topics in Western Music,MUS 302P,3,Lower Division
Fundamentals of Music: Classroom Instruments,MUS 303C,3,Lower Division
Fundamentals of Music: Guitar,MUS 303D,3,Lower Division
Fundamentals of Music: Piano,MUS 303E,3,Lower Division
Introduction to Music in World Cultures,MUS 303M,3,Lower Division
Introduction to Popular Music in World Cultures,MUS 303N,3,Lower Division
Topics in Music of World Cultures,MUS 303P,3,Lower Division
Musicianship,MUS 605,6,Lower Division
Elements of Music,MUS 306M,3,Lower Division
Topics in Popular Music,MUS 307 (TCCN: MUSI 1310),3,Lower Division
String Education: Teaching and Learning,MUS 007P,0,Lower Division
Beginning Instruction in Music Performance: Third-Semester Class Piano,MUS 210J,2,Lower Division
Beginning Instruction in Music Performance: Fourth-Semester Class Piano,MUS 210K,2,Lower Division
Ear Training and Sight-Singing,MUS 411,4,Lower Division
English Diction and Phonetic Translation,MUS 111E,1,Lower Division
French for Musicians,MUS 311F,3,Lower Division
German for Musicians,MUS 311G,3,Lower Division
Italian for Musicians,MUS 311J,3,Lower Division
Structure of Tonal Music,MUS 612,6,Lower Division
Music and Culture,MUS 312C,3,Lower Division
History of Music I,"MUS 213M, 313M","2, 3",Lower Division
History of Music II,"MUS 213N, 313N","2, 3",Lower Division
Beginning Composition,MUS 214C,2,Lower Division
String Instrument Fundamentals,MUS 115D,1,Lower Division
Brass Instrument Fundamentals,MUS 115E,1,Lower Division
Woodwind Instrument Fundamentals,MUS 115F,1,Lower Division
Guitar Fundamentals,MUS 115G,1,Lower Division
Lower-Division Reed Making,MUS 115T,1,Lower Division
Beginning Jazz Improvisation,MUS 218J,2,Lower Division
Foundations of Digital Sound and Music,MUS 319D,3,Lower Division
Topics in Music,"MUS 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Music,"MUS 129Q, 229Q, 329Q, 429Q, 529Q, 629Q, 729Q, 829Q, 929Q","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Junior Jazz Recital,MUS 420J,4,Upper Division
Practicum in a World Music Tradition,MUS 220P,2,Upper Division
Junior Recital,MUS 420R,4,Upper Division
Twentieth-Century Musical Analysis,MUS 321J,3,Upper Division
Instrumental Conducting,MUS 222J,2,Upper Division
Instrumental Conducting,MUS 282J,2,Graduate
Jazz Improvisation I,MUS 223,2,Upper Division
Choral Conducting,MUS 223J,2,Upper Division
Choral Conducting,MUS 223K,2,Upper Division
Jazz Improvisation II,MUS 224,2,Upper Division
Intermediate Composition,MUS 224G,2,Upper Division
Advanced Composition,MUS 224J,2,Upper Division
Counterpoint,MUS 325L,3,Upper Division
Counterpoint,MUS 325M,3,Upper Division
Orchestration and Arranging,MUS 226G,2,Upper Division
Orchestration and Instrumentation,MUS 226J,2,Upper Division
Orchestration and Instrumentation,MUS 226K,2,Upper Division
Choral Arranging,MUS 226N,2,Upper Division
Jazz Harmony in Practice I,MUS 228C,2,Upper Division
Jazz Harmony in Practice II,MUS 228D,2,Upper Division
Jazz Composition,MUS 228P,2,Upper Division
Introduction to Electronic Media,MUS 329E,3,Upper Division
Projects in Electronic Media,MUS 329F,3,Upper Division
Intermediate Electronic Composition,MUS 329G,3,Upper Division
Introduction to Computer Music,MUS 329J,3,Upper Division
Intermediate Computer Music,MUS 329M,3,Upper Division
History of Music III,"MUS 230L, 330L","2, 3",Upper Division
Advanced Topics in Music Theory,MUS 331J,3,Upper Division
Topics in The Music of the Americas,MUS 334,3,Upper Division
Music and Film Sound,MUS 337,3,Upper Division
Topics in Masterpieces of Music,MUS 338,3,Upper Division
Topics in Ethnomusicology Areas,MUS 342,3,Upper Division
History of Jazz,MUS 343J,3,Upper Division
Jazz Piano Techniques I,MUS 246,2,Upper Division
Music and Religious Identities in the US,MUS 346R,3,Upper Division
Jazz Piano Techniques II,MUS 247,2,Upper Division
Studio Arranging I,MUS 348,3,Upper Division
Studio Arranging II,MUS 349,3,Upper Division
"Creating Music and Sound for Film, Video, and Games",MUS 350S,3,Upper Division
Musical Development of Children,MUS 354,3,Upper Division
Children's Music Literature and Performance I,MUS 354C,3,Upper Division
Children's Music Literature and Performance II,MUS 354D,3,Upper Division
"Music Performance, Listening, and Appreciation",MUS 354F,3,Upper Division
Game Development Capstone: Two-Dimensional Games,MUS 354S,3,Upper Division
Game Development Capstone: Three-Dimensional Games,MUS 354T,3,Upper Division
Techniques of Percussion Performance,MUS 155C,1,Upper Division
Techniques of String Performance,MUS 255D,2,Upper Division
Techniques of Brass Performance,MUS 255E,2,Upper Division
Techniques of Woodwind Performance,MUS 255F,2,Upper Division
Marching Band Techniques,MUS 255M,2,Upper Division
Vocal Techniques For Instrumentalists,MUS 155S,1,Upper Division
Techniques of Vocal Performance,MUS 255V,2,Upper Division
Choral Ensemble Literature and Performance,"MUS 356G, 456G","3, 4",Upper Division
Instrumental Ensemble Literature and Performance,MUS 356J,3,Upper Division
Chamber Music: Brass,MUS 259C,2,Upper Division
Chamber Music: Percussion,MUS 259E,2,Upper Division
Harp Repertoire,MUS 159J,1,Upper Division
Vocal Repertoire Coaching,MUS 259L,2,Upper Division
Chamber Music: Strings and Piano,MUS 259N,2,Upper Division
Chamber Music: Saxophone,MUS 259R,2,Upper Division
Topics in Instrumental Technology,MUS 259T,2,Upper Division
Chamber Music: Repertoire Before 1800,MUS 259U,2,Upper Division
Chamber Music: Vocal,MUS 259V,2,Upper Division
Chamber Music: Woodwinds,MUS 259W,2,Upper Division
Senior Composition Recital,MUS 160C,1,Upper Division
Senior Jazz Recital,MUS 460J,4,Upper Division
Senior Recital,MUS 460R,4,Upper Division
Intermediate Instrumental Conducting,MUS 262C,2,Upper Division
Advanced Ear Training,"MUS 164L, 364L","1, 3",Upper Division
Senior Piano Pedagogy Project,MUS 366P,3,Upper Division
Review of Music Theory,MUS 368L,3,Upper Division
Topics in Pedagogy,MUS 271P,2,Upper Division
Twentieth-Century Music Techniques,MUS 375J,3,Upper Division
Teaching and Learning in Music,MUS 275T,2,Upper Division
Special Topics in Music Performance,"MUS 176C, 276C, 376C","1, 2, 3",Upper Division
Special Topics in Music Literature,MUS 376G,3,Upper Division
Special Topics in Music Theory,MUS 376J,3,Upper Division
Special Topics in Music Studies,MUS 176M,1,Upper Division
Guitar Repertory,MUS 176R,1,Upper Division
Bassoon Literature,MUS 276S,2,Upper Division
Flute Literature,MUS 276T,2,Upper Division
French Horn Literature,MUS 276U,2,Upper Division
Oboe Literature,MUS 276V,2,Upper Division
Independent Study: Music Performance,"MUS 178C, 278C, 378C","1, 2, 3",Upper Division
Independent Study: Music Literature,"MUS 178G, 278G, 378G","1, 2, 3",Upper Division
Independent Study: Music Theory,"MUS 178J, 278J, 378J","1, 2, 3",Upper Division
Independent Study: Music Studies,"MUS 178M, 278M, 378M","1, 2, 3",Upper Division
Capstone in Music,MUS 379G,3,Upper Division
Advanced Topics in Music Literature,MUS 379K,3,Upper Division
Musical Acoustics,MUS 379Q,3,Upper Division
Advanced Topics in the History and Culture of Music,MUS 380,3,Graduate
Topics in Diction and Translation,MUS 280D,2,Graduate
Improvisation (Non-Jazz),MUS 180G,1,Graduate
Group Piano Pedagogy,MUS 280M,2,Graduate
Technology in Voice Study,MUS 280N,2,Graduate
Vocal Repertoire Coaching,"MUS 180R, 280R","1, 2",Graduate
Accompanying,"MUS 180T, 280T","1, 2",Graduate
Collaborative Piano: Vocal and Instrumental,"MUS 180V, 280V","1, 2",Graduate
Reference and Research Materials in Music,MUS 381,3,Graduate
Chamber Music: Brass,MUS 281C,2,Graduate
Chamber Music: Artist Diploma,MUS 181D,1,Graduate
Chamber Music: Percussion,MUS 281E,2,Graduate
Topics in Introduction to Musicology and Ethnomusicology,MUS 381J,3,Graduate
Chamber Music: Piano,MUS 281K,2,Graduate
Chamber Music: Masters Quartet,MUS 481M,4,Graduate
Topics in Graduate Pedagogy,MUS 281P,2,Graduate
Chamber Music: Saxophone,MUS 281R,2,Graduate
Chamber Music: Strings,MUS 281S,2,Graduate
Chamber Music: Vocal,MUS 281V,2,Graduate
Chamber Music: Woodwinds,MUS 281W,2,Graduate
Topics in Seminar in Music Education,MUS 383L,3,Graduate
Advanced Topics in Music Education,MUS 384J,3,Graduate
Practicum in a World Music Tradition,MUS 284P,2,Graduate
Special Topics in Musicology,MUS 385,3,Graduate
Topics in Seminars: Musicology and Ethnomusicology,MUS 385J,3,Graduate
Directed Research in Musicology,"MUS 185R, 285R, 385R","1, 2, 3",Graduate
Topics in the History of Sacred Music,MUS 386J,3,Graduate
Topics in Music in Worship: Service Planning and Service Playing,MUS 286S,2,Graduate
Advanced Topics in Music Literature,MUS 387L,3,Graduate
Composition,MUS 388C,3,Graduate
Electronic Composition,MUS 388E,3,Graduate
Film and Scoring Media,MUS 388F,3,Graduate
Graduate Media Project,MUS 388G,3,Graduate
Improvisation Styles and Techniques,MUS 388J,3,Graduate
Project in Jazz Composition,MUS 388K,3,Graduate
Advanced Studies in Choral Literature,MUS 288L,2,Graduate
Topics in Music Theory,MUS 388M,3,Graduate
Jazz Pedagogy,MUS 388P,3,Graduate
Directed Research in Music Theory,"MUS 188R, 288R, 388R","1, 2, 3",Graduate
Topics in Seminar in Music Theory,MUS 388S,3,Graduate
Analytical Techniques,MUS 388T,3,Graduate
Score Reading,MUS 388V,3,Graduate
Foundations of Music Education,MUS 391,3,Graduate
Psychology of Music,MUS 392,3,Graduate
Topics in Special Problems in Music Education,"MUS 193, 293, 393","1, 2, 3",Graduate
Directed Reading,"MUS 194, 394, 694","1, 3, 6",Graduate
Writing about Music,MUS 395W,3,Graduate
Thesis,MUS 698,6,Graduate
Artist Recital,MUS 398D,3,Graduate
Master's Report,MUS 398M,3,Graduate
Master's Recital,MUS 698R,6,Graduate
Supervised Teaching in Music,MUS 398T,3,Graduate
Treatise,"MUS 399, 699, 999","3, 6, 9",Graduate
Nontreatise Lecture Recital Document,"MUS 399N, 699N, 999N","3, 6, 9",Graduate
Dissertation,"MUS 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 480
DegreeView
