Coursename,Coursecode,Hours,Classification
Topics in Nursing,"N 107, 207, 307","1, 2, 3",Lower Division
Global Health,N 309,3,Lower Division
Communication in Health Care Settings,N 310,3,Lower Division
Introduction to Nursing Scholarship: Honors Seminar,N 117H,1,Lower Division
Topics in International Learning Seminars,"N 119, 219, 319, 419, 519, 619","1, 2, 3, 4, 5, 6",Lower Division
Topics in Nursing,"N 195, 295, 395, 495, 595, 695","1, 2, 3, 4, 5, 6",Graduate
Introduction into Patient-Centered Nursing Care,N 320,3,Upper Division
Ethics of Health Care,N 321,3,Upper Division
Ethics of Health Care: Honors,N 321H,3,Upper Division
Genetics in Health Care,"N 223, 323","2, 3",Upper Division
Health Assessment Skills,N 224,2,Upper Division
Adult Health Nursing I,N 325,3,Upper Division
Adult Health Nursing I (Practicum),N 325P,3,Upper Division
Clinical Nursing Skills I (Practicum),N 127P,1,Upper Division
Topics in International Learning Seminars,"N 129M, 229M, 329M, 429M, 529M, 629M","1, 2, 3, 4, 5, 6",Upper Division
Topics in Independent Study,"N 137, 237, 337","1, 2, 3",Upper Division
Complementary and Alternative Medicine in Health Care,N 338,3,Upper Division
Perinatal Nursing Care,N 244,2,Upper Division
Perinatal Nursing Care Practicum,N 344P,3,Upper Division
Specialized Topics in Nursing,"N 147, 247, 347","1, 2, 3",Upper Division
Interprofessional Collaborative Practice,N 250,2,Upper Division
Career Planning and Professional Development,"N 152, 252","1, 2",Upper Division
Spanish for Health Care Professionals,N 354,3,Upper Division
Adult Health Nursing IIA,N 255C,2,Upper Division
Adult Health Nursing IIB,N 255D,2,Upper Division
Adult Health Nursing II (Practicum),N 355P,3,Upper Division
Mental Health Nursing across the Life Span,N 356,3,Upper Division
Problems in Mental Health Nursing (Practicum),"N 256P, 356P","2, 3",Upper Division
Clinical Nursing Skills II Practicum,N 157P,1,Upper Division
Nursing Research,N 264,2,Upper Division
Nursing Research: Honors,N 264H,2,Upper Division
Nursing Care of Children and Their Families,N 266,2,Upper Division
Nursing Care of Children and Their Families Practicum,N 366P,3,Upper Division
Disability over the Life Course,N 371,3,Upper Division
International Health Implications,N 172,1,Upper Division
Quality and Safety for Nursing Practice,N 273,2,Upper Division
