Coursename,Coursecode,Hours,Classification
Drill,N S 000,0,Lower Division
Introduction to Naval Science,N S 302,3,Lower Division
Sea Power and Maritime Affairs,N S 312,3,Lower Division
Naval Engineering,N S 315,3,Lower Division
Naval Weapons Systems,N S 316,3,Lower Division
Topics in Naval Science,"N S 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Evolution of Warfare,N S 326,3,Upper Division
Navigation and Naval Operations I,N S 329,3,Upper Division
Topics in Naval Science,"N S 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Leadership and Ethics,N S 330,3,Upper Division
Leadership and Management,N S 335,3,Upper Division
Fundamentals of Maneuver Warfare,N S 336,3,Upper Division
Amphibious Warfare,N S 362,3,Upper Division
Navigation and Naval Operations II,N S 369,3,Upper Division
,,Total Hours: 39
DegreeView
