Coursename,Coursecode,Hours,Classification
Topics in Neuroscience,"NEU 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Introduction to Neuroscience,NEU 320,3,Upper Division
Topics in Neuroscience,"NEU 185L, 285L, 285L, 385L, 485L","1, 2, 2, 3, 4",Graduate
Neural Systems I,NEU 330,3,Upper Division
Neural Systems II,NEU 335,3,Upper Division
Selected Topics in Neuroscience,"NEU 137, 237, 337, 437","1, 2, 3, 4",Upper Division
Neural Systems III: Quantitative Tools,NEU 340,3,Upper Division
Comparative Animal Physiology,NEU 361T,3,Upper Division
Principles of Drug Action,NEU 365D,3,Upper Division
Epigenetics of Neuroscience,NEU 365E,3,Upper Division
Neurobiology Laboratory,NEU 365L,3,Upper Division
Advanced Experimental Neurobiology,NEU 365M,3,Upper Division
Nerve Regeneration in Invertebrates and Vertebrates,NEU 365N,3,Upper Division
Programming and Data Analysis for Modern Neuroscience,NEU 365P,3,Upper Division
Neurobiology of Disease,NEU 365T,3,Upper Division
Neurobiology of Addiction,NEU 365W,3,Upper Division
Ion Channels and the Molecular Physiology of Neuronal Signaling,NEU 366C,3,Upper Division
Synaptic Physiology and Plasticity,NEU 366D,3,Upper Division
Functional and Synaptic Neuroanatomy,NEU 466G,4,Upper Division
Neuroimaging Laboratory,NEU 366L,3,Upper Division
Rhythms in the Nervous System,NEU 366R,3,Upper Division
Neuromolecular Genetics and Disease Laboratory,NEU 366S,3,Upper Division
Modeling and Theory in Neuroscience,NEU 466T,4,Upper Division
Neural Computation,NEU 366W,3,Upper Division
Cellular and Molecular Bases of Neural Development,NEU 367C,3,Upper Division
Foundations of Human Neuroimaging,NEU 367F,3,Upper Division
Analytical Skepticism,NEU 367S,3,Upper Division
Evolutionary Neurobiology,NEU 367V,3,Upper Division
Undergraduate Research,"NEU 177, 277, 377, 477","1, 2, 3, 4",Upper Division
Honors Tutorial Course,"NEU 179H, 279H, 379H, 679H","1, 2, 3, 6",Upper Division
Computational Neuroscience,NEU 380C,3,Graduate
Vision Systems,NEU 380E,3,Graduate
Dual MD/PhD Program with UT Medical Branch,NEU 080M,0,Graduate
Grant Writing in the Behavioral and Biological Sciences,NEU 381G,3,Graduate
Basic Processes of Nerve Cells,NEU 381N,3,Graduate
Mechanisms of Vision,NEU 381V,3,Graduate
Epigenetics,NEU 382E,3,Graduate
Principles of Neuroscience I,"NEU 182T, 282T, 382T, 482T","1, 2, 3, 4",Graduate
Neural and Computational Basis of Vision,NEU 382V,3,Graduate
Functional Neuroanatomy,NEU 383C,3,Graduate
Neuropharmacology,NEU 383D,3,Graduate
Neuropharmacology II,NEU 383E,3,Graduate
Data Analysis and Statistics for the Neurosciences,NEU 383M,3,Graduate
Principles of Neuroscience II,"NEU 183T, 283T, 383T, 483T","1, 2, 3, 4",Graduate
Bootstrap Statistics,NEU 384C,3,Graduate
Advanced Statistics: Inferential,NEU 384M,3,Graduate
Responsible Conduct of Science,NEU 185D,1,Graduate
Programming and Data Analysis for Modern Neuroscience,NEU 385P,3,Graduate
Multivariate Pattern Analysis,NEU 386D,3,Graduate
Functional and Synaptic Neuroanatomy,"NEU 386G, 486G","3, 4",Graduate
Analytical Skepticism,NEU 387S,3,Graduate
Fundamentals of Fluorescence Microscopy,NEU 288M,2,Graduate
Career Development for Neuroscientists,NEU 088V,0,Graduate
Research,"NEU 190, 290, 390","1, 2, 3",Graduate
Graduate Seminar in Neuroscience,NEU 191,1,Graduate
Learning and Memory,NEU 391N,3,Graduate
Neuroinflammation in Health and Pathology,NEU 394I,3,Graduate
Neural Networks,NEU 394N,3,Graduate
Topics in Neuroscience: Seminar,NEU 394P,3,Graduate
Clinical Psychopharmacology,NEU 396D,3,Graduate
Thesis,NEU 698,6,Graduate
Dissertation,"NEU 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 180
DegreeView
