Coursename,Coursecode,Hours,Classification
Accelerated First-Year Norwegian,NOR 604,6,Lower Division
Accelerated Second-Year Norwegian,NOR 612,6,Lower Division
Topics in Norwegian,"NOR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Advanced Norwegian I,NOR 327,3,Upper Division
Advanced Norwegian II,NOR 328,3,Upper Division
Topics in Norwegian,"NOR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Norwegian across Disciplines,NOR 130D,1,Upper Division
Conference Course in Norwegian Language or Literature,NOR 379,3,Upper Division
,,Total Hours: 28
DegreeView
