Coursename,Coursecode,Hours,Classification
Topics in Nursing,"NRP 195, 295, 395, 495, 595, 695","1, 2, 3, 4, 5, 6",Graduate
A Systems Approach to Health Promotion Across Diverse Populations,NRP 395D,3,Graduate
Health Policy for Diverse Systems and Populations,NRP 395E,3,Graduate
Health Care Economics and Finance,NRP 395F,3,Graduate
Translating Evidence into Nursing Practice,NRP 395G,3,Graduate
Leadership in Organizations and Systems,NRP 395K,3,Graduate
Quality Improvement and Safety Principles and Methods,NRP 395L,3,Graduate
Epidemiology and Population Health,NRP 395M,3,Graduate
Roles and Theory Foundations of the Nursing Practice Leadership Role,NRP 395O,3,Graduate
Research and Evaluation Methods I,NRP 395Q,3,Graduate
Research and Evaluation Methods II,NRP 395R,3,Graduate
Healthcare Information Systems,NRP 395S,3,Graduate
Clinical Leadership Specialization Seminar and Practicum I,"NRP 395T, 495T, 595T","3, 4, 5",Graduate
Clinical Leadership Specialization Seminar and Practicum II,"NRP 395U, 495U, 595U","3, 4, 5",Graduate
Clinical Leadership Specialization Seminar and Practicum III,"NRP 395V, 495V, 595V","3, 4, 5",Graduate
Clinical Leadership Specialization Seminar and Practicum IV,"NRP 395W, 495W, 595W","3, 4, 5",Graduate
,,Total Hours: 48
DegreeView
