Coursename,Coursecode,Hours,Classification
Freshman Seminar,NSC 301C,3,Lower Division
Experiential Learning,NSC 001F,0,Lower Division
Natural Sciences Seminar,NSC 001S,0,Lower Division
Texas Interdisciplinary Plan: Critical Thinking Seminar,NSC 302,3,Lower Division
Creative Communication of Scientific Research,NSC 303,3,Lower Division
"Dialogue Across Difference: Identity, Power, and Privilege","NSC 106, 206","1, 2",Lower Division
"Diversity, Equity, and Inclusion Capstone",NSC 207,2,Lower Division
The Effective Health Care Professional,NSC 107J,1,Lower Division
Thriving in a Collaborative Healthcare Environment,NSC 107K,1,Lower Division
Introduction to the Health Professions Action Plan,NSC 107M,1,Lower Division
Topics in Natural Sciences,"NSC 108, 208, 308, 408, 508, 608, 708, 808, 908","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Natural Science,"NSC 109, 209, 309","1, 2, 3",Lower Division
Topics in Calculus for Emerging Scholars,NSC 209P,2,Lower Division
Internship in the Sciences,NSC 110E,1,Lower Division
Topics in Natural Sciences Honors Seminar,NSC 110H,1,Lower Division
Critical Reasoning,NSC 311,3,Lower Division
Women in Natural Sciences Seminar,NSC 115,1,Lower Division
Topics in Forum Seminar Series,"NSC 118C, 218C, 318C","1, 2, 3",Lower Division
Topics in International Learning Seminars,"NSC 119, 219, 319, 419, 519, 619","1, 2, 3, 4, 5, 6",Lower Division
Topics in Natural Science,"NSC 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Internship in the Sciences,NSC 120E,1,Upper Division
Introduction to Peer Mentoring and Leadership,NSC 321,3,Upper Division
Natural Science Topics,"NSC 122, 222, 322, 422, 522, 622, 722, 822, 922","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Natural Sciences Topics,"NSC 123, 223, 323, 423, 523, 623, 723, 823, 923","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Natural Sciences Topics,"NSC 124, 224, 324, 424, 524, 624, 724, 824, 924","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Topics in Inventors Program Practicum,NSC 325,3,Upper Division
Introduction to Scientific Programming,NSC 326,3,Upper Division
Topics in International Learning Seminars,"NSC 129, 229, 329, 429, 529, 629","1, 2, 3, 4, 5, 6",Upper Division
Scientific and Technical Computing,NSC 335,3,Upper Division
Capstone Thesis Seminar,NSC 371,3,Upper Division
Science Communications Seminar,NSC 088C,0,Graduate
Science Communications Practicum,NSC 088D,0,Graduate
Professional Ethics and Social Responsibility in Research,NSC 088E,0,Graduate
Concentration on Science in Public Policy,NSC 088G,0,Graduate
Concentration in Science in Public Policy,NSC 088J,0,Graduate
Introduction to Evidence-Based Teaching,NSC 088L,0,Graduate
Mentoring Undergraduate Researchers,NSC 088M,0,Graduate
Leading People and Organizations,NSC 088P,0,Graduate
Strategic Management,NSC 088S,0,Graduate
Mentored Teaching,NSC 088T,0,Graduate
STEM Professional Development,NSC 088V,0,Graduate
Investigating Career Options for STEM Advanced Degrees,NSC 098D,0,Graduate
Topics in Research for Independent Study,"NSC 180, 280, 380, 480, 580, 680","1, 2, 3, 4, 5, 6",Graduate
,,Total Hours: 71
DegreeView
