Coursename,Coursecode,Hours,Classification
Topics in Policy Research Project on National Security Issues,NSP 680P,6,Graduate
"National Security Institutions, Processes, and Politics",NSP 383M,3,Graduate
Writing for National Security,NSP 386W,3,Graduate
Foundations of International Security: Theory and Practice,NSP 387M,3,Graduate
Conference Course in National Security,NSP 389,3,Graduate
Economics for Foreign Policy,NSP 393M,3,Graduate
Grand Strategy and Military Operations,NSP 395M,3,Graduate
Internship in National Security,NSP 396K,3,Graduate
Analytical Methods for National Security,NSP 397N,3,Graduate
Master's Report,NSP 398R,3,Graduate
,,Total Hours: 33
DegreeView
