Coursename,Coursecode,Hours,Classification
Fundamentals of Nutrition,"NTR 306 (TCCN: BIOL 1322, HECO 1322)",3,Lower Division
Introductory Food Science,NTR 307,3,Lower Division
Introductory Food Science Laboratory,NTR 107L,1,Lower Division
Introduction to Nutritional Sciences,NTR 312,3,Lower Division
Introduction to Nutritional Sciences: Honors,NTR 312H,3,Lower Division
Introduction to Nutritional Science Laboratory,NTR 112L,1,Lower Division
Research in Nutritional Sciences,NTR 312R,3,Lower Division
Nutrition through the Life Cycle,NTR 315,3,Lower Division
Culture and Food,NTR 316,3,Lower Division
Introduction to Nutrition Assessment and Education,NTR 317L,3,Lower Division
Assessment of Nutritional Status,NTR 218,2,Lower Division
Assessment of Nutritional Status Laboratory,NTR 118L,1,Lower Division
Topics in Nutrition,"NTR 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
International Nutrition: The Developing World,NTR 321,3,Upper Division
Advanced Food Science,NTR 324,3,Upper Division
Advanced Food Science Laboratory,NTR 124L,1,Upper Division
Intermediate Nutrition and Metabolism,NTR 326,3,Upper Division
Nutritional Sciences Laboratory,NTR 126L,1,Upper Division
Advanced Food Science Laboratory,NTR 327L,3,Upper Division
Topics in Nutrition,"NTR 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Nutrition Education and Counseling,NTR 330,3,Upper Division
Advanced Nutrition Assessment and Counseling,NTR 330L,3,Upper Division
International Nutrition: Social and Environmental Policies,NTR 331,3,Upper Division
Community Nutrition,NTR 332,3,Upper Division
Foodservice Systems Management,NTR 334,3,Upper Division
Laboratory in Foodservice Systems,NTR 234L,2,Upper Division
Principles of Epidemiology in Nutritional Sciences,NTR 337,3,Upper Division
Issues in Nutrition and Health: Honors,NTR 338H,3,Upper Division
Issues in Nutrition and Health,NTR 338W,3,Upper Division
Experimental Methods and Design in Nutritional Sciences,NTR 339L,3,Upper Division
Advanced Nutritional Sciences,NTR 342,3,Upper Division
Vitamins and Minerals,NTR 343,3,Upper Division
Advanced Nutrition II Laboratory,NTR 144M,1,Upper Division
Clinical Practice in Medical Nutrition Therapy I,NTR 245C,2,Upper Division
Clinical Practice in Medical Nutrition Therapy II,NTR 345M,3,Upper Division
Topics in Field Experience in Nutrition,"NTR 152, 252, 352","1, 2, 3",Upper Division
Field Experience in International Nutrition,NTR 353,3,Upper Division
Undergraduate Research in Nutrition,"NTR 155, 255, 355, 455","1, 2, 3, 4",Upper Division
Honors Research,NTR 355H,3,Upper Division
Advanced Food Systems Management,NTR 355M,3,Upper Division
Selected Topics in Applied Nutrition,NTR 360,3,Upper Division
"Standards, Ethics, and Credentialing for Dietetic Practice",NTR 162,1,Upper Division
Selected Topics in Nutritional Sciences,NTR 365,3,Upper Division
Experiential Learning in Community Engagement,NTR 365L,3,Upper Division
Research Methods in Nutritional Sciences,NTR 366L,3,Upper Division
Undergraduate Seminar in Nutritional Sciences,NTR 167,1,Upper Division
Medical Nutrition Therapy I,NTR 370,3,Upper Division
Medical Nutrition Therapy II,NTR 371,3,Upper Division
Practicum in Clinical Dietetics,NTR 372C,3,Upper Division
Practicum in Food Services Systems Management,NTR 372F,3,Upper Division
Practicum in Dietetic Administration,NTR 373S,3,Upper Division
Practicum in Community Dietetics,NTR 374C,3,Upper Division
Advanced Practicum in Dietetics,NTR 374P,3,Upper Division
Honors Tutorial Course,NTR 379H,3,Upper Division
Topics in Research Methods in Nutritional Sciences,NTR 380K,3,Graduate
Topics in Recent Advances in Nutritional Science,NTR 390,3,Graduate
Topics in Research Problems in Nutritional Sciences,NTR 392,3,Graduate
Research Hours in Nutritional Sciences,NTR 392R,3,Graduate
Topics in Graduate Seminar in Nutritional Sciences,"NTR 194, 294, 394","1, 2, 3",Graduate
Conference Course in Nutritional Sciences,"NTR 397C, 697C","3, 6",Graduate
Thesis,NTR 698,6,Graduate
Master's Report,NTR 398R,3,Graduate
Supervised Teaching in Nutrition,NTR 398T,3,Graduate
Dissertation,"NTR 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 176
DegreeView
