Coursename,Coursecode,Hours,Classification
Topics in Operations Management,"O M 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Foundations of Operations and Supply Chain Management,O M 320F,3,Upper Division
Topics in Operations Management,O M 372T,3,Upper Division
Topics in Foundations of Operations Management,O M 332F,3,Upper Division
Healthcare Operations Management,O M 334M,3,Upper Division
Operations Management,"O M 135, 235, 335","1, 2, 3",Upper Division
Operations Management: Honors,"O M 235H, 335H","2, 3",Upper Division
Supply Chain Modeling and Optimization,O M 338,3,Upper Division
Digital Transformation of Supply Chain Management,O M 350,3,Upper Division
Procurement and Supplier Management,O M 360,3,Upper Division
Operations Management Practicum,O M 366P,3,Upper Division
"Supply Chain Design, Planning, and Execution",O M 370,3,Upper Division
Supply Chain and Operations Management Strategy,O M 375,3,Upper Division
Independent Research in Operations Management,"O M 179, 379","1, 3",Upper Division
Topics in Seminar in Operations Management,O M 380,3,Graduate
Topics in Business Analytics,"O M 184, 284, 384","1, 2, 3",Graduate
Current Topics in Operations Management,"O M 186, 286, 386","1, 2, 3",Graduate
Topics in Seminar: Operations Management,O M 392,3,Graduate
,,Total Hours: 54
DegreeView
