Coursename,Coursecode,Hours,Classification
Topics in Operations Research and Industrial Engineering,"ORI 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Topics in Operations Research and Industrial Engineering,"ORI 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Data Science for Engineers,ORI 365,3,Upper Division
Operations Research Models,ORI 366,3,Upper Division
Simulation Modeling,ORI 367,3,Upper Division
Decision Analysis,ORI 369,3,Upper Division
Statistical Methods in Manufacturing,ORI 370,3,Upper Division
Facility Planning and Logistics,ORI 373,3,Upper Division
Production and Inventory Management,ORI 374,3,Upper Division
Projects in Operations Research and Industrial Engineering,"ORI 177K, 277K, 377K","1, 2, 3",Upper Division
Research,"ORI 180M, 280M, 380M, 680M, 980M","1, 2, 3, 6, 9",Graduate
Healthcare Delivery Models,ORI 383,3,Graduate
Emerging Trends in Operations Research and Industrial Engineering,ORI 384,3,Graduate
Topics in Analytics and Decision Making,ORI 390D,3,Graduate
Topics in Industrial Engineering,ORI 390Q,3,Graduate
Topics in Statistics and Probability,ORI 390R,3,Graduate
Topics in Optimization,ORI 391Q,3,Graduate
Current Topics in Operations Research and Industrial Engineering,ORI 397,3,Graduate
Graduate Seminar,"ORI 197K, 297K, 397K","1, 2, 3",Graduate
Graduate Research Internship,ORI 397M,3,Graduate
Projects in Operations Research and Industrial Engineering,"ORI 197P, 297P, 397P","1, 2, 3",Graduate
Thesis,ORI 698,6,Graduate
Master's Report,ORI 398R,3,Graduate
Dissertation,"ORI 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 75
DegreeView
