Coursename,Coursecode,Hours,Classification
Foundations of Public Affairs,P A 301,3,Lower Division
Analysis of Policy Adoption and Implementation,P A 305,3,Lower Division
Qualitative Methods for Public Affairs,P A 311L,3,Lower Division
Quantitative Methods for Public Affairs,P A 311N,3,Lower Division
Economic Analysis for Public Affairs,P A 315,3,Lower Division
Topics in Public Affairs,"P A 119S, 219S, 319S, 419S, 519S, 619S, 719S, 819S, 919S","1, 2, 3, 4, 5, 6, 7, 8, 9",Lower Division
Communication for Public Affairs,P A 320,3,Upper Division
Topics in Policy,P A 325,3,Upper Division
Topics in Public Affairs,"P A 129S, 229S, 329S, 429S, 529S, 629S, 729S, 829S, 929S","1, 2, 3, 4, 5, 6, 7, 8, 9",Upper Division
Professional Development,P A 136,1,Upper Division
Leadership Laboratory,P A 137,1,Upper Division
Advanced Topics in Policy,P A 345,3,Upper Division
Advanced Topics in Policy Analysis Skills and Methods,P A 355,3,Upper Division
Public Affairs Internship,P A 359,3,Upper Division
Topics in Public Policy Issues,P A 159R,1,Upper Division
"Topics in Policymaking in Washington, DC",P A 365W,3,Upper Division
Policy Simulation,P A 168,1,Upper Division
Independent Study in Public Affairs,P A 370,3,Upper Division
Topics in Public Policy and Law,"P A 280L, 380L","2, 3",Graduate
Policy Research Project,P A 680P,6,Graduate
Apprenticeship in Public Policy,P A 680W,6,Graduate
Topics in the Foundations of Policymaking,"P A 181W, 281W, 381W, 481W","1, 2, 3, 4",Graduate
Policy Research Project,P A 882D,8,Graduate
Policy Research Project on Global Policy Issues,P A 682G,6,Graduate
Topics in Policy Analysis: Seminar,P A 382W,3,Graduate
Topics in Policy Development,P A 383C,3,Graduate
Politics and Process,P A 383D,3,Graduate
Policymaking in a Global Age,P A 383G,3,Graduate
Public Management,P A 384D,3,Graduate
Topics In Public Management,P A 385C,3,Graduate
Advanced Topics in Public Management,P A 385D,3,Graduate
The Nature of the International System,P A 387G,3,Graduate
Advanced Topics in Public Policy,"P A 187K, 287K, 387K, 487K","1, 2, 3, 4",Graduate
Writing For Global Policy,P A 387W,3,Graduate
Advanced Topics in Public Policy,P A 188S,1,Graduate
Topics in Policy and Practice,"P A 188F, 288F, 388F","1, 2, 3",Graduate
Topics in Global Policy Studies,P A 188G,1,Graduate
Writing for Policy,P A 388J,3,Graduate
Advanced Topics in Management,"P A 188L, 288L, 388L","1, 2, 3",Graduate
Invisible Global Market,P A 388N,3,Graduate
Advanced Topics In Public Policy,P A 188W,1,Graduate
Conference Course in Policy Analysis,P A 389,3,Graduate
Independent Study in Public Policy,"P A 189C, 289C","1, 2",Graduate
Communications,P A 389D,3,Graduate
Policy Portfolio Internship,P A 189W,1,Graduate
Advanced Research Methods,P A 390C,3,Graduate
Dissertation Proposal Preparation,"P A 390D, 690D, 990D","3, 6, 9",Graduate
Research Design,P A 390E,3,Graduate
Writing for Global Policy Studies,P A 190G,1,Graduate
Public Financial Management,P A 391,3,Graduate
Advanced Topics In Public Financial Management,P A 391G,3,Graduate
Theory and Philosophy of Public Policy I,P A 392C,3,Graduate
Theory and Philosophy of Public Policy II,P A 392D,3,Graduate
Foundations of Public Policy,P A 393C,3,Graduate
Microeconomics,P A 393G,3,Graduate
International Economics,P A 393H,3,Graduate
Topics in International Economics,P A 393J,3,Graduate
Applied Microeconomics for Policy Analysis,P A 393K,3,Graduate
Topics in Advanced Policy Economics,P A 393L,3,Graduate
Research Design and Methods I,P A 394C,3,Graduate
Public Affairs Colloquium,P A 095,0,Graduate
Supervised Policy Research,P A 195C,1,Graduate
Research Design and Methods II,P A 395D,3,Graduate
Global Policy Simulation,P A 195G,1,Graduate
Policy Simulation,P A 195W,1,Graduate
Supervised Public Service,P A 196C,1,Graduate
Internship in Global Policy Studies,P A 396G,3,Graduate
Internship in Public Policy,P A 396K,3,Graduate
Introduction to Empirical Methods for Policy Analysis,P A 397,3,Graduate
Topics in Advanced Empirical Methods for Policy Analysis,P A 397C,3,Graduate
Applied Quantitative Analysis I,P A 397D,3,Graduate
Analytical Methods for Global Policy Studies,P A 397G,3,Graduate
Joint Programs with Partner Institutions,P A 098J,0,Graduate
Master's Report,P A 398R,3,Graduate
Supervised Teaching in Public Affairs,"P A 198T, 398T","1, 3",Graduate
Dissertation,"P A 399W, 699W, 999W","3, 6, 9",Graduate
,,Total Hours: 210
DegreeView
